Ticket_ID,Commit_Hash,Author,Date,Message,Changed_Files
BOOKKEEPER-19,8ee32a8ab80dcd51f7846972d92b7c9e83d99862,Flavio Paiva Junqueira,2011-05-20 14:11:04 +0000,BOOKKEEPER-19: BookKeeper doesn't support more than 2Gig of memory (ivan via fpj),CHANGES.txt;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java
BOOKKEEPER-1,9ea30d361649e13f28efb05ea2155cf765267a2f,Ivan Brendan Kelly,2011-05-25 09:28:46 +0000,BOOKKEEPER-1: Static variable makes tests fail (fpj via ivank),bookkeeper-server/pom.xml
BOOKKEEPER-1,266b1c2744a35b9379ba5e7023322a2450b91090,Ivan Brendan Kelly,2011-05-25 09:41:33 +0000,BOOKKEEPER-1: Static variable makes tests fail (fpj via ivank) [CHANGES.txt],CHANGES.txt
BOOKKEEPER-22,267ed95a2ae2ef1a8f6a3166b217d86a28166391,Flavio Paiva Junqueira,2011-06-06 15:49:38 +0000,BOOKKEEPER-22: Exception in LedgerCache causes addEntry request to fail (fpj via fpj),CHANGES.txt;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerCacheTest.java
BOOKKEEPER-5,00f25f5622e69f063202f7bd46f09ad1d708983d,Flavio Paiva Junqueira,2011-07-07 14:37:50 +0000,BOOKKEEPER-5: Issue with Netty in BookKeeper (fpj and ivank via fpj),CHANGES.txt;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java
BOOKKEEPER-27,3e9d596480537e45a23e591a1daabddffd2b15bf,Flavio Paiva Junqueira,2011-07-30 23:58:28 +0000,BOOKKEEPER-27: mvn site failed with unresolved dependencies (ivank via fpj),CHANGES.txt;bookkeeper-benchmark/pom.xml;hedwig-client/pom.xml;hedwig-server/pom.xml;pom.xml
BOOKKEEPER-29,de1c3b26a1162fb545c91d9cef4eed435c662a66,Ivan Brendan Kelly,2011-08-10 10:37:39 +0000,BOOKKEEPER-29: BookieRecoveryTest fails intermittently (fpj via ivank),CHANGES.txt;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieRecoveryTest.java
BOOKKEEPER-29,40b13a6b7db9d2da337dce0c7084d8c87c4d6b06,Flavio Paiva Junqueira,2011-08-11 19:37:21 +0000,"BOOKKEEPER-29: BookieRecoveryTest fails intermittently (ivank, fpj via fpj)",CHANGES.txt;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieRecoveryTest.java
BOOKKEEPER-43,a772663c8e7051396bac5bae5b4ba7bc7ec75e78,Benjamin Reed,2011-08-23 22:34:58 +0000,BOOKKEEPER-43: NullPointException when releasing topic,CHANGES.txt;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java
BOOKKEEPER-38,a01067bb2003e6836acc638b734581844eb08324,Benjamin Reed,2011-08-23 22:38:29 +0000,BOOKKEEPER-38: Bookie Server doesn't exit when its zookeeper session is expired. So the process is hang there.,CHANGES.txt;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java
