Version,File,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Age,WeightedAge,Buggy
Pre-Release,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,36.0,37.0,2,0,2,36.0,35.0,18.0,0.18077803203661327,0.16908212560386474,0.09038901601830664,378,207.0,189.0,-92.0,-3404.0,No
4.2.2,bookkeeper-stats-providers/twitter-science-provider/src/main/java/org/apache/bookkeeper/stats/twitter/science/HTTPStatsExporter.java,77.0,77.0,1,0,1,77.0,77.0,77.0,8.555555555555555,8.555555555555555,8.555555555555555,9,9.0,9.0,692.0,53284.0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,196.0,213.0,6,0,4,196.0,149.0,32.666666666666664,4.406909134597922,1.4615384615384615,0.7344848557663203,439,207.0,73.16666666666667,404.0,86052.0,No
4.2.1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,151.0,196.0,7,0,4,151.0,103.0,21.571428571428573,1.4682894053659883,0.4975845410628019,0.20975562933799832,569,207.0,81.28571428571429,665.0,130340.0,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringEntryFormatter.java,47.0,47.0,1,0,1,47.0,47.0,47.0,3.9166666666666665,3.9166666666666665,3.9166666666666665,12,12.0,12.0,189.0,8883.0,No
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieShutdownTest.java,144.0,146.0,3,0,1,144.0,72.0,48.0,108.83333333333334,73.0,36.27777777777778,9,6.0,3.0,716.0,104536.0,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,760.0,1233.0,36,3,5,760.0,98.0,21.11111111111111,375.0286084982526,92.0,10.417461347173683,616,171.0,17.11111111111111,776.0,956808.0,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,36.0,37.0,2,1,2,36.0,35.0,18.0,0.22790565501562945,0.16908212560386474,0.11395282750781473,241,207.0,120.5,162.0,5994.0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,201.0,211.0,5,1,4,201.0,176.0,40.2,1.9568085643253141,0.8502415458937198,0.3913617128650628,522,207.0,104.4,232.0,48952.0,No
4.2.0,hedwig-client-jms/src/test/java/org/apache/activemq/util/ProducerThread.java,87.0,87.0,1,0,1,87.0,87.0,87.0,0.5918367346938775,0.5918367346938775,0.5918367346938775,147,147.0,147.0,421.0,36627.0,No
4.2.0,hedwig-client-jms/src/test/java/org/apache/activemq/JmsAutoAckTest.java,75.0,75.0,1,0,1,75.0,75.0,75.0,0.5102040816326531,0.5102040816326531,0.5102040816326531,147,147.0,147.0,421.0,31575.0,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Tool.java,43.0,43.0,1,0,1,43.0,43.0,43.0,3.5833333333333335,3.5833333333333335,3.5833333333333335,12,12.0,12.0,189.0,8127.0,No
Pre-Release,bookkeeper/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,170.0,170.0,1,0,1,170.0,170.0,170.0,0.821256038647343,0.821256038647343,0.821256038647343,207,207.0,207.0,-251.0,-42670.0,No
4.2.0,hedwig-client-jms/src/test/java/org/apache/activemq/usecases/ChangeSentMessageTest.java,62.0,62.0,1,0,1,62.0,62.0,62.0,0.4217687074829932,0.4217687074829932,0.4217687074829932,147,147.0,147.0,421.0,26102.0,No
4.1.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/metastore/MetastoreScannableTableAsyncToSyncConverter.java,59.0,59.0,1,0,1,59.0,59.0,59.0,3.6875,3.6875,3.6875,16,16.0,16.0,338.0,19942.0,No
4.2.2,bookkeeper-stats/src/main/java/org/apache/bookkeeper/stats/Stats.java,63.0,63.0,1,0,1,63.0,63.0,63.0,7.0,7.0,7.0,9,9.0,9.0,692.0,43596.0,No
4.2.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,531.0,730.0,25,2,5,531.0,153.0,21.24,141.5203097571883,50.0,5.660812390287532,569,171.0,22.76,615.0,448950.0,No
4.2.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkHubServerManager.java,317.0,326.0,3,0,3,317.0,310.0,105.66666666666667,16.716039630031926,16.31578947368421,5.572013210010642,99,41.0,33.0,429.0,139854.0,No
Pre-Release,{bookkeeper => bookkeeper-server}/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,56,56.0,56.0,-250.0,-0.0,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,77.0,80.0,3,0,3,77.0,73.0,25.666666666666668,0.6286426679133552,0.3526570048309179,0.2095475559711184,309,207.0,103.0,139.0,11120.0,No
Pre-Release,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,56.0,64.0,3,0,2,56.0,48.0,18.666666666666668,0.6373421476396305,0.37037037037037035,0.2124473825465435,405,207.0,135.0,-19.0,-1216.0,No
Pre-Release,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java,74.0,77.0,4,0,2,74.0,61.0,18.5,9.212607127218131,8.714285714285714,2.303151781804533,156,93.0,39.0,-18.0,-1386.0,No
4.2.0,hedwig-client-jms/src/main/java/org/apache/hedwig/jms/spi/TopicPublisherImpl.java,227.0,228.0,2,0,2,227.0,226.0,113.5,1.5861954537912726,1.5374149659863945,0.7930977268956363,188,147.0,94.0,429.0,97812.0,No
4.2.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/net/DNS.java,356.0,356.0,1,0,1,356.0,356.0,356.0,23.733333333333334,23.733333333333334,23.733333333333334,15,15.0,15.0,556.0,197936.0,No
Pre-Release,bookkeeper/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,98.0,98.0,1,0,1,98.0,98.0,98.0,0.47342995169082125,0.47342995169082125,0.47342995169082125,207,207.0,207.0,-251.0,-24598.0,No
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/BookieLedgerIndexTest.java,282.0,334.0,5,0,2,282.0,233.0,56.4,120.38247863247864,77.66666666666667,24.07649572649573,164,78.0,32.8,677.0,226118.0,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/DataFormats.java,4114.0,4140.0,7,0,2,4114.0,1493.0,587.7142857142857,625.5401382243488,195.5,89.36287688919268,71,19.0,10.142857142857142,373.0,1544220.0,No
