ID, Size, Predicted, Actual
0,215,0.0024691358024691358,NO
1,271,0.0024691358024691358,YES
2,458,0.0024691358024691358,YES
3,137,0.0024691358024691358,YES
4,357,0.9975308641975307,YES
5,1242,0.9975308641975307,YES
6,51,0.0024691358024691358,NO
7,154,0.0012376237623762374,YES
8,31,0.0024691358024691358,NO
9,928,0.9975308641975307,YES
10,180,0.0024691358024691358,NO
11,260,0.9975308641975307,YES
12,551,0.0024691358024691358,YES
13,40,4.957858205255329E-4,NO
14,361,0.0024691358024691358,YES
15,388,0.9975308641975307,YES
16,51,0.0024691358024691358,NO
17,577,0.9975308641975307,YES
18,32,0.0024691358024691358,NO
19,66,0.0024691358024691358,NO
20,188,0.9975308641975307,YES
21,582,0.9975308641975307,YES
22,158,0.0024691358024691358,YES
23,50,0.0024691358024691358,NO
24,27,0.0012376237623762374,NO
25,928,0.9975308641975307,YES
26,60,0.0024691358024691358,NO
27,62,0.0012376237623762374,NO
28,87,0.0024691358024691358,NO
29,52,0.0024691358024691358,NO
30,268,0.9975308641975307,YES
31,163,0.0024691358024691358,NO
32,109,0.0024691358024691358,NO
33,147,0.0024691358024691358,NO
34,58,0.0012376237623762374,NO
35,44,0.0012376237623762374,NO
36,106,0.0024691358024691358,YES
37,139,0.0024691358024691358,NO
38,326,0.9975308641975307,YES
39,648,0.9975308641975307,YES
40,778,0.9975308641975307,YES
41,314,0.9975308641975307,YES
42,55,0.0024691358024691358,NO
43,191,0.9975308641975307,NO
44,90,0.0024691358024691358,NO
45,273,0.9975308641975307,YES
46,137,0.9975308641975307,YES
47,79,0.0024691358024691358,NO
48,82,0.4999999999999999,NO
49,147,0.0024691358024691358,YES
50,422,0.9975308641975307,YES
51,978,0.9975308641975307,YES
52,467,0.9975308641975307,YES
53,189,0.9975308641975307,YES
54,153,0.9987623762376237,YES
55,84,0.0012376237623762374,YES
56,182,0.9975308641975307,YES
57,358,0.9975308641975307,YES
58,126,0.9975308641975307,YES
59,106,0.9975308641975307,NO
60,109,0.9975308641975307,NO
61,85,0.0024691358024691358,NO
62,236,0.9975308641975307,YES
63,314,0.9975308641975307,YES
64,694,0.9975308641975307,YES
65,27,0.0012376237623762374,NO
66,89,0.9975308641975307,YES
67,301,0.9975308641975307,YES
