ID, Size, Predicted, Actual
0,215,9.319664492078286E-4,NO
1,271,0.9990680335507922,YES
2,458,9.319664492078286E-4,YES
3,137,0.3334370139968896,NO
4,357,9.319664492078286E-4,NO
5,1243,0.9990680335507922,YES
6,51,3.110419906687403E-4,NO
7,154,2.333177788147457E-4,NO
8,31,1.8667164457718873E-4,NO
9,934,0.9990680335507922,YES
10,180,0.9990680335507922,NO
11,260,9.319664492078286E-4,NO
12,584,0.9990680335507922,YES
13,40,4.6641791044776124E-4,NO
14,372,0.9990680335507922,YES
15,388,9.319664492078286E-4,NO
16,51,3.110419906687403E-4,NO
17,609,0.9990680335507922,YES
18,32,2.333177788147457E-4,NO
19,66,1.8667164457718873E-4,NO
20,180,9.319664492078286E-4,YES
21,587,0.9990680335507922,NO
22,164,9.319664492078286E-4,NO
23,50,1.5556938394523958E-4,NO
24,27,7.181328545780969E-5,NO
25,938,0.9990680335507922,YES
26,60,3.110419906687403E-4,NO
27,62,1.1668611435239207E-4,NO
28,87,9.319664492078286E-4,NO
29,52,9.319664492078286E-4,NO
30,270,9.319664492078286E-4,YES
31,163,4.6641791044776124E-4,NO
32,109,0.9990680335507922,NO
33,147,2.333177788147457E-4,NO
34,58,0.12508751458576428,NO
35,44,3.110419906687403E-4,NO
36,106,0.9990680335507922,YES
37,151,9.319664492078286E-4,NO
38,352,0.9990680335507922,YES
39,715,0.9990680335507922,YES
40,876,0.9990680335507922,YES
41,356,9.319664492078286E-4,YES
42,27,9.319664492078286E-4,NO
43,55,4.6641791044776124E-4,NO
44,191,4.6641791044776124E-4,NO
45,90,3.110419906687403E-4,NO
46,271,9.319664492078286E-4,YES
47,137,9.319664492078286E-4,NO
48,79,3.110419906687403E-4,NO
49,82,9.319664492078286E-4,NO
50,147,2.333177788147457E-4,NO
51,422,9.319664492078286E-4,YES
52,1030,0.9990680335507922,YES
53,529,0.9990680335507922,YES
54,189,9.319664492078286E-4,YES
55,167,0.9990680335507922,YES
56,84,0.2001120029867463,NO
57,195,0.9990680335507922,YES
58,374,9.319664492078286E-4,YES
59,126,9.319664492078286E-4,YES
60,106,9.319664492078286E-4,NO
61,109,3.110419906687403E-4,NO
62,85,2.333177788147457E-4,NO
63,236,9.319664492078286E-4,NO
64,314,0.9990680335507922,YES
65,813,0.9990680335507922,YES
66,27,7.181328545780969E-5,NO
67,89,3.110419906687403E-4,NO
68,300,0.9990680335507922,YES
69,166,0.9990680335507922,YES
70,92,0.16677037958929683,NO
71,492,0.9990680335507922,YES
72,93,9.319664492078286E-4,NO
73,244,9.319664492078286E-4,NO
74,183,0.9990680335507922,YES
75,250,9.319664492078286E-4,NO
76,109,3.110419906687403E-4,NO
77,602,0.9990680335507922,YES
78,565,0.9990680335507922,YES
79,69,0.5,NO
80,77,1.5556938394523958E-4,NO
81,97,0.9990680335507922,YES
82,337,9.319664492078286E-4,NO
83,214,4.6641791044776124E-4,NO
84,79,3.110419906687403E-4,NO
85,25,9.319664492078286E-4,NO
86,84,0.2001120029867463,NO
