ID, Size, Predicted, Actual
0,215,0.12378481303563582,NO
1,271,0.12625678956180492,YES
2,458,0.16357676018710138,YES
3,137,0.10577715453889705,YES
4,357,0.9936484329054692,YES
5,1242,1.0,YES
6,51,0.08750754921107083,NO
7,154,0.10950262159638714,YES
8,31,0.07749985080317442,NO
9,928,0.9490855479503115,YES
10,180,0.11333261732802813,NO
11,260,0.993907860551937,YES
12,551,0.9994752516983121,YES
13,40,0.07749985080317442,NO
14,361,0.19383963362282272,YES
15,388,0.9933211485901101,YES
16,51,0.08446715303723108,NO
17,577,1.0,YES
18,32,0.07749985080317442,NO
19,66,0.08750754921107083,NO
20,188,0.9999753489754024,YES
21,582,1.0,YES
22,158,0.10950262159638714,YES
23,50,0.08446715303723108,NO
24,27,0.07749985080317442,NO
25,928,1.0,YES
26,60,0.08750754921107083,NO
27,62,0.08446715303723108,NO
28,87,0.09371633764966464,NO
29,52,0.08446715303723108,NO
30,268,1.0,YES
31,163,0.11333261732802813,NO
32,109,0.09371633764966464,NO
33,147,0.10577715453889705,NO
34,58,0.08446715303723108,NO
35,44,0.07749985080317442,NO
36,106,0.09371633764966464,YES
37,139,0.10577715453889705,NO
38,326,0.4569376309009623,YES
39,648,1.0,YES
40,778,1.0,YES
41,314,0.9938489516901791,YES
42,55,0.08750754921107083,NO
43,191,0.11540857668132447,NO
44,90,0.1572000287727314,NO
45,273,0.45934127714860434,YES
46,137,0.9977949262658472,YES
47,79,0.1426717567940594,NO
48,82,0.08446715303723108,NO
49,147,0.9996550334433805,YES
50,422,0.4196040675881569,YES
51,978,1.0,YES
52,467,1.0,YES
53,189,0.19049793536049334,YES
54,153,0.9931182102868226,YES
55,84,0.09705436546830859,YES
56,182,1.0,YES
57,358,1.0,YES
58,126,1.0,YES
59,106,0.1572000287727314,NO
60,109,0.1572000287727314,NO
61,85,0.09705436546830859,NO
62,236,0.9981529933087179,YES
63,314,0.998176652411006,YES
64,694,0.9999088821333518,YES
65,27,0.07749985080317442,NO
66,89,0.9853542866966738,YES
67,301,0.9999769647643884,YES
68,153,0.9996807432441709,YES
69,92,0.38724273152129535,NO
70,466,0.9996379281113316,YES
71,93,0.38724273152129535,NO
72,244,0.841754141335928,NO
73,192,0.19049793536049334,YES
74,250,0.45934127714860434,YES
75,109,0.1572000287727314,NO
76,601,0.10308348913702692,YES
77,565,0.9999999999950135,YES
78,69,0.9908486384331561,YES
79,77,0.08446715303723108,NO
80,94,0.09371633764966464,YES
81,337,0.12101642757431307,NO
82,214,0.11964925779868399,NO
83,79,0.08446715303723108,NO
84,25,0.07477867106540638,NO
85,84,0.09371633764966464,NO
86,34,0.07477867106540638,NO
87,33,0.07477867106540638,NO
88,104,0.09371633764966464,NO
89,172,0.10950262159638714,NO
90,70,0.08446715303723108,NO
91,140,0.10217306779544838,NO
92,154,0.10950262159638714,YES
93,248,0.993907860551937,YES
94,275,1.0,YES
95,176,0.10950262159638714,NO
96,624,1.0,YES
97,91,0.9853542866966738,YES
98,58,0.08750754921107083,YES
99,132,0.10217306779544838,NO
100,4088,1.794667111534415E-58,YES
101,558,0.9887362978596623,YES
102,727,1.0,YES
103,150,0.9931182102868226,YES
104,503,0.37355116774020675,YES
105,325,0.8434670051612668,YES
106,273,1.0,YES
107,136,0.9925679475514702,YES
108,56,0.08446715303723108,NO
109,74,0.1426717567940594,NO
110,357,0.9993323753601747,NO
111,174,0.11333261732802813,NO
112,148,0.11333261732802813,NO
113,92,0.09705436546830859,NO
114,45,0.12723494529829163,NO
115,168,0.9931182102868226,YES
116,77,0.08750754921107083,NO
117,664,0.043515457939969575,YES
118,88,0.09371633764966464,NO
119,260,0.999717590461204,YES
120,54,0.08750754921107083,NO
121,48,0.9895670900104483,YES
122,140,0.9925679475514702,YES
123,152,0.1815379306068088,NO
124,39,0.07749985080317442,NO
125,131,0.10217306779544838,NO
126,47,0.07749985080317442,NO
127,129,0.9925679475514702,YES
128,43,0.07749985080317442,NO
129,243,0.9981529933087179,YES
130,62,0.9908486384331561,YES
131,45,0.07477867106540638,NO
132,94,0.9853542866966738,YES
133,72,0.08750754921107083,NO
134,42,0.07749985080317442,NO
135,48,0.07749985080317442,NO
136,89,0.9918270822350687,YES
137,380,0.9933211485901101,YES
138,138,0.9925679475514702,YES
139,142,0.9925679475514702,YES
140,191,0.9935111207009909,YES
141,46,0.07749985080317442,NO
142,165,0.11333261732802813,NO
143,171,0.1815379306068088,NO
144,56,0.08446715303723108,NO
145,179,1.0,YES
146,74,0.08750754921107083,NO
147,36,0.07749985080317442,NO
148,37,0.07749985080317442,NO
149,34,0.9813381012166288,YES
150,34,0.9813381012166288,YES
151,38,0.07749985080317442,NO
152,39,0.07749985080317442,NO
153,156,0.10950262159638714,NO
154,84,0.09371633764966464,NO
155,117,0.9925679475514702,YES
156,94,0.1572000287727314,NO
157,71,0.1426717567940594,NO
158,183,1.0,YES
159,85,0.1572000287727314,NO
160,183,0.9935111207009909,YES
161,70,0.1426717567940594,NO
162,54,0.08446715303723108,NO
163,160,0.10950262159638714,NO
164,125,1.0,YES
165,151,1.0,YES
166,421,1.0,YES
167,219,0.9981529933087179,YES
168,50,0.08446715303723108,NO
169,42,0.9895670900104483,YES
170,624,0.0876998261895086,NO
171,377,1.0,YES
172,383,0.9933211485901101,YES
173,72,0.08446715303723108,NO
174,92,0.09371633764966464,NO
175,284,0.2011723981183061,YES
176,371,0.11762446088736288,NO
177,47,0.07477867106540638,NO
178,108,0.9918270822350687,YES
179,111,0.09371633764966464,NO
180,319,0.9938489516901791,YES
181,129,0.9925679475514702,YES
182,49,0.07477867106540638,NO
183,358,1.0,YES
184,277,0.999717590461204,YES
185,49,0.12723494529829163,NO
186,89,0.09371633764966464,NO
187,41,0.07749985080317442,NO
188,66,0.08750754921107083,NO
189,63,0.08750754921107083,NO
190,24,0.07477867106540638,NO
191,50,0.08446715303723108,NO
192,72,0.1426717567940594,NO
193,47,0.07477867106540638,NO
194,47,0.07749985080317442,NO
195,183,0.11941743959791934,NO
196,49,0.07749985080317442,NO
197,50,0.08750754921107083,NO
198,98,0.09705436546830859,NO
199,143,0.10577715453889705,NO
200,43,0.07749985080317442,NO
201,42,0.07749985080317442,NO
202,56,0.08750754921107083,NO
203,44,0.07477867106540638,NO
204,26,0.07477867106540638,NO
205,254,1.0,YES
206,16883,1.0,YES
207,74,0.08446715303723108,NO
208,153,0.11333261732802813,NO
209,68,0.1426717567940594,NO
210,100,0.09371633764966464,NO
211,549,0.9994752516983121,YES
212,437,0.9871739981078657,YES
213,1033,1.0,YES
214,101,0.09371633764966464,YES
215,331,0.1989339286415585,YES
216,123,0.10577715453889705,NO
217,106,0.9918270822350687,YES
218,106,0.9918270822350687,YES
219,93,0.9918270822350687,YES
