ID, Size, Predicted, Actual
0,215,0.5810615594312674,NO
1,271,0.5865523619454763,YES
2,458,0.6575392383255008,YES
3,137,0.5373252577027877,YES
4,357,0.9993493459671501,YES
5,1242,1.0,YES
6,51,0.4849408056988637,NO
7,154,0.5469532661274118,YES
8,31,0.4519953744339107,NO
9,928,0.9945655726042557,YES
10,180,0.5565215873129683,NO
11,260,0.9993760679272652,YES
12,551,0.999946526276258,YES
13,40,0.4519953744339107,NO
14,361,0.7024408653100692,YES
15,388,0.9993156166599402,YES
16,51,0.47528422041050744,NO
17,577,1.0,YES
18,32,0.4519953744339107,NO
19,66,0.4849408056988637,NO
20,188,0.9999974891009885,YES
21,582,1.0,YES
22,158,0.5469532661274118,YES
23,50,0.47528422041050744,NO
24,27,0.4519953744339107,NO
25,928,1.0,YES
26,60,0.4849408056988637,NO
27,62,0.47528422041050744,NO
28,87,0.503779910506152,NO
29,52,0.47528422041050744,NO
30,268,1.0,YES
31,163,0.5565215873129683,NO
32,109,0.503779910506152,NO
33,147,0.5373252577027877,NO
34,58,0.47528422041050744,NO
35,44,0.4519953744339107,NO
36,106,0.503779910506152,YES
37,139,0.5373252577027877,NO
38,326,0.8920180686483984,YES
39,648,1.0,YES
40,778,1.0,YES
41,314,0.9993700012061476,YES
42,55,0.4849408056988637,NO
43,191,0.5615740080783209,NO
44,90,0.6467969161900272,NO
45,273,0.8929471681418673,YES
46,137,0.9997749553289654,YES
47,79,0.6203244252110038,NO
48,82,0.47528422041050744,NO
49,147,0.9999648523553352,YES
50,422,0.8765113930919186,YES
51,978,1.0,YES
52,467,1.0,YES
53,189,0.6979219349162488,YES
54,153,0.9992946921975852,YES
55,84,0.513448927417618,YES
56,182,1.0,YES
57,358,1.0,YES
58,126,1.0,YES
59,106,0.6467969161900272,NO
60,109,0.6467969161900272,NO
61,85,0.513448927417618,NO
62,236,0.9998115595363378,YES
63,314,0.9998139773106202,YES
64,694,0.9999907183809168,YES
65,27,0.4519953744339107,NO
66,89,0.9984883690211477,YES
67,301,0.999997653685097,YES
68,153,0.9999674726039007,YES
69,92,0.8611987870470627,NO
70,466,0.9999631089755939,YES
71,93,0.8611987870470627,NO
72,244,0.9812114037596923,NO
73,192,0.6979219349162488,YES
74,250,0.8929471681418673,YES
75,109,0.6467969161900272,NO
76,601,0.5301573996487974,YES
77,565,0.9999999999994921,YES
78,69,0.9990601583380608,YES
79,77,0.47528422041050744,NO
80,94,0.503779910506152,YES
81,337,0.574774906763519,NO
82,214,0.571615145333389,NO
83,79,0.47528422041050744,NO
84,25,0.44243129652477625,NO
85,84,0.503779910506152,NO
86,34,0.44243129652477625,NO
87,33,0.44243129652477625,NO
88,104,0.503779910506152,NO
89,172,0.5469532661274118,NO
90,70,0.47528422041050744,NO
91,140,0.5276942616712974,NO
92,154,0.5469532661274118,YES
93,248,0.9993760679272652,YES
94,275,1.0,YES
