ID, Size, Predicted, Actual
0,215,0.06875134479544075,NO
1,271,0.07133092246944187,YES
2,458,0.07241914554350104,YES
3,137,0.0606226911780451,YES
4,357,0.9999998897652222,YES
5,1242,1.0,YES
6,51,0.04478323886549318,NO
7,154,0.05747926842905414,YES
8,31,0.04050316005347456,NO
9,928,0.9999995392645668,YES
10,180,0.06655489174252129,NO
11,260,0.999999961001502,YES
12,551,0.9999999953768178,YES
13,40,0.04478323886549318,NO
14,361,0.08715118033695116,YES
15,388,0.9999999579123937,YES
16,51,0.042424035359334034,NO
17,577,1.0,YES
18,32,0.04050316005347456,NO
19,66,0.049023297929198344,NO
20,188,0.9999999999829058,YES
21,582,1.0,YES
22,158,0.060524127585956655,YES
23,50,0.042424035359334034,NO
24,27,0.04050316005347456,NO
25,928,1.0,YES
26,60,0.049023297929198344,NO
27,62,0.04645158824918185,NO
28,87,0.05036011622344158,NO
29,52,0.042424035359334034,NO
30,268,1.0,YES
31,163,0.0638227917043544,NO
32,109,0.054064257903413515,NO
33,147,0.0606226911780451,NO
34,58,0.042424035359334034,NO
35,44,0.04478323886549318,NO
36,106,0.05036011622344158,YES
37,139,0.0606226911780451,NO
38,326,0.46422115907837397,YES
39,648,1.0,YES
40,778,1.0,YES
41,314,0.9999999609839721,YES
42,55,0.04478323886549318,NO
43,191,0.0631245411176273,NO
44,90,0.06774564993908772,NO
45,273,0.46812703885958545,YES
46,137,0.9999999857682279,YES
47,79,0.15334435551078573,NO
48,82,0.04645158824918185,NO
49,147,0.9999999969908467,YES
50,422,0.4244610201407773,YES
51,978,1.0,YES
52,467,1.0,YES
53,189,0.20032422707695466,YES
54,153,0.9999998740629543,YES
55,84,0.05313615642654786,YES
56,182,1.0,YES
57,358,1.0,YES
58,126,1.0,YES
59,106,0.06774564993908772,NO
60,109,0.0726307485639409,NO
61,85,0.05313615642654786,NO
62,236,0.9999999878643407,YES
63,314,0.9999999880372108,YES
64,694,0.9999999999326162,YES
65,27,0.04050316005347456,NO
66,89,0.9999998015435447,YES
67,301,0.9999999999841248,YES
68,153,0.9999999969908467,YES
69,92,0.3913740505004111,NO
70,466,0.9999999967790631,YES
71,93,0.3913740505004111,NO
72,244,0.803979831776092,NO
73,192,0.08452444735469222,YES
74,250,0.46444471539575344,YES
75,109,0.17525534965487635,NO
76,601,0.04100031129707866,YES
77,565,1.0,YES
78,69,0.9999998423420093,YES
79,77,0.04645158824918185,NO
80,94,0.05036011622344158,YES
81,337,0.0666886801268144,NO
82,214,0.06521569470500606,NO
83,79,0.04645158824918185,NO
84,25,0.038360378369553076,NO
