ID, Size, Predicted, Actual
0,215,0.9996828519295439,NO
1,271,0.9996899363808208,YES
2,458,0.9999307957803253,YES
3,137,0.9996212559812911,YES
4,357,0.9999999371629856,YES
5,1242,1.0,YES
6,51,0.9995328705373714,NO
7,154,0.9998899427968687,YES
8,31,0.9994667997177239,NO
9,928,0.999999965790911,YES
10,180,0.9996494822791333,NO
11,260,0.9999999894925853,YES
12,551,0.999999999433415,YES
13,40,0.9994667997177239,NO
14,361,0.9999848472313314,YES
15,388,0.9999999627253161,YES
16,51,0.9999451723853334,NO
17,577,1.0,YES
18,32,0.9994667997177239,NO
19,66,0.9995328705373714,NO
20,188,0.9999999999045679,YES
21,582,1.0,YES
22,158,0.9998899427968687,YES
23,50,0.999853316755151,NO
24,27,0.9994667997177239,NO
25,928,1.0,YES
26,60,0.9995328705373714,NO
27,62,0.999853316755151,NO
28,87,0.9998691269738244,NO
29,52,0.999853316755151,NO
30,268,1.0,YES
31,163,0.9996494822791333,NO
32,109,0.9999296146205668,NO
33,147,0.9996212559812911,NO
34,58,0.999853316755151,NO
35,44,0.9994667997177239,NO
36,106,0.9999417516259687,YES
37,139,0.9996212559812911,NO
38,326,0.9999887021664284,YES
39,648,1.0,YES
40,778,1.0,YES
41,314,0.999999991221857,YES
42,55,0.9995328705373714,NO
43,191,0.9998962668109526,NO
44,90,0.9999624536197642,NO
45,273,0.9999948043339036,YES
46,137,0.9999999889496557,YES
47,79,0.9999666883195903,NO
48,82,0.999853316755151,NO
49,147,0.9999999995475718,YES
50,422,0.9999458437125425,YES
51,978,1.0,YES
52,467,1.0,YES
53,189,0.9999899427001975,YES
54,153,0.9999999615848687,YES
55,84,0.9995832055775785,YES
56,182,1.0,YES
57,358,1.0,YES
58,126,1.0,YES
59,106,0.9999609771373077,NO
60,109,0.9999624536197642,NO
61,85,0.9995832055775785,NO
62,236,0.9999999970471778,YES
63,314,0.9999999907225655,YES
64,694,0.99999999992165,YES
65,27,0.9994667997177239,NO
66,89,0.9999997988239976,YES
67,301,0.9999999999479822,YES
68,153,0.9999999993593718,YES
69,92,0.9999974749496612,NO
70,466,0.9999999320374441,YES
71,93,0.9999974749496612,NO
72,244,0.9999997778541809,NO
73,192,0.9994733379043106,YES
74,250,0.9999984949365215,YES
75,109,0.9999791125695494,NO
76,601,4.1217589484883425E-11,YES
77,565,0.9999999999999999,YES
