ID, Size, Predicted, Actual
0,215,0.9999676875080059,NO
1,271,0.9999684095052789,YES
2,458,0.9999929507286904,YES
3,137,0.9999614096963432,YES
4,357,0.9999999935997017,YES
5,1242,1.0,YES
6,51,0.9999524003059347,NO
7,154,0.9999887889559724,YES
8,31,0.9999456645766274,NO
9,928,0.9999999965156147,YES
10,180,0.9999642865851531,NO
11,260,0.9999999989297615,YES
12,551,0.9999999999422902,YES
13,40,0.9999456645766274,NO
14,361,0.9999984565855611,YES
15,388,0.9999999962033669,YES
16,51,0.9999944152286943,NO
17,577,1.0,YES
18,32,0.9999456645766274,NO
19,66,0.9999524003059347,NO
20,188,0.9999999999902797,YES
21,582,1.0,YES
22,158,0.9999887889559724,YES
23,50,0.9999850575303374,NO
24,27,0.9999456645766274,NO
25,928,1.0,YES
26,60,0.9999524003059347,NO
27,62,0.9999850575303374,NO
28,87,0.999986668290211,NO
29,52,0.9999850575303374,NO
30,268,1.0,YES
31,163,0.9999642865851531,NO
32,109,0.9999928304059409,NO
33,147,0.9999614096963432,NO
34,58,0.9999850575303374,NO
35,44,0.9999456645766274,NO
36,106,0.9999940667700143,YES
37,139,0.9999614096963432,NO
38,326,0.9999988492413848,YES
39,648,1.0,YES
40,778,1.0,YES
41,314,0.9999999991058975,YES
42,55,0.9999524003059347,NO
43,191,0.9999894332155428,NO
44,90,0.9999961755642013,NO
45,273,0.9999994707901549,YES
46,137,0.9999999988744612,YES
47,79,0.9999966069192898,NO
48,82,0.9999850575303374,NO
49,147,0.9999999999539178,YES
50,422,0.9999944836137832,YES
51,978,1.0,YES
52,467,1.0,YES
53,189,0.9999989755990453,YES
54,153,0.999999996087206,YES
55,84,0.9999575312812626,YES
56,182,1.0,YES
57,358,1.0,YES
58,126,1.0,YES
59,106,0.9999960251659408,NO
60,109,0.9999961755642013,NO
61,85,0.9999575312812626,NO
62,236,0.9999999996992387,YES
63,314,0.9999999990550418,YES
64,694,0.9999999999920195,YES
65,27,0.9999456645766274,NO
66,89,0.9999999795091059,YES
67,301,0.9999999999947017,YES
68,153,0.9999999999347484,YES
69,92,0.9999997428090512,NO
70,466,0.9999999930776368,YES
71,93,0.9999997428090512,NO
72,244,0.9999999773732131,NO
73,192,0.9999463311615298,YES
74,250,0.9999998467007396,YES
75,109,0.9999978724595815,NO
76,601,4.0466713449625747E-10,YES
77,565,1.0,YES
78,69,0.9999999957215581,YES
79,77,0.9999944739648712,NO
80,94,0.9999955187181112,YES
81,337,0.4832896941200844,NO
82,214,0.9998635331404614,NO
83,79,0.9999944739648712,NO
84,25,0.9999914047243832,NO
85,84,0.9999953588348857,NO
86,34,0.9999925815689341,NO
87,33,0.9999925815689341,NO
88,104,0.9999940667700143,NO
89,172,0.9999745176472838,NO
90,70,0.9999952541005288,NO
91,140,0.9999897043249822,NO
92,154,0.9999880606091034,YES
93,248,0.999999993123556,YES
94,275,1.0,YES
95,176,0.9999887889559724,NO
96,624,1.0,YES
97,91,0.9999999795091059,YES
98,58,0.9999524003059347,YES
99,132,0.9999878858280801,NO
100,4088,7.2178047487908704E-158,YES
101,558,0.9999999970143081,YES
102,727,1.0,YES
103,150,0.9999999904469238,YES
104,503,0.999980638290115,YES
105,325,0.9999999115064696,YES
106,273,1.0,YES
107,136,0.99999999908994,YES
108,56,0.9999952541005288,NO
109,74,0.9999988598562448,NO
110,357,0.999999999089685,NO
111,174,0.9999642865851531,NO
112,148,0.9999642865851531,NO
113,92,0.9999575312812626,NO
114,45,0.999995610757052,NO
115,168,0.9999999990701702,YES
116,77,0.9999524003059347,NO
117,664,0.9998996697493207,YES
118,88,0.9999942017929645,NO
119,260,0.9999999999128762,YES
120,54,0.9999524003059347,NO
121,48,0.9999999901532219,YES
122,140,0.999999998037576,YES
123,152,0.9999984255332802,NO
124,39,0.9999456645766274,NO
125,131,0.9999942962573933,NO
126,47,0.9999456645766274,NO
127,129,0.9999999985793094,YES
128,43,0.9999456645766274,NO
129,243,0.9999999997757578,YES
130,62,0.9999999949064076,YES
131,45,0.9999930623915012,NO
132,94,0.9999999931123118,YES
133,72,0.9999524003059347,NO
134,42,0.9999456645766274,NO
135,48,0.9999456645766274,NO
136,89,0.9999999926616864,YES
137,380,0.9999999983791051,YES
138,138,0.9999999896773474,YES
139,142,0.9999999896773474,YES
140,191,0.9999999909959113,YES
141,46,0.9999456645766274,NO
142,165,0.9999642865851531,NO
143,171,0.9999937845686209,NO
144,56,0.9999850575303374,NO
145,179,1.0,YES
146,74,0.9999524003059347,NO
147,36,0.9999456645766274,NO
148,37,0.9999456645766274,NO
149,34,0.9999999885979075,YES
150,34,0.9999999885979075,YES
151,38,0.9999456645766274,NO
152,39,0.9999456645766274,NO
153,156,0.9999883533886073,NO
154,84,0.9999953588348857,NO
155,117,0.9999999978961683,YES
156,94,0.9999926088591339,NO
157,71,0.9999966069192898,NO
158,183,1.0,YES
159,85,0.9999969726884497,NO
160,183,0.9999999976559442,YES
161,70,0.9999972163466209,NO
162,54,0.9999953044248978,NO
163,160,0.9999886618636707,NO
164,125,1.0,YES
165,151,1.0,YES
166,421,1.0,YES
167,219,0.9999999997740038,YES
168,50,0.9999944152286943,NO
169,42,0.9999999972368495,YES
170,624,0.00102115152668023,NO
171,377,1.0,YES
172,383,0.9999998488847083,YES
173,72,0.99999501816115,NO
174,92,0.9999955187181112,NO
175,284,0.9999941940853874,YES
176,371,0.01410469757808401,NO
177,47,0.9999930623915012,NO
178,108,0.9999999972819748,YES
179,111,0.9999940667700143,NO
180,319,0.9999999941223331,YES
181,129,4.1302256955189733E-88,YES
182,49,0.9999930623915012,NO
183,358,1.0,YES
184,277,4.4343335058906766E-5,YES
185,49,0.9999958872098624,NO
186,89,0.9999955187181112,NO
187,41,0.9999456645766274,NO
