ID, Size, Predicted, Actual
0,215,3.032064814430346E-10,NO
1,271,5.6604870365859494E-11,YES
2,458,6.21475239161513E-11,YES
3,137,5.419012476790882E-11,NO
4,357,5.864513186078441E-11,NO
5,1243,1.0,YES
6,51,5.3281683554602847E-11,NO
7,154,5.4580463307075296E-11,NO
8,31,5.306402608571183E-11,NO
9,934,1.0,YES
10,180,2.455922471616987E-10,NO
11,260,5.6604870365859494E-11,NO
12,584,1.0,YES
13,40,5.306402608571183E-11,NO
14,372,1.0,YES
15,388,5.94330045144563E-11,NO
16,51,5.3281683554602847E-11,NO
17,609,1.0,YES
18,32,5.306402608571183E-11,NO
19,66,5.3281683554602847E-11,NO
20,180,7.607868839668462E-7,YES
21,587,0.9996183063447382,NO
22,164,1.4665254656793828E-8,NO
23,50,5.3281683554602847E-11,NO
24,27,5.306402608571183E-11,NO
25,938,1.0,YES
26,60,5.3281683554602847E-11,NO
27,62,5.3281683554602847E-11,NO
28,87,5.3541497212064334E-11,NO
29,52,5.3281683554602847E-11,NO
30,270,1.0,YES
31,163,5.4580463307075296E-11,NO
32,109,2.5056302234665636E-10,NO
33,147,5.419012476790882E-11,NO
34,58,5.3281683554602847E-11,NO
35,44,5.3281683554602847E-11,NO
36,106,1.0,YES
37,151,3.2100808145988796E-9,NO
38,352,1.0,YES
39,715,1.0,YES
40,876,1.0,YES
41,356,9.161658060705413E-7,YES
42,27,4.798501034536629E-10,NO
43,55,5.3281683554602847E-11,NO
44,191,5.5016013290312303E-11,NO
45,90,5.3541497212064334E-11,NO
46,271,6.789368943523769E-10,YES
47,137,2.9606207970346725E-10,NO
48,79,5.3541497212064334E-11,NO
49,82,5.3541497212064334E-11,NO
50,147,5.419012476790882E-11,NO
51,422,6.118199260625923E-11,YES
52,1030,1.0,YES
53,529,1.0,YES
54,189,5.5016013290312303E-11,YES
55,167,1.0,YES
56,84,5.3541497212064334E-11,NO
57,195,1.0,YES
58,374,1.0428029929302178E-6,YES
59,126,5.419012476790882E-11,YES
60,106,6.458230254685137E-10,NO
61,109,5.3844074374089586E-11,NO
62,85,5.3541497212064334E-11,NO
63,236,3.060976828231518E-10,NO
64,314,2.395017753642115E-10,YES
65,813,9.173270802065142E-6,YES
66,27,5.306402608571183E-11,NO
67,89,5.3541497212064334E-11,NO
68,300,1.0,YES
69,166,1.0,YES
70,92,5.3541497212064334E-11,NO
71,492,1.0,YES
72,93,5.3541497212064334E-11,NO
73,244,5.602700501227384E-11,NO
74,183,1.0,YES
75,250,5.602700501227384E-11,NO
76,109,5.3844074374089586E-11,NO
77,602,1.0,YES
78,565,1.0,YES
79,69,5.3541497212064334E-11,NO
80,77,5.3541497212064334E-11,NO
81,97,1.0,YES
82,337,2.9065811253983973E-10,NO
83,214,5.549781004169632E-11,NO
84,79,5.3541497212064334E-11,NO
85,25,5.306402608571183E-11,NO
86,84,5.3541497212064334E-11,NO
87,34,5.306402608571183E-11,NO
88,33,5.306402608571183E-11,NO
89,104,5.3844074374089586E-11,NO
90,172,5.4580463307075296E-11,NO
91,70,5.3541497212064334E-11,NO
92,140,5.419012476790882E-11,NO
93,154,5.4580463307075296E-11,NO
94,356,0.9923462246699616,NO
95,248,5.602700501227384E-11,NO
96,276,1.736694235125279E-8,YES
97,176,5.5016013290312303E-11,NO
98,637,1.0,YES
99,86,1.0,NO
100,53,1.0,NO
101,132,5.419012476790882E-11,NO
102,4088,6.098253594714405E-7,NO
103,577,1.0,YES
104,758,1.0,YES
105,101,1.0,NO
106,515,1.0,YES
107,327,1.0,NO
108,273,2.0447135120460573E-8,NO
109,136,5.419012476790882E-11,NO
110,56,5.3281683554602847E-11,NO
111,74,5.3541497212064334E-11,NO
112,359,1.0,YES
113,174,5.4580463307075296E-11,NO
114,148,5.419012476790882E-11,NO
115,92,5.3541497212064334E-11,NO
116,45,5.3281683554602847E-11,NO
117,168,5.4580463307075296E-11,NO
118,77,5.3541497212064334E-11,NO
119,664,7.242349284678789E-11,NO
120,88,5.3541497212064334E-11,NO
121,261,6.789368943523769E-10,NO
122,54,5.3281683554602847E-11,NO
123,51,6.332161818426429E-10,YES
124,140,2.2847228457436779E-10,YES
125,152,5.4580463307075296E-11,NO
126,39,5.306402608571183E-11,NO
127,131,5.419012476790882E-11,NO
128,47,5.3281683554602847E-11,NO
129,129,5.419012476790882E-11,NO
130,43,5.3281683554602847E-11,NO
131,257,1.0,YES
132,62,5.3281683554602847E-11,NO
133,45,5.3281683554602847E-11,NO
134,94,5.3541497212064334E-11,NO
135,72,5.3541497212064334E-11,NO
136,42,5.3281683554602847E-11,NO
137,48,5.3281683554602847E-11,NO
138,89,5.3541497212064334E-11,NO
139,380,5.94330045144563E-11,NO
140,138,5.419012476790882E-11,NO
141,142,5.419012476790882E-11,NO
142,191,5.5016013290312303E-11,NO
143,46,5.3281683554602847E-11,NO
144,165,5.4580463307075296E-11,NO
145,171,5.4580463307075296E-11,NO
146,56,5.3281683554602847E-11,NO
147,179,5.5016013290312303E-11,NO
148,74,5.3541497212064334E-11,NO
149,36,5.306402608571183E-11,NO
150,37,5.306402608571183E-11,NO
151,34,5.306402608571183E-11,NO
152,34,5.306402608571183E-11,NO
153,38,5.306402608571183E-11,NO
154,39,5.306402608571183E-11,NO
155,156,5.4580463307075296E-11,NO
156,84,5.3541497212064334E-11,NO
157,117,5.3844074374089586E-11,NO
158,94,5.3541497212064334E-11,NO
159,71,5.3541497212064334E-11,NO
160,183,5.5016013290312303E-11,NO
161,85,5.3541497212064334E-11,NO
162,183,5.5016013290312303E-11,NO
163,70,5.3541497212064334E-11,NO
164,54,5.3281683554602847E-11,NO
165,160,5.4580463307075296E-11,NO
166,125,2.933467236629133E-10,NO
167,151,5.4580463307075296E-11,NO
168,421,6.118199260625923E-11,NO
169,219,5.549781004169632E-11,NO
170,50,5.3281683554602847E-11,NO
171,42,5.3281683554602847E-11,NO
172,624,6.938355826381076E-11,NO
173,377,5.94330045144563E-11,NO
174,382,1.0,NO
175,72,5.3541497212064334E-11,NO
176,92,5.3541497212064334E-11,NO
177,284,5.723280407458483E-11,NO
178,371,5.94330045144563E-11,NO
179,47,5.3281683554602847E-11,NO
180,108,5.3844074374089586E-11,NO
181,111,5.3844074374089586E-11,NO
182,319,5.7912335552753364E-11,NO
183,129,5.419012476790882E-11,NO
184,49,5.3281683554602847E-11,NO
185,358,5.864513186078441E-11,NO
186,277,5.6604870365859494E-11,NO
187,49,5.3281683554602847E-11,NO
188,89,5.3541497212064334E-11,NO
189,41,5.3281683554602847E-11,NO
190,66,5.3281683554602847E-11,NO
191,63,5.3281683554602847E-11,NO
192,24,5.306402608571183E-11,NO
