ID, Size, Predicted, Actual
0,215,5.76036866359447E-4,NO
1,271,0.9994239631336406,YES
2,458,5.76036866359447E-4,YES
3,137,0.9997118155619596,NO
4,357,5.76036866359447E-4,NO
5,1243,0.9994239631336406,YES
6,51,5.76036866359447E-4,NO
7,154,5.76036866359447E-4,NO
8,31,2.8818443804034583E-4,NO
9,934,0.9999279227331699,YES
10,180,0.9999423365240456,NO
11,260,0.9994239631336406,NO
12,584,0.9994239631336406,YES
13,40,1.921598770176787E-4,NO
14,372,0.9998558662438745,YES
15,388,5.76036866359447E-4,NO
16,51,5.76036866359447E-4,NO
17,609,0.9999279227331699,YES
18,32,5.76036866359447E-4,NO
19,66,2.8818443804034583E-4,NO
20,180,0.9998846863468636,YES
21,587,0.9994239631336406,NO
22,164,2.8818443804034583E-4,NO
23,50,5.76036866359447E-4,NO
24,27,1.1531365313653138E-4,NO
25,938,0.9994239631336406,YES
26,60,0.9994239631336406,NO
27,62,5.76036866359447E-4,NO
28,87,2.8818443804034583E-4,NO
29,52,2.8818443804034583E-4,NO
30,270,0.9998078401229823,YES
31,163,0.9998078401229823,NO
32,109,0.9997118155619596,NO
33,147,0.8888390568939005,NO
34,58,0.2000691881918819,NO
35,44,0.8570840197693576,NO
36,106,0.9998558662438745,YES
37,151,0.9994239631336406,NO
38,352,0.9994239631336406,YES
39,715,0.9998078401229823,YES
40,876,0.9994239631336406,YES
41,356,5.76036866359447E-4,YES
42,27,5.76036866359447E-4,NO
43,55,2.8818443804034583E-4,NO
44,191,2.8818443804034583E-4,NO
45,90,5.76036866359447E-4,NO
46,271,5.76036866359447E-4,YES
47,137,0.9994239631336406,NO
48,79,2.8818443804034583E-4,NO
49,82,0.5,NO
50,147,0.8888390568939005,NO
51,422,5.76036866359447E-4,YES
52,1030,0.9994239631336406,YES
53,529,0.9998558662438745,YES
54,189,5.76036866359447E-4,YES
55,167,0.9998846863468636,YES
56,84,0.7499639613665849,NO
57,195,0.9998846863468636,YES
58,374,0.9998846863468636,YES
59,126,5.76036866359447E-4,YES
60,106,5.76036866359447E-4,NO
61,109,2.8818443804034583E-4,NO
62,85,0.5999884673048091,NO
63,236,0.9994239631336406,NO
64,314,0.9999423365240456,YES
65,813,0.9994239631336406,YES
66,27,1.1531365313653138E-4,NO
67,89,5.76036866359447E-4,NO
68,300,0.9994239631336406,YES
69,166,0.9994239631336406,YES
