ID, Size, Predicted, Actual
0,215,0.07,NO
1,271,0.58,YES
2,458,0.01,YES
3,137,0.3781507936507937,NO
4,357,0.05,NO
5,1243,0.94,YES
6,51,0.0,NO
7,154,0.62,NO
8,31,0.0,NO
9,934,0.87,YES
10,180,0.09,NO
11,260,0.04,NO
12,584,1.0,YES
13,40,0.0,NO
14,372,1.0,YES
15,388,0.0,NO
16,51,0.0,NO
17,609,1.0,YES
18,32,0.13655663780663785,NO
19,66,0.0,NO
20,180,0.17,YES
21,587,0.79,NO
22,164,0.46,NO
23,50,0.0,NO
24,27,0.0,NO
25,938,1.0,YES
26,60,0.0,NO
27,62,0.0,NO
28,87,0.0,NO
29,52,0.0,NO
30,270,1.0,YES
31,163,0.010952380952380951,NO
32,109,0.49,NO
33,147,0.011666666666666664,NO
34,58,0.10186133392751039,NO
35,44,0.0,NO
36,106,1.0,YES
37,151,0.0,NO
38,352,1.0,YES
39,715,1.0,YES
40,876,0.99,YES
41,356,0.25,YES
42,27,0.0,NO
43,55,0.005107142857142857,NO
44,191,0.0,NO
45,90,0.19946428571428573,NO
46,271,0.44,YES
47,137,0.09,NO
48,79,0.01,NO
49,82,0.12035714285714284,NO
50,147,0.011666666666666664,NO
51,422,0.0,YES
52,1030,1.0,YES
53,529,0.92,YES
54,189,0.0,YES
55,167,0.99,YES
56,84,0.12355444555444554,NO
57,195,1.0,YES
58,374,0.39,YES
59,126,0.0,YES
60,106,0.34,NO
61,109,0.0,NO
62,85,0.0,NO
63,236,0.73,NO
64,314,0.17,YES
65,813,0.24,YES
66,27,0.0,NO
67,89,0.0016666666666666666,NO
68,300,1.0,YES
69,166,1.0,YES
70,92,0.11904477466977466,NO
71,492,1.0,YES
72,93,0.07841522366522366,NO
73,244,0.04066666666666666,NO
74,183,0.98,YES
75,250,0.0,NO
76,109,0.0,NO
77,602,0.99,YES
78,565,1.0,YES
79,69,0.32839285714285715,NO
80,77,0.20716679824303674,NO
81,97,0.98,YES
82,337,0.16,NO
83,214,0.0,NO
84,79,0.01,NO
85,25,0.0,NO
86,84,0.12355444555444554,NO
87,34,0.006666666666666666,NO
88,33,0.0,NO
89,104,0.007666666666666665,NO
90,172,0.0,NO
91,70,0.0,NO
92,140,0.01,NO
93,154,0.62,NO
94,356,0.05,NO
95,248,0.01,NO
96,276,0.12,YES
97,176,0.0,NO
98,637,1.0,YES
99,86,1.0,NO
100,53,1.0,NO
101,132,0.0,NO
102,4088,0.05,NO
103,577,1.0,YES
104,758,1.0,YES
105,101,0.92,NO
106,515,1.0,YES
107,327,1.0,NO
108,273,0.79,NO
109,136,0.123484126984127,NO
110,56,0.13951190476190475,NO
111,74,0.0,NO
112,359,0.9,YES
113,174,0.0,NO
114,148,0.41990079365079375,NO
115,92,0.11904477466977466,NO
116,45,0.11511000111000112,NO
117,168,0.30326190476190473,NO
118,77,0.20716679824303674,NO
119,664,0.65,NO
120,88,0.0,NO
121,261,0.04,NO
122,54,0.0,NO
123,51,0.025,YES
124,140,0.77,YES
125,152,0.0,NO
126,39,0.0,NO
127,131,0.0,NO
128,47,0.0,NO
129,129,0.0,NO
130,43,0.13664817127317122,NO
131,257,0.87,YES
132,62,0.0,NO
133,45,0.11511000111000112,NO
134,94,0.2695377122877122,NO
135,72,0.0,NO
136,42,0.0,NO
137,48,0.0,NO
138,89,0.0016666666666666666,NO
139,380,0.0,NO
140,138,0.6516666666666667,NO
141,142,0.04,NO
142,191,0.0,NO
143,46,0.0,NO
144,165,0.0,NO
145,171,0.0,NO
146,56,0.13951190476190475,NO
147,179,0.0,NO
148,74,0.0,NO
149,36,0.0,NO
150,37,0.0,NO
151,34,0.006666666666666666,NO
152,34,0.006666666666666666,NO
153,38,0.19269597069597066,NO
154,39,0.0,NO
155,156,0.1,NO
156,84,0.12355444555444554,NO
157,117,0.29216666666666663,NO
158,94,0.2695377122877122,NO
159,71,0.0,NO
160,183,0.0,NO
161,85,0.0,NO
162,183,0.0,NO
163,70,0.0,NO
164,54,0.0,NO
165,160,0.0016666666666666663,NO
166,125,0.69,NO
167,151,0.0,NO
168,421,0.0,NO
169,219,0.0,NO
170,50,0.0,NO
171,42,0.0,NO
172,624,0.01,NO
173,377,0.0,NO
174,382,1.0,NO
175,72,0.0,NO
176,92,0.11904477466977466,NO
177,284,0.67,NO
178,371,0.08,NO
179,47,0.0,NO
180,108,0.0,NO
181,111,0.0,NO
182,319,0.0,NO
183,129,0.0,NO
184,49,0.0,NO
185,358,0.07,NO
186,277,0.04,NO
187,49,0.0,NO
188,89,0.0016666666666666666,NO
189,41,0.0,NO
190,66,0.0,NO
191,63,0.09856760559701733,NO
192,24,0.0,NO
193,50,0.0,NO
194,72,0.0,NO
195,47,0.0,NO
196,47,0.0,NO
197,183,0.0,NO
198,49,0.0,NO
199,50,0.0,NO
200,98,0.13132112332112328,NO
201,143,0.04,NO
202,43,0.13664817127317122,NO
203,42,0.0,NO
204,56,0.13951190476190475,NO
205,44,0.0,NO
206,26,0.0,NO
207,254,0.01,NO
208,16883,0.02,NO
209,74,0.0,NO
210,153,0.01,NO
211,68,0.07758333333333332,NO
212,100,0.013500000000000003,NO
213,549,0.04,NO
214,437,0.0,NO
215,1033,0.1,NO
216,101,0.3081190476190477,NO
217,331,0.0,NO
218,123,0.0,NO
219,106,0.0,NO
220,106,0.13,NO
221,93,0.07841522366522366,NO
222,101,0.3081190476190477,NO
223,38,0.19269597069597066,NO
224,584,0.0,YES
225,32,0.13655663780663785,NO
226,111,0.0,NO
227,35,0.15272832722832724,NO
228,90,0.19946428571428573,NO
229,27,0.0,NO
230,28,0.0,NO
231,92,0.11904477466977466,NO
232,907,1.0,YES
233,67,0.0,NO
234,29,0.0,NO
235,105,0.48970634920634915,NO
236,72,0.0,NO
237,37,0.0,NO
238,47,0.0,NO
239,31,0.0,NO
240,90,0.19946428571428573,NO
241,223,0.0,NO
242,214,0.0,NO
243,107,0.0,NO
244,37,0.0,NO
245,27,0.0,NO
246,48,0.0,NO
247,166,0.06916666666666665,NO
248,213,0.0,NO
249,866,0.59,NO
250,159,0.0016666666666666663,NO
251,100,0.013500000000000003,NO
252,96,0.49553643578643597,NO
253,841,0.24,NO
254,525,0.94,NO
255,83,0.3438095238095238,NO
256,63,0.09856760559701733,NO
257,76,0.00202020202020202,NO
258,202,0.0,NO
259,155,0.1,NO
260,1262,0.1,NO
261,74,0.0,NO
262,101,0.3081190476190477,NO
263,27,0.0,NO
264,22,0.0,NO
265,489,0.13,NO
266,62,0.0,NO
267,59,0.0,NO
268,99,0.0,NO
269,27,0.0,NO
270,77,0.20716679824303674,NO
271,862,1.0,YES
272,64,0.11794319569319572,NO
273,45,0.11511000111000112,NO
274,63,0.09856760559701733,NO
275,54,0.0,NO
276,64,0.11794319569319572,NO
277,132,0.0,NO
278,177,0.53,NO
279,70,0.0,NO
280,36,0.0,NO
281,58,0.10186133392751039,NO
282,62,0.0,NO
283,132,0.0,NO
284,74,0.0,NO
285,83,0.3438095238095238,NO
286,74,0.0,NO
287,48,0.0,NO
288,74,0.0,NO
289,86,0.0,NO
290,355,0.05,NO
291,53,0.0,NO
292,798,0.13,NO
293,75,0.0,NO
294,125,0.0,NO
295,200,0.05,NO
296,134,0.0,NO
297,57,0.005968253968253968,NO
298,123,0.0,NO
299,204,0.0,YES
300,162,0.21126190476190468,NO
301,130,0.0,YES
302,108,0.0,YES
303,353,0.05,YES
304,80,0.13783333333333336,YES
305,28,0.0,NO
306,57,0.005968253968253968,NO
307,306,0.01,YES
308,340,0.0,YES
309,103,0.0,NO
310,35,0.15272832722832724,NO
311,98,0.13132112332112328,NO
312,117,0.29216666666666663,NO
