ID, Size, Predicted, Actual
0,215,0.4456321420560551,NO
1,273,1.0,YES
2,460,1.0,YES
3,138,1.0,YES
4,358,1.0,YES
5,1248,1.0,YES
6,51,0.4456321420560551,NO
7,157,1.0,YES
8,31,0.4456321420560551,NO
9,981,0.808,YES
10,180,0.4456321420560551,NO
11,262,1.0,YES
12,553,1.0,YES
13,40,0.4456321420560551,NO
14,369,1.0,YES
15,390,1.0,YES
16,51,0.4456321420560551,NO
17,577,0.4456321420560551,YES
18,32,0.4456321420560551,NO
19,66,0.4456321420560551,NO
20,188,1.0,YES
21,582,0.4456321420560551,NO
22,160,1.0,YES
23,50,0.4456321420560551,NO
24,27,0.4456321420560551,NO
25,923,1.0,YES
26,60,0.4456321420560551,NO
27,62,0.4456321420560551,NO
28,87,0.4456321420560551,NO
29,52,0.4456321420560551,NO
30,268,0.4456321420560551,YES
31,163,0.4456321420560551,NO
32,109,0.4456321420560551,NO
33,147,0.4456321420560551,NO
34,58,0.4456321420560551,NO
35,44,0.4456321420560551,NO
36,106,0.4456321420560551,YES
37,139,0.4456321420560551,NO
38,326,0.4456321420560551,YES
39,648,0.4456321420560551,YES
40,792,1.0,YES
41,319,1.0,YES
42,55,0.4456321420560551,NO
43,191,0.4456321420560551,NO
44,90,0.4456321420560551,NO
45,273,0.4456321420560551,YES
46,137,0.4456321420560551,NO
47,79,0.4456321420560551,NO
48,82,0.4456321420560551,NO
49,147,0.4456321420560551,NO
50,422,0.4456321420560551,YES
51,979,1.0,YES
52,495,1.0,YES
53,189,0.4456321420560551,YES
54,167,0.34,YES
55,86,1.0,YES
56,182,0.4456321420560551,YES
57,361,0.02,YES
58,126,0.4456321420560551,YES
59,106,0.4456321420560551,NO
60,109,0.4456321420560551,NO
61,85,0.4456321420560551,NO
62,236,0.4456321420560551,NO
63,315,1.0,YES
64,695,1.0,YES
65,27,0.4456321420560551,NO
66,89,0.4456321420560551,NO
67,301,1.0,YES
68,153,0.4456321420560551,YES
69,92,0.4456321420560551,NO
70,466,1.0,YES
71,93,0.4456321420560551,NO
72,244,0.4456321420560551,NO
73,192,0.4456321420560551,YES
74,252,1.0,YES
75,109,0.4456321420560551,NO
76,601,0.4456321420560551,YES
77,565,1.0,YES
78,69,0.4456321420560551,NO
79,77,0.4456321420560551,NO
80,94,0.4456321420560551,YES
81,337,0.4456321420560551,NO
82,214,0.4456321420560551,NO
83,79,0.4456321420560551,NO
84,25,0.4456321420560551,NO
85,84,0.4456321420560551,NO
86,34,0.4456321420560551,NO
87,33,0.4456321420560551,NO
88,104,0.4456321420560551,NO
89,172,0.4456321420560551,NO
90,70,0.4456321420560551,NO
91,140,0.4456321420560551,NO
92,156,1.0,YES
93,248,0.4456321420560551,NO
94,277,1.0,YES
95,189,0.81,NO
96,194,0.56,NO
97,346,0.73,NO
98,304,0.98,NO
99,356,1.0,YES
100,84,1.0,YES
101,53,1.0,YES
102,132,0.4456321420560551,NO
103,4088,0.4456321420560551,NO
104,691,0.98,YES
105,47,0.25166666666666665,NO
106,101,1.0,YES
107,510,1.0,YES
108,328,1.0,YES
109,273,0.4456321420560551,NO
110,136,0.4456321420560551,NO
111,56,0.4456321420560551,NO
112,74,0.4456321420560551,NO
113,359,1.0,YES
114,174,0.4456321420560551,NO
115,148,0.4456321420560551,NO
116,92,0.4456321420560551,NO
117,45,0.4456321420560551,NO
118,168,0.4456321420560551,NO
119,77,0.4456321420560551,NO
120,666,1.0,YES
121,88,0.4456321420560551,NO
122,262,1.0,YES
123,54,0.4456321420560551,NO
124,48,0.4456321420560551,YES
125,140,0.4456321420560551,YES
126,152,0.4456321420560551,NO
127,39,0.4456321420560551,NO
128,131,0.4456321420560551,NO
129,47,0.4456321420560551,NO
130,129,0.4456321420560551,NO
131,43,0.4456321420560551,NO
132,243,0.4456321420560551,YES
133,62,0.4456321420560551,NO
134,45,0.4456321420560551,NO
135,97,1.0,YES
136,476,0.97,NO
137,77,0.7902380952380954,NO
138,69,0.22,NO
139,104,0.5,NO
140,115,0.7174047619047619,NO
141,421,0.86,NO
142,61,0.08,NO
143,2009,1.0,YES
144,179,1.0,NO
145,106,0.945,NO
146,33,0.39779761904761907,NO
147,657,0.78,NO
148,295,1.0,NO
149,872,0.81,NO
150,444,0.99,NO
151,168,1.0,NO
152,752,0.82,NO
