ID, Size, Predicted, Actual
0,215,0.0,NO
1,271,0.15,YES
2,458,0.44,YES
3,137,0.08,YES
4,357,1.0,YES
5,1242,1.0,YES
6,51,0.0,NO
7,154,0.02,YES
8,31,0.0,NO
9,928,0.95,YES
10,180,0.01,NO
11,260,0.99,YES
12,551,0.57,YES
13,40,0.0,NO
14,361,0.2,YES
15,388,1.0,YES
16,51,0.0375,NO
17,577,0.95,YES
18,32,0.03333333333333333,NO
19,66,0.0,NO
20,188,0.97,YES
21,582,1.0,YES
22,158,0.03,YES
23,50,0.03,NO
24,27,0.0,NO
25,928,1.0,YES
26,60,0.0,NO
27,62,0.0,NO
28,87,0.185,NO
29,52,0.050833333333333335,NO
30,268,1.0,YES
31,163,0.01,NO
32,109,0.14,NO
33,147,0.01,NO
34,58,0.02,NO
35,44,0.0,NO
36,106,0.24,YES
37,139,0.11,NO
38,326,1.0,YES
39,648,1.0,YES
40,778,1.0,YES
41,314,1.0,YES
42,55,0.0,NO
43,191,0.67,NO
44,90,0.03,NO
45,273,1.0,YES
46,137,0.79,YES
47,79,0.0,NO
48,82,0.40999999999999986,NO
49,147,0.53,YES
50,422,0.7,YES
51,978,1.0,YES
52,467,1.0,YES
53,189,0.64,YES
54,153,0.99,YES
55,84,0.0,YES
56,182,0.97,YES
57,358,1.0,YES
58,126,0.83,YES
59,106,0.82,NO
60,109,0.69,NO
61,85,0.0,NO
62,236,0.85,YES
63,314,0.97,YES
64,694,0.88,YES
65,27,0.0,NO
66,89,0.99,YES
67,301,0.93,YES
68,153,0.58,YES
69,92,0.06,NO
70,466,0.66,YES
71,93,0.03,NO
72,244,1.0,NO
73,192,0.36,YES
74,250,1.0,YES
75,109,0.16,NO
76,601,0.05,YES
77,565,0.9,YES
78,69,0.96,YES
79,77,0.02,NO
80,94,0.0,YES
81,337,0.54,NO
82,214,0.05,NO
83,79,0.7846666666666667,NO
84,25,0.0,NO
85,84,0.039,NO
86,34,0.8008333333333333,NO
87,33,0.5741666666666666,NO
88,104,0.27,NO
89,172,0.05,NO
90,70,0.0,NO
91,140,0.91,NO
92,154,0.02,YES
93,248,0.98,YES
94,275,1.0,YES
95,176,0.13,NO
96,624,1.0,YES
97,91,0.95,YES
98,58,0.0,YES
99,132,0.55,NO
100,4088,0.48,YES
101,558,1.0,YES
102,727,1.0,YES
103,150,0.99,YES
104,503,0.4,YES
105,325,1.0,YES
106,273,1.0,YES
107,136,0.99,YES
108,56,0.55,NO
109,74,0.055,NO
110,357,0.99,NO
111,174,0.0,NO
112,148,0.0,NO
113,92,0.0,NO
114,45,0.0,NO
115,168,1.0,YES
116,77,0.0,NO
117,664,0.09,YES
118,88,0.01,NO
119,260,0.58,YES
120,54,0.0,NO
121,48,0.97,YES
122,140,1.0,YES
123,152,0.01,NO
124,39,0.0,NO
125,131,0.55,NO
126,47,0.0,NO
127,129,0.96,YES
128,43,0.0,NO
129,243,0.78,YES
130,62,0.95,YES
131,45,0.012666666666666666,NO
132,94,0.95,YES
133,72,0.0,NO
134,42,0.0,NO
135,48,0.0,NO
136,89,0.97,YES
137,380,1.0,YES
138,138,0.99,YES
139,142,0.99,YES
140,191,1.0,YES
141,46,0.0,NO
142,165,0.01,NO
143,171,0.07,NO
144,56,0.55,NO
145,179,1.0,YES
146,74,0.0,NO
147,36,0.04,NO
148,37,0.0,NO
149,34,1.0,YES
150,34,1.0,YES
151,38,0.0,NO
152,39,0.0,NO
153,156,0.1,NO
154,84,0.039,NO
155,117,0.97,YES
156,94,0.03,NO
157,71,0.09507936507936507,NO
158,183,1.0,YES
159,85,0.12,NO
160,183,1.0,YES
161,70,0.03649999999999999,NO
162,54,0.01,NO
163,160,0.0,NO
164,125,0.91,YES
165,151,1.0,YES
166,421,1.0,YES
167,219,0.95,YES
168,50,0.03,NO
169,42,0.97,YES
170,624,0.05,NO
171,377,1.0,YES
172,383,1.0,YES
173,72,0.0,NO
174,92,0.0,NO
175,284,0.64,YES
176,371,0.76,NO
177,47,0.18,NO
178,108,0.99,YES
179,111,0.15,NO
180,319,1.0,YES
181,129,0.94,YES
182,49,0.03,NO
183,358,1.0,YES
184,277,0.58,YES
185,49,0.0,NO
186,89,0.0,NO
187,41,0.0,NO
188,66,0.0,NO
189,63,0.0,NO
190,24,0.0,NO
191,50,0.03,NO
192,72,0.09507936507936507,NO
193,47,0.18,NO
194,47,0.0,NO
195,183,0.04,NO
196,49,0.0,NO
197,50,0.0,NO
198,98,0.0,NO
199,143,0.11,NO
200,43,0.0,NO
201,42,0.0,NO
202,56,0.0,NO
203,44,0.0245,NO
204,26,0.0,NO
205,254,1.0,YES
206,16883,0.69,YES
207,74,0.015,NO
208,153,0.01,NO
