ID, Size, Predicted, Actual
0,215,0.0,NO
1,271,0.0,YES
2,458,0.23600000000000002,YES
3,137,0.0,YES
4,357,1.0,YES
5,1242,0.98,YES
6,51,0.0,NO
7,154,0.21,YES
8,31,0.0,NO
9,928,0.86,YES
10,180,0.0,NO
11,260,0.97,YES
12,551,0.92,YES
13,40,0.0,NO
14,361,0.54,YES
15,388,0.98,YES
16,51,0.1,NO
17,577,0.95,YES
18,32,0.0,NO
19,66,0.0,NO
20,188,0.99,YES
21,582,0.98,YES
22,158,0.14,YES
23,50,0.12,NO
24,27,0.0,NO
25,928,0.97,YES
26,60,0.0,NO
27,62,0.1,NO
28,87,0.13,NO
29,52,0.11,NO
30,268,0.94,YES
31,163,0.0,NO
32,109,0.15,NO
33,147,0.0,NO
34,58,0.11,NO
35,44,0.0,NO
36,106,0.22,YES
37,139,0.0,NO
38,326,0.3833333333333333,YES
39,648,0.94,YES
40,778,0.95,YES
41,314,0.94,YES
42,55,0.0,NO
43,191,0.12,NO
44,90,0.271,NO
45,273,0.75,YES
46,137,0.97,YES
47,79,0.146,NO
48,82,0.04,NO
49,147,0.86,YES
50,422,0.54,YES
51,978,0.91,YES
52,467,0.96,YES
53,189,0.31,YES
54,153,0.92,YES
55,84,0.0,YES
56,182,0.99,YES
57,358,0.94,YES
58,126,0.96,YES
59,106,0.30433333333333334,NO
60,109,0.335,NO
61,85,0.0,NO
62,236,0.95,YES
63,314,0.94,YES
64,694,0.9,YES
65,27,0.0,NO
66,89,0.94,YES
67,301,0.94,YES
68,153,0.97,YES
69,92,0.32,NO
70,466,0.91,YES
71,93,0.34,NO
72,244,0.4,NO
73,192,0.28,YES
74,250,0.48,YES
75,109,0.5925,NO
76,601,0.68,YES
77,565,0.95,YES
78,69,0.65,YES
79,77,0.09,NO
80,94,0.03,YES
81,337,0.69,NO
82,214,0.22,NO
83,79,0.72,NO
84,25,0.0,NO
85,84,0.54,NO
86,34,0.7408333333333332,NO
87,33,0.4531428571428572,NO
88,104,0.26,NO
89,172,0.46,NO
90,70,0.02,NO
91,140,0.84,NO
92,154,0.12,YES
93,248,1.0,YES
94,275,1.0,YES
95,176,0.15,NO
96,624,0.96,YES
97,91,0.94,YES
98,58,0.0,YES
99,132,0.12,NO
100,4088,0.69,YES
101,558,0.99,YES
102,727,0.99,YES
103,150,0.98,YES
104,503,0.57,YES
105,325,0.74,YES
106,273,0.87,YES
107,136,0.81,YES
108,56,0.67,NO
109,74,0.28,NO
110,357,0.77,NO
111,174,0.0,NO
112,148,0.0,NO
113,92,0.0,NO
114,45,0.0025,NO
115,168,0.81,YES
116,77,0.0,NO
117,664,0.01,YES
118,88,0.3988095238095238,NO
119,260,0.96,YES
120,54,0.0,NO
121,48,0.9,YES
122,140,0.87,YES
123,152,0.2,NO
124,39,0.0,NO
125,131,0.69,NO
126,47,0.0,NO
127,129,0.9,YES
128,43,0.0,NO
129,243,0.88,YES
130,62,0.8816666666666667,YES
131,45,0.0,NO
132,94,0.6,YES
133,72,0.0,NO
134,42,0.0,NO
135,48,0.0,NO
136,89,0.8783333333333333,YES
137,380,0.99,YES
138,138,0.98,YES
139,142,0.96,YES
140,191,0.96,YES
141,46,0.0,NO
142,165,0.0,NO
143,171,0.24600000000000002,NO
144,56,0.1,NO
145,179,0.98,YES
