ID, Size, Predicted, Actual
0,215,0.16,NO
1,274,0.24,YES
2,461,0.35,YES
3,138,0.22,NO
4,358,0.0,NO
5,1248,1.0,YES
6,51,0.0,NO
7,45,0.07016666666666668,NO
8,157,0.11266666666666665,NO
9,31,0.0,NO
10,1008,0.5,YES
11,55,0.4135714285714286,NO
12,204,0.7,NO
13,55,0.5500714285714284,NO
14,103,0.27,NO
15,83,1.0,YES
16,262,0.16,NO
17,83,0.48,NO
18,867,0.97,YES
19,40,0.006666666666666665,NO
20,387,0.67,YES
21,390,0.24,NO
22,51,0.0,NO
23,637,1.0,YES
24,32,0.0,NO
25,68,0.11,YES
26,547,0.98,NO
27,566,0.96,NO
28,314,0.98,YES
29,839,0.91,NO
30,211,0.67,NO
31,31,0.5178095238095237,NO
32,50,0.0,NO
33,27,0.0,NO
34,175,0.72,NO
35,50,0.44049999999999995,NO
36,62,0.033874458874458876,NO
37,87,0.07,NO
38,52,0.0,NO
39,373,0.83,NO
40,224,0.66,NO
41,118,0.0,YES
42,83,0.7016428571428571,NO
43,147,0.18133333333333337,NO
44,58,0.07323809523809524,NO
45,44,0.16338095238095235,NO
46,106,0.7258968253968253,NO
47,189,0.7,NO
48,151,0.2514761904761905,NO
49,352,0.02,YES
50,849,0.66,YES
51,877,0.39,YES
52,41,0.3493333333333334,NO
53,319,0.54,YES
54,27,0.0,NO
55,55,0.0,NO
56,94,0.8502045454545455,NO
57,191,0.31,NO
58,90,0.01723015873015873,NO
59,90,0.01723015873015873,NO
60,271,0.17,YES
61,152,0.64,NO
62,90,0.91,YES
63,82,0.10666666666666665,NO
64,147,0.18133333333333337,NO
65,422,0.24,YES
66,1059,1.0,YES
67,530,0.63,NO
68,205,0.71,YES
69,190,1.0,YES
70,86,0.08,NO
71,207,0.99,YES
72,397,0.79,YES
73,573,0.96,NO
74,126,0.0,YES
75,167,0.5875,YES
76,109,0.007142857142857144,NO
77,85,0.06633333333333334,NO
78,237,0.72,NO
79,424,0.84,YES
80,47,0.0,NO
81,1118,0.99,YES
82,27,0.0,NO
83,89,0.010444444444444444,NO
84,474,0.72,YES
85,166,0.054642857142857146,NO
86,92,0.5191363636363637,NO
87,476,0.65,YES
88,93,0.35314285714285715,NO
89,244,0.58,NO
90,204,0.66,YES
91,252,0.13,NO
92,109,0.007142857142857144,YES
93,618,0.73,YES
94,565,0.96,YES
95,69,0.7403015873015872,NO
96,77,0.15,NO
97,97,0.5527225829725828,NO
98,343,0.07,NO
99,214,0.01,NO
100,79,0.11,NO
101,25,0.0,NO
102,84,0.5748138528138529,NO
103,34,0.0,NO
104,33,0.0,NO
105,104,0.5387925685425684,NO
106,172,0.0,NO
107,70,0.052809523809523806,NO
108,140,0.07666666666666667,NO
109,156,0.126,NO
110,142,0.0,NO
111,152,0.44045238095238093,NO
112,31,0.0,NO
113,60,0.006,NO
114,60,0.006,NO
115,876,0.69,NO
116,61,0.011666666666666665,NO
117,185,0.06,NO
118,264,1.0,NO
119,43,0.7910714285714285,NO
120,248,0.27,NO
121,310,1.0,YES
122,199,0.6,NO
123,194,0.19,NO
124,346,0.07,NO
125,90,0.66,NO
126,335,0.35,YES
127,372,1.0,YES
128,84,0.5748138528138529,NO
129,53,0.0,NO
130,148,0.6775,YES
131,4088,0.27,NO
132,860,0.78,YES
133,47,0.0,NO
134,101,0.6950119047619047,NO
135,517,0.5,YES
136,327,0.92,YES
137,275,0.36,YES
138,136,0.2,YES
139,56,0.01225,NO
140,74,0.0,YES
141,362,0.54,YES
142,174,0.2,NO
143,148,0.26,NO
144,92,0.13277777777777777,NO
145,45,0.5716060606060607,NO
146,39,0.22999999999999995,NO
147,182,0.89,NO
148,77,0.11,NO
149,666,0.9226547619047619,NO
150,88,0.0,YES
151,263,0.85,YES
152,54,0.0,NO
153,76,0.3685714285714286,YES
154,132,0.19,NO
155,160,0.39233333333333326,YES
156,152,0.44045238095238093,NO
157,39,0.022166666666666668,NO
158,677,0.9226547619047619,NO
159,131,0.0,NO
160,47,0.0,NO
161,129,0.0,NO
162,43,0.0,NO
163,73,0.12316666666666669,NO
164,257,0.2,NO
165,356,0.0,NO
166,62,0.033874458874458876,NO
167,45,0.5716060606060607,NO
168,97,0.5527225829725828,NO
169,131,0.94,YES
170,68,0.2851666666666667,YES
171,99,0.36,NO
172,53,0.30300000000000005,NO
173,81,0.92,NO
174,78,0.9587142857142856,YES
175,69,0.12416666666666666,NO
176,69,0.12416666666666666,NO
177,77,0.7951904761904762,NO
178,72,0.12316666666666669,NO
179,72,0.12316666666666669,NO
180,63,0.5849166666666666,NO
181,50,0.01,NO
182,28,0.11357142857142857,NO
183,96,0.76,NO
184,40,0.29,NO
185,76,0.5743571428571429,NO
186,49,0.0,NO
187,63,0.5849166666666666,NO
188,55,0.5500714285714284,NO
189,45,0.07016666666666668,NO
190,476,0.03,NO
191,77,0.15,NO
192,69,0.7403015873015872,NO
193,104,0.5387925685425684,NO
194,115,0.0,NO
195,421,0.0,NO
196,61,0.011666666666666665,NO
197,2009,0.44,NO
198,179,0.2,NO
199,106,0.7258968253968253,NO
200,33,0.0,NO
201,657,0.9226547619047619,NO
202,295,0.15583333333333335,NO
203,872,0.69,NO
204,444,0.0,NO
205,168,0.01,NO
206,752,0.72175,NO
207,135,0.20556349206349203,NO
208,1126,0.44,NO
209,163,0.2905595238095238,NO
210,184,0.06,NO
211,51,0.0,NO
212,25,0.0,NO
213,180,0.29,NO
214,64,0.1475627705627706,NO
215,101,0.6950119047619047,NO
216,512,0.5,NO
217,187,0.02,NO
218,56,0.01225,NO
219,39,0.022166666666666668,NO
220,261,0.84,NO
221,73,0.0,NO
222,65,0.0105,NO
223,329,0.66,NO
224,64,0.1475627705627706,NO
225,164,0.11030952380952379,NO
226,624,0.53,NO
227,74,0.0,NO
228,117,0.0,NO
229,84,0.5748138528138529,NO
230,226,0.07,NO
231,76,0.04,NO
232,323,0.92,NO
233,72,0.0,NO
234,42,0.0,NO
235,48,0.0,NO
