ID, Size, Predicted, Actual
0,215,0.0017667844522968198,NO
1,271,0.0017667844522968198,YES
2,458,0.0017667844522968198,YES
3,137,0.0017667844522968198,YES
4,357,0.9995571302037202,YES
5,1242,0.9995571302037202,YES
6,51,0.0017667844522968198,NO
7,154,0.0017667844522968198,YES
8,31,0.0017667844522968198,NO
9,928,0.9982332155477032,YES
10,180,0.0017667844522968198,NO
11,260,0.9997046662728883,YES
12,551,0.9982332155477032,YES
13,40,8.849557522123894E-4,NO
14,361,0.9982332155477032,YES
15,388,0.9997046662728883,YES
16,51,0.9982332155477032,NO
17,577,0.9996456413890857,YES
18,32,0.0017667844522968198,NO
19,66,5.903187721369539E-4,NO
20,188,0.9982332155477032,YES
21,582,0.9997046662728883,YES
22,158,0.0017667844522968198,YES
23,50,0.0017667844522968198,NO
24,27,0.0017667844522968198,NO
25,928,0.999409681227863,YES
26,60,5.903187721369539E-4,NO
27,62,0.0017667844522968198,NO
28,87,0.0017667844522968198,NO
29,52,0.0017667844522968198,NO
30,268,0.999409681227863,YES
31,163,0.0017667844522968198,NO
32,109,0.0017667844522968198,NO
33,147,0.0017667844522968198,NO
34,58,0.0017667844522968198,NO
35,44,0.0017667844522968198,NO
36,106,0.0017667844522968198,YES
37,139,0.0017667844522968198,NO
38,326,0.0017667844522968198,YES
39,648,0.9982332155477032,YES
40,778,0.9982332155477032,YES
41,314,0.9997046662728883,YES
42,55,0.0017667844522968198,NO
43,191,0.0017667844522968198,NO
44,90,0.0017667844522968198,NO
45,273,0.9982332155477032,YES
46,137,0.9991150442477876,YES
47,79,0.0017667844522968198,NO
48,82,0.0017667844522968198,NO
49,147,0.9991150442477876,YES
50,422,0.9982332155477032,YES
51,978,0.9995571302037202,YES
52,467,0.9982332155477032,YES
53,189,0.0017667844522968198,YES
54,153,0.9982332155477032,YES
55,84,0.0017667844522968198,YES
56,182,0.9982332155477032,YES
57,358,0.999409681227863,YES
58,126,0.9991150442477876,YES
59,106,0.0017667844522968198,NO
60,109,0.0017667844522968198,NO
61,85,0.0017667844522968198,NO
62,236,0.9991150442477876,YES
63,314,0.999409681227863,YES
64,694,0.9982332155477032,YES
65,27,0.0017667844522968198,NO
66,89,0.9995571302037202,YES
67,301,0.9982332155477032,YES
68,153,0.9982332155477032,YES
69,92,0.0017667844522968198,NO
70,466,0.9982332155477032,YES
71,93,0.0017667844522968198,NO
72,244,0.9982332155477032,NO
73,192,0.0017667844522968198,YES
74,250,0.9996456413890857,YES
75,109,0.0017667844522968198,NO
76,601,0.999409681227863,YES
77,565,0.9995571302037202,YES
78,69,0.999409681227863,YES
79,77,0.0017667844522968198,NO
80,94,0.0017667844522968198,YES
81,337,0.9982332155477032,NO
82,214,0.0017667844522968198,NO
83,79,0.9982332155477032,NO
84,25,0.0017667844522968198,NO
85,84,0.9996456413890857,NO
86,34,0.9995571302037202,NO
87,33,0.9982332155477032,NO
88,104,0.0017667844522968198,NO
89,172,0.9982332155477032,NO
90,70,0.0017667844522968198,NO
91,140,0.9995571302037202,NO
92,154,0.9982332155477032,YES
93,248,0.9995571302037202,YES
94,275,0.999746835443038,YES
95,176,0.0017667844522968198,NO
96,624,0.9982332155477032,YES
97,91,0.9995571302037202,YES
98,58,5.903187721369539E-4,YES
99,132,0.0017667844522968198,NO
100,4088,0.9991150442477876,YES
101,558,0.9982332155477032,YES
102,727,0.9991150442477876,YES
103,150,0.9995571302037202,YES
104,503,0.9982332155477032,YES
105,325,0.999409681227863,YES
106,273,0.999409681227863,YES
107,136,0.9997046662728883,YES
108,56,0.9982332155477032,NO
109,74,0.0017667844522968198,NO
110,357,0.9982332155477032,NO
111,174,0.0017667844522968198,NO
112,148,0.0017667844522968198,NO
113,92,0.0017667844522968198,NO
114,45,0.0017667844522968198,NO
115,168,0.999409681227863,YES
116,77,0.0017667844522968198,NO
117,664,0.0017667844522968198,YES
118,88,0.9995571302037202,NO
119,260,0.9982332155477032,YES
120,54,0.0017667844522968198,NO
121,48,0.9995571302037202,YES
122,140,0.999409681227863,YES
123,152,0.9982332155477032,NO
124,39,0.0017667844522968198,NO
125,131,0.9995571302037202,NO
126,47,0.0017667844522968198,NO
127,129,0.999409681227863,YES
128,43,0.0017667844522968198,NO
129,243,0.9991150442477876,YES
130,62,0.999409681227863,YES
131,45,0.999409681227863,NO
132,94,0.999409681227863,YES
133,72,0.0017667844522968198,NO
134,42,0.0017667844522968198,NO
135,48,0.0017667844522968198,NO
136,89,0.999409681227863,YES
137,380,0.9997046662728883,YES
138,138,0.9995571302037202,YES
139,142,0.999409681227863,YES
140,191,0.9995571302037202,YES
141,46,0.0017667844522968198,NO
142,165,0.0017667844522968198,NO
143,171,0.0017667844522968198,NO
144,56,0.0017667844522968198,NO
145,179,0.9991150442477876,YES
146,74,0.0017667844522968198,NO
147,36,0.0017667844522968198,NO
148,37,0.0017667844522968198,NO
149,34,0.9991150442477876,YES
150,34,0.9991150442477876,YES
151,38,0.0017667844522968198,NO
152,39,0.0017667844522968198,NO
153,156,0.9982332155477032,NO
154,84,0.9996456413890857,NO
155,117,0.9997046662728883,YES
156,94,0.0017667844522968198,NO
157,71,0.5,NO
158,183,0.999409681227863,YES
159,85,0.9982332155477032,NO
160,183,0.9996456413890857,YES
161,70,0.0017667844522968198,NO
162,54,0.0017667844522968198,NO
163,160,0.9982332155477032,NO
164,125,0.9991150442477876,YES
165,151,0.9991150442477876,YES
166,421,0.9991150442477876,YES
167,219,0.9991150442477876,YES
168,50,0.9982332155477032,NO
169,42,0.999409681227863,YES
170,624,0.9982332155477032,NO
171,377,0.9982332155477032,YES
172,383,0.9982332155477032,YES
173,72,0.0017667844522968198,NO
174,92,8.849557522123894E-4,NO
175,284,0.0017667844522968198,YES
176,371,0.9982332155477032,NO
177,47,0.9982332155477032,NO
178,108,0.999409681227863,YES
