ID, Size, Predicted, Actual
0,79,5.85480093676815E-4,NO
1,87,5.85480093676815E-4,NO
2,68,5.85480093676815E-4,NO
3,58,1.9531249999999998E-4,NO
4,196,0.5,NO
5,132,5.85480093676815E-4,NO
6,64,1.4649868151186637E-4,NO
7,134,5.85480093676815E-4,NO
8,173,5.85480093676815E-4,NO
9,246,0.9994145199063231,NO
10,107,5.85480093676815E-4,NO
11,121,2.9291154071470416E-4,NO
12,110,0.9994145199063231,YES
13,58,1.9531249999999998E-4,NO
14,37,1.9531249999999998E-4,NO
15,77,0.9994145199063231,YES
16,142,0.9994145199063231,YES
17,114,5.85480093676815E-4,NO
18,59,1.1720581340834505E-4,NO
19,64,1.4649868151186637E-4,NO
20,164,5.85480093676815E-4,NO
21,70,5.85480093676815E-4,NO
22,32,3.663272034581288E-5,NO
23,148,5.85480093676815E-4,NO
24,156,5.85480093676815E-4,NO
25,119,5.85480093676815E-4,NO
26,118,5.85480093676815E-4,NO
27,156,5.85480093676815E-4,NO
28,85,2.9291154071470416E-4,NO
29,48,1.9531249999999998E-4,YES
30,146,5.85480093676815E-4,NO
31,113,5.85480093676815E-4,NO
32,147,5.85480093676815E-4,NO
33,40,0.9994145199063231,NO
34,125,5.85480093676815E-4,NO
35,252,0.9994145199063231,NO
36,368,5.85480093676815E-4,NO
37,106,2.9291154071470416E-4,NO
38,181,5.85480093676815E-4,NO
39,263,5.85480093676815E-4,NO
40,590,5.85480093676815E-4,YES
41,39,1.9531249999999998E-4,NO
42,39,1.9531249999999998E-4,NO
43,39,1.9531249999999998E-4,NO
44,24,9.767532721234616E-5,NO
45,62,1.9531249999999998E-4,NO
46,77,1.9531249999999998E-4,NO
47,77,1.9531249999999998E-4,NO
48,54,2.9291154071470416E-4,NO
49,90,5.85480093676815E-4,NO
50,58,5.85480093676815E-4,NO
51,24,9.767532721234616E-5,NO
52,64,2.9291154071470416E-4,NO
53,216,5.85480093676815E-4,NO
54,36,8.372404554588077E-5,NO
55,36,8.372404554588077E-5,NO
56,202,5.85480093676815E-4,NO
57,74,5.85480093676815E-4,NO
58,71,1.4649868151186637E-4,NO
59,56,5.85480093676815E-4,NO
60,44,5.8609776110655256E-5,NO
61,55,2.9291154071470416E-4,NO
62,47,5.85480093676815E-4,NO
63,101,0.9994145199063231,YES
64,109,0.9994145199063231,NO
65,28,5.85480093676815E-4,NO
66,54,5.85480093676815E-4,YES
67,158,0.9994145199063231,YES
68,52,0.9994145199063231,YES
69,53,5.85480093676815E-4,YES
70,81,0.9994145199063231,YES
71,83,0.9994145199063231,YES
72,63,5.85480093676815E-4,YES
73,48,0.9994145199063231,YES
74,55,5.85480093676815E-4,YES
75,149,0.9994145199063231,YES
76,263,0.9994145199063231,YES
77,179,0.9994145199063231,YES
78,37,0.9994145199063231,YES
79,25,2.9291154071470416E-4,YES
80,30,2.9291154071470416E-4,YES
81,36,0.9994145199063231,YES
82,30,2.9291154071470416E-4,YES
83,27,2.9291154071470416E-4,YES
84,37,0.9994145199063231,YES
85,33,2.9291154071470416E-4,YES
86,31,2.9291154071470416E-4,YES
87,56,5.85480093676815E-4,YES
88,101,0.9994145199063231,YES
89,139,0.9997070884592852,YES
90,85,0.9994145199063231,YES
91,95,0.9994145199063231,YES
92,60,5.85480093676815E-4,YES
93,35,0.9994145199063231,YES
94,26,2.9291154071470416E-4,YES
95,69,0.9994145199063231,YES
96,64,5.85480093676815E-4,YES
97,39,0.9994145199063231,YES
98,41,0.9994145199063231,YES
99,167,0.9994145199063231,YES
100,66,5.85480093676815E-4,YES
101,93,0.9994145199063231,YES
102,76,1.9531249999999998E-4,NO
103,77,0.9994145199063231,YES
104,83,0.9994145199063231,YES
105,48,1.9531249999999998E-4,NO
106,85,2.9291154071470416E-4,NO
107,43,1.9531249999999998E-4,NO
108,90,1.9531249999999998E-4,NO
109,202,5.85480093676815E-4,NO
110,135,5.85480093676815E-4,NO
111,30,8.372404554588077E-5,NO
112,29,6.512112529304507E-5,NO
113,69,5.85480093676815E-4,YES
114,242,5.85480093676815E-4,NO
115,64,1.1720581340834505E-4,YES
116,50,5.85480093676815E-4,YES
117,89,1.9531249999999998E-4,NO
118,40,2.9291154071470416E-4,YES
119,49,1.9531249999999998E-4,NO
120,249,5.85480093676815E-4,YES
121,40,9.767532721234616E-5,NO
122,171,0.9994145199063231,YES
123,40,9.767532721234616E-5,NO
124,32,3.663272034581288E-5,NO
125,139,5.85480093676815E-4,YES
126,131,0.9994145199063231,YES
127,149,0.9994145199063231,YES
128,86,5.85480093676815E-4,NO
129,69,5.85480093676815E-4,NO
130,88,5.85480093676815E-4,NO
131,42,1.1720581340834505E-4,NO
132,32,3.663272034581288E-5,NO
133,56,1.9531249999999998E-4,NO
134,51,8.372404554588077E-5,NO
135,81,2.9291154071470416E-4,NO
136,35,1.9531249999999998E-4,NO
137,72,1.9531249999999998E-4,NO
138,46,2.9291154071470416E-4,NO
139,46,2.9291154071470416E-4,NO
140,44,9.767532721234616E-5,NO
141,29,6.512112529304507E-5,NO
142,280,5.85480093676815E-4,NO
143,63,5.85480093676815E-4,YES
144,334,0.9994145199063231,YES
145,46,2.9291154071470416E-4,NO
146,31,4.508566275924256E-5,NO
147,83,2.9291154071470416E-4,NO
148,71,1.9531249999999998E-4,NO
149,83,2.9291154071470416E-4,NO
150,40,9.767532721234616E-5,NO
151,32,3.663272034581288E-5,NO
152,57,1.4649868151186637E-4,NO
153,50,1.1720581340834505E-4,YES
154,81,2.9291154071470416E-4,YES
155,35,1.9531249999999998E-4,YES
156,71,1.9531249999999998E-4,YES
157,46,2.9291154071470416E-4,NO
158,46,2.9291154071470416E-4,NO
159,289,5.85480093676815E-4,YES
160,143,5.85480093676815E-4,NO
161,81,2.9291154071470416E-4,NO
162,132,5.85480093676815E-4,NO
163,146,5.85480093676815E-4,NO
164,76,1.9531249999999998E-4,NO
165,420,2.9291154071470416E-4,YES
166,306,5.85480093676815E-4,NO
167,48,5.85480093676815E-4,NO
168,31,1.4649868151186637E-4,NO
169,62,5.85480093676815E-4,NO
170,96,5.85480093676815E-4,NO
171,77,2.9291154071470416E-4,NO
172,111,5.85480093676815E-4,NO
173,43,5.85480093676815E-4,NO
174,63,5.85480093676815E-4,NO
175,235,5.85480093676815E-4,NO
176,75,2.9291154071470416E-4,NO
177,43,1.4649868151186637E-4,NO
178,33,7.326007326007326E-5,NO
179,63,2.9291154071470416E-4,NO
180,94,5.85480093676815E-4,NO
181,40,1.1720581340834505E-4,NO
182,160,0.9994145199063231,NO
183,40,1.1720581340834505E-4,NO
184,32,3.663272034581288E-5,NO
185,86,5.85480093676815E-4,NO
186,25,3.663272034581288E-5,NO
187,178,0.9994145199063231,YES
188,94,1.9531249999999998E-4,NO
189,167,5.85480093676815E-4,NO
190,29,6.512112529304507E-5,NO
191,26,3.663272034581288E-5,NO
192,52,0.9994145199063231,YES
193,43,1.9531249999999998E-4,NO
194,195,1.9531249999999998E-4,YES
195,240,0.9994145199063231,YES
196,28,8.372404554588077E-5,NO
197,37,1.9531249999999998E-4,NO
198,69,2.9291154071470416E-4,NO
199,28,8.372404554588077E-5,NO
200,284,0.9994145199063231,YES
201,44,9.767532721234616E-5,NO
202,51,7.326007326007326E-5,NO
203,38,5.8609776110655256E-5,NO
204,52,9.767532721234616E-5,NO
205,37,1.9531249999999998E-4,NO
206,46,2.9291154071470416E-4,NO
207,25,3.663272034581288E-5,YES
208,113,5.85480093676815E-4,YES
209,36,1.1720581340834505E-4,NO
210,116,5.85480093676815E-4,NO
211,121,0.9994145199063231,YES
212,48,1.9531249999999998E-4,NO
213,32,3.663272034581288E-5,NO
214,34,1.4649868151186637E-4,NO
215,26,3.907471084713973E-5,NO
216,50,9.767532721234616E-5,NO
217,31,4.508566275924256E-5,NO
218,98,5.85480093676815E-4,NO
219,26,3.907471084713973E-5,NO
220,25,3.663272034581288E-5,NO
221,40,9.767532721234616E-5,NO
222,59,1.1720581340834505E-4,YES
223,36,1.1720581340834505E-4,NO
224,58,1.9531249999999998E-4,YES
225,37,1.9531249999999998E-4,NO
226,281,0.9994145199063231,YES
227,99,5.85480093676815E-4,NO
228,57,1.4649868151186637E-4,NO
229,31,4.508566275924256E-5,NO
230,70,1.9531249999999998E-4,NO
231,41,9.767532721234616E-5,NO
232,28,8.372404554588077E-5,NO
233,34,1.4649868151186637E-4,NO
234,26,3.907471084713973E-5,NO
235,67,5.85480093676815E-4,NO
236,112,0.9994145199063231,NO
237,100,0.9994145199063231,NO
238,82,0.9994145199063231,NO
239,97,0.9994145199063231,NO
240,47,0.9994145199063231,NO
241,38,0.9994145199063231,NO
242,25,2.9291154071470416E-4,NO
243,60,0.9994145199063231,YES
244,50,5.85480093676815E-4,NO
245,40,0.9994145199063231,NO
246,22,2.9291154071470416E-4,NO
247,21,2.9291154071470416E-4,NO
248,27,2.9291154071470416E-4,NO
249,96,5.85480093676815E-4,NO
250,69,5.85480093676815E-4,NO
251,69,5.85480093676815E-4,NO
252,34,2.9291154071470416E-4,NO
253,34,0.9994145199063231,NO
254,238,0.9994145199063231,NO
255,80,0.5,NO
