ID, Size, Predicted, Actual
0,78,0.39145053985593303,NO
1,302,0.39145053985593303,NO
2,87,0.39145053985593303,NO
3,198,0.39145053985593303,NO
4,175,0.39145053985593303,NO
5,68,0.39145053985593303,NO
6,105,0.39145053985593303,NO
7,58,0.39145053985593303,NO
8,196,0.39145053985593303,NO
9,106,0.39145053985593303,NO
10,130,0.39145053985593303,NO
11,64,0.39145053985593303,NO
12,132,0.39145053985593303,NO
13,62,0.39145053985593303,NO
14,108,0.8510572295169708,NO
15,432,0.39145053985593303,NO
16,174,0.39145053985593303,NO
17,246,0.39145053985593303,NO
18,106,0.39145053985593303,NO
19,121,0.39145053985593303,NO
20,110,0.39145053985593303,NO
21,58,0.39145053985593303,NO
22,37,0.39145053985593303,NO
23,77,0.39145053985593303,NO
24,142,0.39145053985593303,NO
25,114,0.39145053985593303,NO
26,80,0.39145053985593303,NO
27,59,0.39145053985593303,NO
28,69,0.39145053985593303,NO
29,95,0.39145053985593303,NO
30,64,0.39145053985593303,NO
31,164,2.2081563678853685E-4,NO
32,70,0.39145053985593303,NO
33,32,0.39145053985593303,NO
34,148,0.39145053985593303,NO
35,156,0.39145053985593303,NO
36,119,0.39145053985593303,NO
37,118,0.39145053985593303,NO
38,93,0.39145053985593303,NO
39,256,0.9999558212640731,YES
40,123,0.39145053985593303,NO
41,201,0.39145053985593303,NO
42,180,0.39145053985593303,NO
43,156,0.39145053985593303,NO
44,98,0.39145053985593303,NO
45,86,2.2081563678853685E-4,NO
46,48,0.39145053985593303,NO
47,143,2.2081563678853685E-4,NO
48,145,0.39145053985593303,NO
49,113,0.39145053985593303,NO
50,146,0.39145053985593303,NO
51,113,0.39145053985593303,NO
52,147,0.39145053985593303,NO
53,125,0.39145053985593303,NO
54,252,0.39145053985593303,NO
55,368,0.39145053985593303,NO
56,106,0.39145053985593303,NO
57,181,0.39145053985593303,NO
58,260,0.39145053985593303,NO
59,618,0.995292486251223,YES
60,39,0.39145053985593303,NO
61,39,0.39145053985593303,NO
62,39,0.39145053985593303,NO
63,24,0.39145053985593303,NO
64,62,0.39145053985593303,NO
65,77,0.39145053985593303,NO
66,77,0.39145053985593303,NO
67,54,0.39145053985593303,NO
68,92,0.39145053985593303,NO
69,58,0.39145053985593303,NO
70,24,0.39145053985593303,NO
71,64,0.39145053985593303,NO
72,216,0.39145053985593303,NO
73,36,0.39145053985593303,NO
74,36,0.39145053985593303,NO
75,208,0.39145053985593303,NO
76,64,0.995292486251223,YES
77,39,0.39145053985593303,NO
78,47,0.39145053985593303,NO
79,74,0.39145053985593303,NO
80,71,0.39145053985593303,NO
81,123,2.2081563678853685E-4,NO
82,44,0.39145053985593303,NO
83,122,0.9999558212640731,NO
84,53,0.39145053985593303,NO
85,242,0.806447245274757,NO
86,44,0.39145053985593303,NO
87,171,0.39145053985593303,NO
88,511,0.875909984132055,NO
89,128,0.39145053985593303,NO
90,178,0.39145053985593303,NO
91,130,4.414363214922099E-4,NO
92,460,2.2081563678853685E-4,NO
93,201,0.39145053985593303,NO
94,116,0.39145053985593303,NO
95,225,0.39145053985593303,NO
96,42,0.39145053985593303,NO
97,44,0.39145053985593303,NO
98,94,0.39145053985593303,NO
99,136,0.39145053985593303,NO
100,27,0.39145053985593303,NO
101,47,0.39145053985593303,NO
102,60,0.39145053985593303,NO
103,58,0.39145053985593303,NO
