ID, Size, Predicted, Actual
0,78,1.8497965223825377E-4,YES
1,302,0.9998150203477616,YES
2,87,1.8497965223825377E-4,YES
3,198,0.9998150203477616,YES
4,175,0.9998150203477616,YES
5,68,1.8497965223825377E-4,YES
6,105,1.8497965223825377E-4,YES
7,58,1.8497965223825377E-4,YES
8,196,0.9998150203477616,YES
9,106,0.9998150203477616,YES
10,130,0.9998150203477616,YES
11,64,1.8497965223825377E-4,YES
12,132,0.9998150203477616,YES
13,62,1.8497965223825377E-4,YES
14,108,1.8497965223825377E-4,YES
15,432,0.9998150203477616,YES
16,174,0.9998150203477616,YES
17,246,0.9998150203477616,YES
18,106,1.8497965223825377E-4,YES
19,121,1.8497965223825377E-4,YES
20,110,1.8497965223825377E-4,YES
21,58,1.8497965223825377E-4,YES
22,37,9.250693802035152E-5,YES
23,77,1.8497965223825377E-4,YES
24,142,0.9998150203477616,YES
25,114,1.8497965223825377E-4,YES
26,80,1.8497965223825377E-4,YES
27,59,1.8497965223825377E-4,YES
28,69,0.9998150203477616,YES
29,95,1.8497965223825377E-4,NO
30,64,1.8497965223825377E-4,YES
31,164,0.9998150203477616,YES
32,70,1.8497965223825377E-4,YES
33,32,1.8497965223825377E-4,YES
34,148,0.9998150203477616,YES
35,156,0.9998150203477616,YES
36,119,1.8497965223825377E-4,YES
37,118,0.9998150203477616,YES
38,93,1.8497965223825377E-4,NO
39,229,0.9998150203477616,YES
40,123,1.8497965223825377E-4,YES
41,201,1.8497965223825377E-4,NO
42,180,1.8497965223825377E-4,NO
43,156,0.9998150203477616,YES
44,98,1.8497965223825377E-4,NO
45,85,1.8497965223825377E-4,YES
46,48,1.8497965223825377E-4,YES
47,145,0.9998150203477616,NO
48,145,0.9998150203477616,YES
49,113,1.8497965223825377E-4,NO
50,146,0.9998150203477616,YES
51,113,1.8497965223825377E-4,YES
52,147,0.9998150203477616,YES
53,125,1.8497965223825377E-4,YES
54,252,0.9998150203477616,YES
55,368,0.9998150203477616,YES
56,106,1.8497965223825377E-4,YES
57,181,0.9998150203477616,YES
58,260,0.9998150203477616,YES
59,610,0.9998150203477616,YES
60,39,0.9998150203477616,YES
61,39,0.9998150203477616,NO
62,39,0.9998150203477616,NO
63,24,0.9998150203477616,NO
64,62,0.9999074930619797,NO
65,77,0.9998150203477616,YES
66,77,1.8497965223825377E-4,NO
67,54,0.5,NO
68,92,0.9998150203477616,YES
69,58,9.250693802035152E-5,NO
70,24,0.9998150203477616,NO
71,64,0.9999074930619797,NO
72,216,0.9998150203477616,YES
73,36,0.9998150203477616,NO
74,36,0.9998150203477616,NO
75,208,1.8497965223825377E-4,NO
76,39,1.8497965223825377E-4,YES
77,47,0.9998150203477616,YES
78,74,1.8497965223825377E-4,NO
79,71,0.9999074930619797,YES
80,56,0.9998150203477616,YES
81,44,0.9998150203477616,YES
82,55,0.9998150203477616,YES
83,53,0.9998150203477616,YES
84,187,0.9998150203477616,YES
85,44,0.9998150203477616,YES
86,171,1.8497965223825377E-4,NO
87,493,0.9998150203477616,NO
88,122,0.9998150203477616,NO
89,132,0.9998150203477616,YES
90,115,1.8497965223825377E-4,NO
91,201,0.9998150203477616,YES
92,116,0.9998150203477616,YES
93,225,1.8497965223825377E-4,NO
94,42,1.8497965223825377E-4,NO
95,44,1.8497965223825377E-4,NO
96,136,1.8497965223825377E-4,NO
97,27,9.250693802035152E-5,NO
98,47,1.8497965223825377E-4,NO
99,60,1.8497965223825377E-4,NO
100,58,1.8497965223825377E-4,YES
101,56,9.250693802035152E-5,NO
102,205,0.9998150203477616,YES
103,44,0.9998150203477616,YES
104,49,0.9998150203477616,YES
105,30,0.9998150203477616,YES
106,39,0.9998150203477616,YES
107,80,0.9998150203477616,YES
108,29,9.250693802035152E-5,NO
109,49,1.8497965223825377E-4,NO
110,78,1.8497965223825377E-4,NO
111,45,1.8497965223825377E-4,NO
112,31,9.250693802035152E-5,NO
113,30,0.9998150203477616,YES
114,36,1.8497965223825377E-4,NO
115,43,0.9998150203477616,YES
116,60,1.8497965223825377E-4,YES
117,85,0.9998150203477616,YES
118,92,0.9998150203477616,NO
119,156,0.9998150203477616,YES
120,98,1.8497965223825377E-4,YES
121,131,0.9998150203477616,YES
122,194,0.9998150203477616,YES
123,201,0.9998150203477616,YES
124,69,0.9998150203477616,YES
125,68,0.9998150203477616,YES
126,52,0.9998150203477616,YES
127,50,0.9998150203477616,YES
128,202,0.9998150203477616,YES
129,73,0.2500231288740864,NO
130,42,9.250693802035152E-5,NO
131,35,0.33335389169853213,NO
132,125,1.8497965223825377E-4,NO
133,65,1.8497965223825377E-4,NO
134,48,1.8497965223825377E-4,NO
135,89,1.8497965223825377E-4,NO
136,153,1.8497965223825377E-4,NO
137,40,1.8497965223825377E-4,NO
138,64,0.9998150203477616,YES
139,99,1.8497965223825377E-4,YES
140,73,0.9998150203477616,YES
141,72,0.9998150203477616,YES
142,51,0.9998150203477616,YES
143,36,1.8497965223825377E-4,YES
144,31,0.9998150203477616,YES
145,61,0.9998150203477616,YES
146,74,0.9998150203477616,YES
147,101,0.9998150203477616,YES
148,86,0.9998150203477616,YES
149,106,0.9998150203477616,YES
150,91,0.9998150203477616,YES
151,58,0.9998150203477616,YES
152,106,0.9998150203477616,YES
153,143,0.9998150203477616,YES
154,52,0.9998150203477616,YES
155,88,0.9998150203477616,YES
156,66,0.9998150203477616,YES
157,44,0.9998150203477616,YES
158,158,0.9998150203477616,YES
159,51,0.5,YES
160,36,1.8497965223825377E-4,YES
161,63,0.9998150203477616,YES
162,36,0.9998150203477616,YES
163,43,0.9998150203477616,YES
164,81,9.250693802035152E-5,YES
165,75,0.9998150203477616,YES
166,81,9.250693802035152E-5,YES
167,88,0.9998150203477616,YES
168,42,0.9999074930619797,YES
169,82,6.167509559639817E-5,NO
170,55,0.9998150203477616,YES
171,48,9.250693802035152E-5,NO
172,72,4.625774817281895E-5,NO
173,113,0.9998150203477616,YES
174,55,0.9998150203477616,YES
175,35,0.9998150203477616,YES
176,47,0.9999629931167198,YES
177,101,0.9999074930619797,YES
178,109,1.8497965223825377E-4,NO
179,28,9.250693802035152E-5,YES
180,54,3.7006883280290134E-5,NO
181,158,0.9998150203477616,YES
182,52,0.9998150203477616,YES
183,53,1.8497965223825377E-4,YES
184,81,0.9998150203477616,YES
185,83,0.9998150203477616,YES
186,63,0.9998150203477616,YES
187,48,4.625774817281895E-5,NO
188,55,1.8497965223825377E-4,YES
