ID, Size, Predicted, Actual
0,79,1.7599436818021823E-4,NO
1,87,1.7599436818021823E-4,NO
2,68,1.7599436818021823E-4,NO
3,58,8.80126738250308E-5,NO
4,196,0.9998240056318197,NO
5,132,8.80126738250308E-5,NO
6,64,8.80126738250308E-5,NO
7,134,1.7599436818021823E-4,NO
8,173,1.7599436818021823E-4,NO
9,246,0.9999119873261749,NO
10,107,1.7599436818021823E-4,NO
11,121,8.80126738250308E-5,NO
12,110,0.9999748503596398,YES
13,58,8.80126738250308E-5,NO
14,37,8.80126738250308E-5,NO
15,77,0.999993228694086,YES
16,142,0.9999748503596398,YES
17,114,1.7599436818021823E-4,NO
18,59,1.7599436818021823E-4,NO
19,64,8.80126738250308E-5,NO
20,164,8.80126738250308E-5,NO
21,70,1.7599436818021823E-4,NO
22,32,5.8678558854594535E-5,NO
23,148,8.80126738250308E-5,NO
24,156,1.7599436818021823E-4,NO
25,119,8.80126738250308E-5,NO
26,118,1.7599436818021823E-4,NO
27,156,1.7599436818021823E-4,NO
28,85,1.7599436818021823E-4,NO
29,48,1.7599436818021823E-4,YES
30,146,4.401021036880557E-5,NO
31,113,1.7599436818021823E-4,NO
32,147,8.80126738250308E-5,NO
33,40,0.999994131524278,NO
34,125,1.7599436818021823E-4,NO
35,252,0.9999119873261749,NO
36,368,8.80126738250308E-5,NO
37,106,1.7599436818021823E-4,NO
38,181,1.7599436818021823E-4,NO
39,263,8.80126738250308E-5,NO
40,590,1.7599436818021823E-4,YES
41,39,4.401021036880557E-5,NO
42,39,4.401021036880557E-5,NO
43,39,4.401021036880557E-5,NO
44,24,8.80126738250308E-5,NO
45,62,1.7599436818021823E-4,NO
46,77,1.7599436818021823E-4,NO
47,77,1.7599436818021823E-4,NO
48,54,1.7599436818021823E-4,NO
49,90,1.7599436818021823E-4,NO
50,58,1.7599436818021823E-4,NO
51,24,8.80126738250308E-5,NO
52,64,8.80126738250308E-5,NO
53,216,1.7599436818021823E-4,NO
54,36,5.8678558854594535E-5,NO
55,36,5.8678558854594535E-5,NO
56,202,1.7599436818021823E-4,NO
57,74,1.7599436818021823E-4,NO
58,71,5.8678558854594535E-5,NO
59,56,1.7599436818021823E-4,NO
60,44,2.200607367633467E-5,NO
61,55,1.7599436818021823E-4,NO
62,47,1.7599436818021823E-4,NO
63,101,0.9998240056318197,YES
64,109,1.7599436818021823E-4,NO
65,28,1.7599436818021823E-4,NO
66,54,0.9999779939263236,YES
67,158,0.9999929578456642,YES
68,52,0.9999839953906724,YES
69,53,0.9999779939263236,YES
70,81,0.9999559897896312,YES
71,83,0.9999559897896312,YES
72,63,0.9999559897896312,YES
73,48,0.9999779939263236,YES
74,55,0.9999779939263236,YES
75,149,0.9998240056318197,YES
76,263,0.9999934794799233,YES
77,179,0.9999119873261749,YES
78,37,0.9999779939263236,YES
79,25,1.7599436818021823E-4,YES
80,30,0.9999779939263236,YES
81,36,0.9998240056318197,YES
82,30,0.9999779939263236,YES
83,27,1.7599436818021823E-4,YES
84,37,0.9999779939263236,YES
85,33,0.9999779939263236,YES
86,31,0.9999779939263236,YES
87,56,0.9999779939263236,YES
88,101,0.9999559897896312,YES
89,139,0.9999929578456642,YES
90,85,0.9999119873261749,YES
91,95,0.9999559897896312,YES
92,60,0.9998240056318197,YES
93,35,0.9999779939263236,YES
94,26,1.7599436818021823E-4,YES
95,69,0.9999559897896312,YES
96,64,0.9999559897896312,YES
97,39,0.9999779939263236,YES
98,41,0.9999779939263236,YES
99,167,0.9999929578456642,YES
100,66,0.9999559897896312,YES
101,93,0.9998240056318197,YES
102,76,1.7599436818021823E-4,NO
103,77,0.9999748503596398,YES
