ID, Size, Predicted, Actual
0,120,9.498480243161096E-5,NO
1,22,1.8999848001215992E-5,NO
2,75,3.166561114629513E-5,NO
3,135,9.498480243161096E-5,NO
4,79,3.166561114629513E-5,NO
5,91,4.749691270067446E-5,NO
6,70,9.498480243161096E-5,NO
7,57,9.498480243161096E-5,NO
8,70,9.498480243161096E-5,NO
9,59,4.749691270067446E-5,NO
10,88,4.749691270067446E-5,NO
11,40,1.5833306944488427E-5,NO
12,104,9.498480243161096E-5,NO
13,196,9.498480243161096E-5,NO
14,202,9.498480243161096E-5,NO
15,97,9.498480243161096E-5,NO
16,99,9.498480243161096E-5,NO
17,96,4.749691270067446E-5,NO
18,189,9.498480243161096E-5,NO
19,151,4.749691270067446E-5,NO
20,153,4.749691270067446E-5,NO
21,199,9.498480243161096E-5,NO
22,90,9.498480243161096E-5,NO
23,115,9.498480243161096E-5,NO
24,62,3.166561114629513E-5,NO
25,61,3.166561114629513E-5,NO
26,91,4.749691270067446E-5,NO
27,81,9.498480243161096E-5,NO
28,91,4.749691270067446E-5,NO
29,67,3.166561114629513E-5,NO
30,88,4.749691270067446E-5,NO
31,85,9.498480243161096E-5,NO
32,49,9.498480243161096E-5,NO
33,102,9.498480243161096E-5,NO
34,94,9.498480243161096E-5,NO
35,72,3.166561114629513E-5,NO
36,70,9.498480243161096E-5,NO
37,87,9.498480243161096E-5,NO
38,166,9.498480243161096E-5,NO
39,116,9.498480243161096E-5,NO
40,155,4.749691270067446E-5,NO
41,67,3.166561114629513E-5,NO
42,88,4.749691270067446E-5,NO
43,40,1.5833306944488427E-5,NO
44,57,9.498480243161096E-5,NO
45,39,3.166561114629513E-5,NO
46,98,9.498480243161096E-5,NO
47,106,9.498480243161096E-5,NO
48,101,9.498480243161096E-5,NO
49,94,9.498480243161096E-5,NO
50,76,4.749691270067446E-5,NO
51,116,9.498480243161096E-5,NO
52,56,9.498480243161096E-5,NO
53,48,4.749691270067446E-5,NO
54,82,9.498480243161096E-5,NO
55,45,2.374958438227331E-5,NO
56,45,2.374958438227331E-5,NO
57,30,1.8999848001215992E-5,NO
58,78,4.750097376996229E-6,NO
59,302,2.374958438227331E-5,NO
60,87,0.027780270123344716,NO
61,198,0.11111932106063165,NO
62,175,1.1875074219213871E-5,NO
63,65,0.018183482688813195,NO
64,105,3.958420748458195E-6,NO
65,58,0.018520212664890942,NO
66,196,1.0555649383550076E-5,NO
67,106,2.638954129699318E-6,NO
68,130,5.000100002000041E-6,NO
69,64,0.013159111875576578,NO
70,132,0.09091262404242273,NO
71,62,2.209358844063453E-6,NO
72,108,0.15385121309558608,NO
73,432,2.374958438227331E-5,NO
74,174,5.000100002000041E-6,NO
75,246,1.8999848001215992E-5,NO
76,106,2.638954129699318E-6,NO
77,121,0.09091262404242273,NO
78,110,5.000100002000041E-6,NO
79,58,0.018520212664890942,NO
80,37,0.04444540619966179,NO
81,77,0.06060859051128512,NO
82,142,5.588340486409157E-6,NO
83,114,6.333443113013959E-6,NO
84,80,0.08333553246177475,NO
85,59,1.5574189207709848E-6,NO
86,69,0.04348014655161731,NO
87,95,0.06250259771875762,NO
88,64,0.013159111875576578,NO
89,164,1.3571467347049563E-5,NO
90,70,0.0434820322180917,NO
91,32,0.035928671713758444,NO
92,148,1.5833306944488427E-5,NO
93,156,4.130524576621232E-6,NO
