ID, Size, Predicted, Actual
0,118,0.23256036693611412,NO
1,22,2.1317192634883432E-6,NO
2,75,0.2531656759350139,NO
3,133,9.42430560191723E-6,NO
4,79,0.2222244328858827,NO
5,91,0.45454582451182673,NO
6,70,0.5633799619959321,NO
7,57,0.4800000573006948,NO
8,70,0.5633799619959321,NO
9,59,2.1837121891801885E-6,NO
10,88,0.2173935045644964,NO
11,40,0.136986895004635,NO
12,104,0.6666646770772895,NO
13,195,1.0533024080628E-5,NO
14,201,7.785321452452871E-6,NO
15,192,1.79001075846121E-4,NO
16,97,0.25641249323287835,NO
17,101,6.887027504336689E-6,NO
18,98,0.3571437707348796,NO
19,187,3.581047134986129E-5,NO
20,149,1.0533024080628E-5,NO
21,151,4.4762287708015855E-5,NO
22,196,1.4921653139113138E-5,NO
23,90,0.41666791015631655,NO
24,115,1.1191323350857457E-5,NO
25,62,3.0873116535581247E-6,NO
26,61,0.27777851466908565,NO
27,142,8.139193939724258E-6,YES
28,47,0.34246613984697705,YES
29,85,2.295696915482625E-6,NO
30,65,0.4687500874339265,NO
31,106,3.511057336277962E-6,NO
32,85,2.295696915482625E-6,NO
33,88,0.2173935045644964,NO
34,144,2.984241568187501E-5,NO
35,81,0.2702713820647749,NO
36,80,0.38461591439159537,NO
37,69,0.23255925324013652,NO
38,89,0.23809747131542164,NO
39,67,2.935477545619269E-6,NO
40,88,0.2173935045644964,NO
41,40,0.136986895004635,NO
42,92,3.5812779800406284E-6,NO
43,95,0.3125010492041769,NO
44,49,0.3448279694607979,NO
45,102,1.2790042933121056E-5,NO
46,94,0.3409097383528768,NO
47,72,0.21505486072587307,NO
48,69,0.23255925324013652,NO
49,86,0.1694935316000261,NO
50,221,0.9999820941231073,NO
51,131,7.460937899083993E-6,NO
52,166,0.90907759062672,NO
53,116,0.2127681460946413,NO
54,155,0.8333233855645739,NO
55,67,2.935477545619269E-6,NO
56,88,0.2173935045644964,NO
57,40,0.136986895004635,NO
58,57,0.4800000573006948,NO
59,39,0.10101154434222742,NO
60,98,0.3571437707348796,NO
61,106,3.511057336277962E-6,NO
62,101,6.887027504336689E-6,NO
63,94,0.3409097383528768,NO
64,76,0.43165485234872397,NO
65,116,0.2127681460946413,NO
66,56,0.27777833044671735,NO
67,48,0.2614384669028011,NO
68,82,0.18868134891814262,NO
69,45,0.1351369009264075,NO
70,45,0.1351369009264075,NO
71,30,1.4325173483076562E-6,NO
72,77,0.32258166998211196,NO
73,302,2.984241568187501E-5,NO
74,86,0.1694935316000261,NO
75,198,0.4999999999999999,NO
76,175,1.4921653139113138E-5,NO
77,86,1.79001075846121E-4,NO
78,68,3.5812779800406284E-6,NO
79,105,5.266567513196442E-6,NO
80,194,3.581047134986129E-5,NO
81,106,3.511057336277962E-6,NO
82,97,0.25641249323287835,NO
83,69,1.79001075846121E-4,NO
84,101,6.887027504336689E-6,NO
85,62,3.0873116535581247E-6,NO
86,108,0.5405401481443793,NO
87,432,3.581047134986129E-5,NO
88,173,0.6896528303297591,NO
89,243,4.4762287708015855E-5,YES
90,107,7.785321452452871E-6,NO
91,120,1.2790042933121056E-5,NO
92,110,0.27777998843703994,NO
93,58,0.12195287061165513,NO
94,37,0.4123712957860806,NO
95,77,0.32258166998211196,NO
96,142,8.139193939724258E-6,NO
97,118,1.79001075846121E-4,NO
98,80,0.38461591439159537,NO
99,59,2.1837121891801885E-6,NO
100,69,0.23255925324013652,NO
101,95,0.3125010492041769,NO
102,97,0.25641249323287835,NO
103,95,0.3125010492041769,NO
104,71,0.41666697754255844,NO
105,114,8.953098759495248E-6,NO
106,109,0.6153839796537456,NO
107,116,0.2127681460946413,NO
108,88,0.2173935045644964,NO
109,63,2.754833768873796E-6,NO
110,79,0.2222244328858827,NO
111,105,5.266567513196442E-6,NO
112,70,0.5633799619959321,NO
113,32,0.24561435474815171,NO
114,148,1.790587689282211E-5,NO
115,156,5.968768132310543E-6,NO
116,119,4.839552658801728E-6,NO
117,116,0.2127681460946413,NO
118,73,7.785321452452871E-6,NO
119,92,3.5812779800406284E-6,NO
120,125,0.5063290852324352,NO
121,202,8.526767993899852E-6,NO
122,181,1.790587689282211E-5,NO
123,153,7.785321452452871E-6,NO
124,98,0.3571437707348796,NO
125,88,0.2173935045644964,NO
126,144,2.984241568187501E-5,NO
127,112,6.174585181378682E-6,NO
128,146,1.4921653139113138E-5,NO
129,113,3.730496782546823E-6,NO
130,147,1.1191323350857457E-5,NO
131,125,0.5063290852324352,NO
132,252,1.1191323350857457E-5,NO
133,368,2.238214573005462E-5,NO
134,106,3.511057336277962E-6,NO
135,181,1.790587689282211E-5,NO
136,261,7.785321452452871E-6,NO
137,629,2.984241568187501E-5,NO
138,39,0.10101154434222742,NO
139,39,0.10101154434222742,NO
140,37,0.4123712957860806,NO
141,39,0.10101154434222742,NO
142,24,1.2264708378764983E-6,NO
143,67,2.935477545619269E-6,NO
144,77,0.32258166998211196,NO
145,77,0.32258166998211196,NO
146,54,0.16393639925539946,NO
147,95,0.3125010492041769,NO
148,58,0.12195287061165513,NO
149,24,1.2264708378764983E-6,NO
150,64,0.08772059341906668,NO
151,216,1.3773865286695235E-5,NO
152,36,0.17045521602268845,NO
153,36,0.17045521602268845,NO
154,208,2.984241568187501E-5,NO
155,64,0.08772059341906668,NO
156,39,0.10101154434222742,NO
157,47,0.34246613984697705,NO
158,74,0.35714377073487946,NO
159,71,0.41666697754255844,NO
160,175,1.4921653139113138E-5,NO
161,44,0.11363714981970369,NO
162,175,1.4921653139113138E-5,NO
163,58,0.12195287061165513,NO
164,58,0.12195287061165513,NO
165,290,1.1191323350857457E-5,NO
166,85,2.295696915482625E-6,NO
167,35,0.3174608362921986,NO
168,183,1.9895339604579747E-5,NO
169,231,2.984241568187501E-5,NO
170,51,0.16000097411179703,NO
171,238,3.581047134986129E-5,NO
172,139,0.32258269479109497,NO
173,132,0.4081639365159746,NO
174,484,0.9999820941231073,NO
175,225,1.9895339604579747E-5,NO
176,42,0.18292752166635276,NO
177,44,0.11363714981970369,NO
178,94,0.3409097383528768,NO
179,166,0.90907759062672,NO
180,27,0.09615523681799708,NO
181,47,0.34246613984697705,NO
182,60,0.3125004196830804,NO
183,37,0.4123712957860806,NO
184,68,3.5812779800406284E-6,NO
185,24,1.2264708378764983E-6,NO
186,32,0.24561435474815171,NO
187,32,0.24561435474815171,NO
188,36,0.17045521602268845,NO
189,35,0.3174608362921986,NO
190,24,1.2264708378764983E-6,NO
191,36,0.17045521602268845,NO
192,34,0.31250069947075615,NO
193,156,5.968768132310543E-6,NO
194,125,0.5063290852324352,NO
195,110,0.27777998843703994,NO
196,97,0.25641249323287835,NO
197,65,0.4687500874339265,NO
198,67,2.935477545619269E-6,NO
199,69,0.23255925324013652,NO
200,26,8.48648709192153E-7,NO
201,76,0.43165485234872397,NO
202,55,0.2409649731121473,NO
203,39,0.10101154434222742,NO
204,45,0.1351369009264075,NO
205,45,0.1351369009264075,NO
206,37,0.4123712957860806,NO
207,71,0.41666697754255844,NO
208,45,0.1351369009264075,NO
209,58,0.12195287061165513,NO
210,135,1.6278122897850038E-5,NO
211,170,0.48780498457086136,NO
212,126,1.0533024080628E-5,NO
213,228,8.951656148387216E-5,NO
214,31,0.14545500717573415,NO
215,52,1.5047448963998233E-6,NO
216,46,0.42857161129053517,NO
217,30,1.4325173483076562E-6,NO
218,41,0.2366869485230699,NO
219,109,0.6153839796537456,NO
220,27,0.09615523681799708,NO
221,47,0.34246613984697705,NO
222,76,0.43165485234872397,NO
223,47,0.34246613984697705,NO
224,31,0.14545500717573415,NO
225,65,0.4687500874339265,NO
226,41,0.2366869485230699,NO
227,34,0.31250069947075615,NO
228,45,0.1351369009264075,NO
229,31,0.14545500717573415,NO
230,79,0.2222244328858827,NO
231,101,6.887027504336689E-6,NO
232,89,0.23809747131542164,NO
233,59,2.1837121891801885E-6,NO
234,177,0.35714468431521723,NO
235,74,0.35714377073487946,NO
236,72,0.21505486072587307,NO
237,41,0.2366869485230699,NO
238,70,0.5633799619959321,NO
239,59,2.1837121891801885E-6,NO
240,58,0.12195287061165513,NO
241,57,0.4800000573006948,NO
242,58,0.12195287061165513,NO
243,54,0.16393639925539946,NO
244,86,0.1694935316000261,NO
245,61,0.27777851466908565,NO
246,67,2.935477545619269E-6,NO
247,30,1.4325173483076562E-6,NO
248,39,0.10101154434222742,NO
249,123,1.6278122897850038E-5,NO
250,55,0.2409649731121473,NO
251,60,0.3125004196830804,NO
252,85,2.295696915482625E-6,NO
253,92,3.5812779800406284E-6,NO
254,156,5.968768132310543E-6,NO
255,98,0.3571437707348796,NO
256,131,7.460937899083993E-6,NO
257,213,0.9999820941231073,YES
258,201,0.9999820941231073,YES
259,62,0.9999820941231073,YES
260,68,3.5812779800406284E-6,NO
261,52,1.5047448963998233E-6,NO
262,50,0.28985561781944913,NO
263,202,8.526767993899852E-6,NO
264,73,7.785321452452871E-6,NO
265,42,0.18292752166635276,NO
266,35,0.3174608362921986,NO
267,125,0.5063290852324352,NO
268,65,0.4687500874339265,NO
269,48,0.2614384669028011,NO
270,89,0.23809747131542164,NO
271,153,0.9999820941231073,NO
272,40,0.9999820941231073,NO
273,64,0.08772059341906668,NO
274,99,0.3448295024574702,NO
275,73,7.785321452452871E-6,NO
276,72,0.21505486072587307,NO
277,51,0.16000097411179703,NO
278,36,0.17045521602268845,NO
279,31,0.14545500717573415,NO
280,61,0.27777851466908565,NO
281,74,0.35714377073487946,NO
282,101,6.887027504336689E-6,NO
283,86,0.1694935316000261,NO
284,106,3.511057336277962E-6,NO
285,91,0.45454582451182673,NO
286,58,0.12195287061165513,NO
287,106,3.511057336277962E-6,NO
288,83,0.2380963547100902,NO
289,53,0.20548017449652137,NO
290,88,0.2173935045644964,NO
291,72,0.21505486072587307,NO
292,44,0.11363714981970369,NO
293,158,0.24390467598808271,NO
294,51,0.16000097411179703,NO
295,36,0.17045521602268845,NO
296,63,2.754833768873796E-6,NO
297,117,0.9999820941231073,YES
298,29,0.06802826328023777,NO
299,104,0.6666646770772895,NO
300,38,0.06024191259472017,NO
301,44,0.11363714981970369,NO
302,96,3.511057336277962E-6,NO
303,42,0.18292752166635276,NO
304,48,0.2614384669028011,NO
305,36,0.17045521602268845,NO
306,43,0.3296706648357508,NO
307,80,0.9999820941231073,YES
308,76,0.9999820941231073,YES
309,82,0.9999820941231073,YES
310,89,0.9999820941231073,YES
311,42,0.18292752166635276,NO
312,82,0.18868134891814262,NO
313,55,0.2409649731121473,NO
314,48,0.2614384669028011,NO
315,72,0.21505486072587307,NO
316,113,3.730496782546823E-6,NO
317,55,0.2409649731121473,NO
318,35,0.3174608362921986,NO
319,47,0.34246613984697705,NO
320,102,0.9999820941231073,YES
321,109,0.6153839796537456,NO
322,28,0.23255888200608335,NO
323,54,0.16393639925539946,NO
324,157,1.6278122897850038E-5,NO
325,52,1.5047448963998233E-6,NO
326,53,0.20548017449652137,NO
327,81,0.2702713820647749,NO
328,88,0.9999820941231073,YES
329,68,0.9999910469012405,YES
330,66,0.2816912420140105,NO
331,48,0.2614384669028011,NO
332,77,0.32258166998211196,NO
333,149,1.0533024080628E-5,NO
334,268,1.79001075846121E-4,NO
335,252,1.79001075846121E-4,NO
336,37,0.4123712957860806,NO
337,26,8.48648709192153E-7,NO
338,43,0.3296706648357508,NO
339,36,0.17045521602268845,NO
340,30,1.4325173483076562E-6,NO
341,27,0.09615523681799708,NO
342,37,0.4123712957860806,NO
343,33,1.7729163032797571E-6,NO
344,31,0.14545500717573415,NO
345,56,0.27777833044671735,NO
346,101,6.887027504336689E-6,NO
347,139,0.32258269479109497,NO
348,85,2.295696915482625E-6,NO
349,69,0.23255925324013652,NO
350,95,0.3125010492041769,NO
351,60,0.3125004196830804,NO
352,35,0.3174608362921986,NO
353,26,8.48648709192153E-7,NO
354,68,1.79001075846121E-4,NO
355,64,0.08772059341906668,NO
356,39,0.10101154434222742,NO
357,41,0.2366869485230699,NO
358,167,2.238214573005462E-5,NO
359,66,0.2816912420140105,NO
360,93,5.116095695348737E-6,NO
361,85,2.295696915482625E-6,NO
362,117,0.6896528303297591,NO
363,127,7.785321452452871E-6,NO
364,48,0.2614384669028011,NO
