ID, Size, Predicted, Actual
0,78,0.9998189061934082,NO
1,302,1.8109380659181456E-4,NO
2,87,0.14287562755550956,NO
3,198,0.3333534597270861,NO
4,175,3.622925874936599E-5,NO
5,65,6.0379181258302136E-5,NO
6,105,6.0379181258302136E-5,NO
7,58,0.08334591346879623,NO
8,196,1.8109380659181456E-4,NO
9,106,2.2643901997192158E-5,NO
10,130,0.9998189061934082,NO
11,64,0.06250990693145536,NO
12,132,0.5,NO
13,62,1.6468495767596588E-5,NO
14,108,0.6666465402729139,NO
15,432,0.9998189061934082,NO
16,174,6.0379181258302136E-5,NO
17,246,1.8109380659181456E-4,NO
18,106,2.2643901997192158E-5,NO
19,121,9.056330374932077E-5,NO
20,110,3.019141356198297E-5,NO
21,58,0.08334591346879623,NO
22,37,0.22727721875463183,NO
23,77,0.5,NO
24,142,4.528575310207409E-5,NO
25,114,6.0379181258302136E-5,NO
26,80,0.3000072461142712,NO
27,59,1.1322207377550327E-5,NO
28,69,0.333343397137854,NO
29,95,0.2500113219509986,NO
30,64,0.06250990693145536,NO
31,164,9.056330374932077E-5,NO
32,70,0.5,NO
33,32,0.11475638657408782,NO
34,148,1.8109380659181456E-4,NO
35,156,2.5878577713368875E-5,NO
36,119,4.528575310207409E-5,NO
37,116,1.8109380659181456E-4,NO
38,93,3.019141356198297E-5,NO
39,229,9.056330374932077E-5,YES
40,123,6.0379181258302136E-5,NO
41,201,9.056330374932077E-5,NO
42,180,4.528575310207409E-5,NO
43,156,2.5878577713368875E-5,NO
44,98,0.40000724585174985,NO
45,85,1.6468495767596588E-5,NO
46,48,0.2666723026013864,NO
47,145,0.9998189061934082,NO
48,145,0.9998189061934082,NO
49,113,4.528575310207409E-5,NO
50,146,1.8109380659181456E-4,NO
51,113,4.528575310207409E-5,NO
52,147,4.528575310207409E-5,NO
53,125,0.2857253765333057,NO
54,252,9.056330374932077E-5,NO
55,368,9.056330374932077E-5,NO
56,106,2.2643901997192158E-5,NO
57,181,4.528575310207409E-5,NO
58,260,9.056330374932077E-5,NO
59,610,9.056330374932077E-5,NO
60,39,0.06667713340257482,NO
61,39,0.06667713340257482,NO
62,39,0.06667713340257482,NO
63,24,6.038574413352496E-6,NO
64,62,1.6468495767596588E-5,NO
65,77,0.5,NO
66,77,0.5,NO
67,54,2.2643901997192158E-5,NO
68,92,2.2643901997192158E-5,NO
69,58,0.08334591346879623,NO
70,24,6.038574413352496E-6,NO
71,64,0.06250990693145536,NO
72,216,0.250022642876551,NO
73,36,0.10527068515093152,NO
74,36,0.10527068515093152,NO
75,208,3.622925874936599E-5,NO
76,39,0.06667713340257482,NO
77,47,0.35294431064981563,NO
78,74,0.5,NO
79,71,0.7499773571234489,NO
80,56,0.30769766728909453,NO
81,44,0.08696302830768261,NO
82,55,0.2500113219509986,NO
83,53,0.1250056611464199,NO
84,221,1.8109380659181456E-4,NO
85,44,0.08696302830768261,NO
86,171,0.5,NO
87,511,0.9998189061934082,NO
88,122,9.056330374932077E-5,NO
89,132,0.9998189061934082,NO
90,115,1.8109380659181456E-4,NO
91,201,9.056330374932077E-5,NO
92,116,1.8109380659181456E-4,NO
93,225,9.056330374932077E-5,NO
94,42,0.15790126046414066,NO
95,44,0.08696302830768261,NO
96,94,0.9998189061934082,NO
97,136,1.8109380659181456E-4,NO
98,27,1.5096162555478397E-5,NO
99,47,0.35294431064981563,NO
100,60,1.393495164571779E-5,NO
101,58,0.08334591346879623,NO
102,56,0.30769766728909453,NO
103,205,3.622925874936599E-5,NO
104,44,0.08696302830768261,NO
105,49,0.214293108356409,NO
106,30,6.967572915650562E-6,NO
107,39,0.06667713340257482,NO
108,80,0.3000072461142712,NO
109,29,5.4896191302247454E-6,NO
110,49,0.214293108356409,NO
111,78,0.9998189061934082,NO
112,45,0.07693486803600791,NO
113,31,0.09615666000097546,NO
114,30,6.967572915650562E-6,NO
115,36,0.10527068515093152,NO
116,43,0.2941220349097419,NO
117,60,1.393495164571779E-5,NO
118,85,1.6468495767596588E-5,NO
119,92,2.2643901997192158E-5,NO
120,156,2.5878577713368875E-5,NO
121,98,0.40000724585174985,NO
122,131,0.5,NO
123,194,1.8109380659181456E-4,NO
124,201,9.056330374932077E-5,NO
125,69,0.333343397137854,NO
126,68,3.622925874936599E-5,NO
127,52,8.234383491707976E-6,NO
128,50,0.2222278134498098,NO
129,202,3.622925874936599E-5,NO
130,73,6.0379181258302136E-5,NO
131,42,0.15790126046414066,NO
132,35,0.16667673077503697,NO
133,125,0.2857253765333057,NO
134,65,6.0379181258302136E-5,NO
135,48,0.2666723026013864,NO
136,89,0.11112676623324343,NO
137,153,6.0379181258302136E-5,NO
138,40,0.11111632962520632,NO
139,64,0.06250990693145536,NO
140,99,0.5,NO
141,73,6.0379181258302136E-5,NO
142,72,0.16667673077503697,NO
143,51,0.08000608686830625,NO
