ID, Size, Predicted, Actual
0,118,0.6363635392641973,NO
1,22,6.752313004819802E-7,NO
2,75,0.6571427692249162,NO
3,133,2.7973749433531576E-6,NO
4,79,0.6862743667617596,NO
5,91,0.7343748565791833,NO
6,70,0.8759123012990547,NO
7,57,0.8590603083084093,NO
8,70,0.8759123012990547,NO
9,59,6.119284435355268E-7,NO
10,88,0.11764793966075301,NO
11,40,0.5063291123552532,NO
12,104,0.9024386399782214,NO
13,195,3.916316156370672E-6,NO
14,201,1.9581657469814878E-6,NO
15,192,1.9580967299784612E-5,NO
16,97,0.3333340585795907,NO
17,101,2.1757387721000666E-6,NO
18,98,0.7636361759107814,NO
19,187,1.9580967299784612E-5,NO
20,149,1.9581657469814878E-6,NO
21,151,1.9580967299784612E-5,NO
22,196,4.895385609524462E-6,NO
23,90,0.8780484193734807,NO
24,115,2.1757387721000666E-6,NO
25,62,7.252483613013277E-7,NO
26,61,0.591549245276254,NO
27,142,3.916316156370672E-6,YES
28,47,0.6277371897618147,YES
29,85,5.93385179374406E-7,NO
30,65,0.7572253752957351,NO
31,106,8.900772409029657E-7,NO
32,85,5.93385179374406E-7,NO
33,88,0.11764793966075301,NO
34,144,9.790675360786388E-6,NO
35,81,0.5645160882794552,NO
36,80,0.7499998834421129,NO
37,69,0.5813953117706662,NO
38,89,0.576922961055002,NO
39,67,8.159042585306871E-7,NO
40,88,0.11764793966075301,NO
41,40,0.5063291123552532,NO
42,92,1.3054455355068132E-6,NO
43,95,0.7654319704291782,NO
44,49,0.6783216294846609,NO
45,102,3.2636010574067426E-6,NO
46,94,0.7818180814820591,NO
47,72,0.5970148686650935,NO
48,69,0.5813953117706662,NO
49,86,0.17647133355909872,NO
50,221,0.9999804190327002,NO
51,131,2.7973749433531576E-6,NO
52,166,0.9999975522952126,NO
53,116,0.4444445250275957,NO
54,155,0.9999967363989426,NO
55,67,8.159042585306871E-7,NO
56,88,0.11764793966075301,NO
57,40,0.5063291123552532,NO
58,57,0.8590603083084093,NO
59,39,0.30000015665375057,NO
60,98,0.7636361759107814,NO
61,106,8.900772409029657E-7,NO
62,101,2.1757387721000666E-6,NO
63,94,0.7818180814820591,NO
