ID, Size, Predicted, Actual
0,79,0.008196310697314657,NO
1,87,0.012273643805932334,NO
2,68,0.012233142094393006,NO
3,58,0.012233142094393006,NO
4,196,0.012605309358695745,NO
5,132,0.012273643805932334,NO
6,64,0.012233142094393006,NO
7,134,0.008306470486461047,NO
8,173,0.01239687941426938,NO
9,246,0.01290312906045479,NO
10,107,0.012273643805932334,NO
11,121,0.012273643805932334,NO
12,110,0.9981335852252623,YES
13,58,0.012233142094393006,NO
14,37,0.012233142094393006,NO
15,77,0.9765818590997464,YES
16,142,0.9981523348329321,YES
17,114,0.012273643805932334,NO
18,59,0.012233142094393006,NO
19,64,0.012233142094393006,NO
20,164,0.01239687941426938,NO
21,70,0.012233142094393006,NO
22,32,0.012233142094393006,NO
23,148,0.01239687941426938,NO
24,156,0.01239687941426938,NO
25,119,0.012273643805932334,NO
26,118,0.012273643805932334,NO
27,156,0.01239687941426938,NO
28,85,0.012273643805932334,NO
29,48,0.012233142094393006,YES
30,146,0.01239687941426938,NO
31,113,0.012273643805932334,NO
32,147,0.01239687941426938,NO
33,40,0.03219436794222645,NO
34,125,0.012273643805932334,NO
35,252,0.01290312906045479,NO
36,368,0.013793280120157988,NO
37,106,0.012273643805932334,NO
38,181,0.01239687941426938,NO
39,263,0.01197666223777476,NO
40,590,0.01584894414492292,YES
41,39,0.011354228137452668,NO
42,39,0.011354228137452668,NO
43,39,0.011354228137452668,NO
44,24,0.01139271293451364,NO
45,62,0.011354228137452668,NO
46,77,0.011354228137452668,NO
47,77,0.011354228137452668,NO
48,54,0.011354228137452668,NO
49,90,0.011391853484497042,NO
50,58,0.011354228137452668,NO
51,24,0.01139271293451364,NO
52,64,0.011354228137452668,NO
53,216,0.011699973039710354,NO
54,36,0.011354228137452668,NO
55,36,0.011354228137452668,NO
56,202,0.011699973039710354,NO
57,74,0.011354228137452668,NO
58,71,0.011354228137452668,NO
59,56,0.011354228137452668,NO
60,44,0.011354228137452668,NO
61,55,0.011354228137452668,NO
62,47,0.011354228137452668,NO
63,101,0.9999311284179302,YES
64,109,0.032298796648488524,NO
65,28,0.011354228137452668,NO
66,54,0.8730524382086619,YES
67,158,0.9981523348329321,YES
68,52,0.9999308975791552,YES
69,53,0.8730524382086619,YES
70,81,0.8734228581238525,YES
71,83,0.8734228581238525,YES
72,63,0.8730524382086619,YES
73,48,0.8730524382086619,YES
74,55,0.8730524382086619,YES
75,149,0.9999318215207134,YES
76,263,0.998225607030289,YES
77,179,0.9999318215207134,YES
78,37,0.8730524382086619,YES
79,25,0.8734312944491675,YES
80,30,0.8730524382086619,YES
81,36,0.9981273407948661,YES
82,30,0.8730524382086619,YES
83,27,0.8730524382086619,YES
84,37,0.8730524382086619,YES
85,33,0.8730524382086619,YES
86,31,0.8730524382086619,YES
87,56,0.8730524382086619,YES
88,101,0.8734228581238525,YES
89,139,0.9981523348329321,YES
90,85,0.9981335852252623,YES
91,95,0.8734228581238525,YES
92,60,0.8730524382086619,YES
93,35,0.8730524382086619,YES
94,26,0.8734312944491675,YES
95,69,0.8730524382086619,YES
96,64,0.8730524382086619,YES
97,39,0.8730524382086619,YES
98,41,0.8730524382086619,YES
99,167,0.9981523348329321,YES
100,66,0.8730524382086619,YES
101,93,0.9981335852252623,YES
102,76,0.008196310697314657,NO
103,77,0.9981273407948661,YES
104,83,0.9981335852252623,YES
105,48,0.012233142094393006,NO
106,85,0.012273643805932334,NO
107,43,0.012233142094393006,NO
108,90,0.012273643805932334,NO
109,202,0.012605309358695745,NO
110,135,0.01239687941426938,NO
111,30,0.012233142094393006,NO
112,29,0.012233142094393006,NO
113,69,0.012233142094393006,YES
114,242,0.008647143215423553,NO
115,64,0.008196310697314657,YES
116,50,0.03219436794222645,YES
117,89,0.012273643805932334,NO
118,40,0.03219436794222645,YES
119,49,0.012233142094393006,NO
120,249,0.9997670472783458,YES
121,40,0.012233142094393006,NO
122,171,0.9981523348329321,YES
123,40,0.012233142094393006,NO
124,32,0.012233142094393006,NO
125,139,0.01239687941426938,YES
126,131,0.9981335852252623,YES
127,149,0.9981523348329321,YES
128,86,0.012273643805932334,NO
129,69,0.012233142094393006,NO
130,88,0.012273643805932334,NO
131,42,0.012233142094393006,NO
132,32,0.012233142094393006,NO
133,56,0.008196310697314657,NO
134,51,0.012233142094393006,NO
135,81,0.012273643805932334,NO
136,35,0.012233142094393006,NO
137,72,0.012233142094393006,NO
138,46,0.012233142094393006,NO
139,46,0.012233142094393006,NO
140,44,0.012233142094393006,NO
141,29,0.012233142094393006,NO
142,280,0.008647143215423553,NO
143,63,0.8730524382086619,YES
144,334,0.013296406030660401,YES
145,46,0.012233142094393006,NO
146,31,0.012233142094393006,NO
147,83,0.012273643805932334,NO
148,71,0.012233142094393006,NO
149,83,0.012273643805932334,NO
150,40,0.012233142094393006,NO
151,32,0.012233142094393006,NO
152,57,0.012233142094393006,NO
153,50,0.012233142094393006,YES
154,81,0.012273643805932334,YES
155,35,0.012233142094393006,YES
156,71,0.012233142094393006,YES
