ID, Size, Predicted, Actual
0,78,2.5476714678945886E-9,NO
1,302,2.6153490576507173E-9,NO
2,87,2.5476714678945886E-9,NO
3,198,2.555818979900989E-9,NO
4,175,2.555818979900989E-9,NO
5,68,2.5476714678945886E-9,NO
6,105,2.5476714678945886E-9,NO
7,58,2.5476714678945886E-9,NO
8,196,2.555818979900989E-9,NO
9,106,2.5476714678945886E-9,NO
10,130,2.555818979900989E-9,NO
11,64,2.5476714678945886E-9,NO
12,132,2.555818979900989E-9,NO
13,62,2.5476714678945886E-9,NO
14,108,2.708226222642687E-7,NO
15,432,2.6677342335826763E-9,NO
16,174,2.555818979900989E-9,NO
17,246,2.578252830686822E-9,NO
18,106,2.5476714678945886E-9,NO
19,121,2.5476714678945886E-9,NO
20,110,2.5476714678945886E-9,NO
21,58,2.5476714678945886E-9,NO
22,37,2.5536742679117827E-9,NO
23,77,2.5476714678945886E-9,NO
24,142,2.555818979900989E-9,NO
25,114,2.5476714678945886E-9,NO
26,80,2.5476714678945886E-9,NO
27,59,2.5476714678945886E-9,NO
28,69,2.5476714678945886E-9,NO
29,95,2.5476714678945886E-9,NO
30,64,2.5476714678945886E-9,NO
31,164,2.5271452792894044E-6,NO
32,70,2.5476714678945886E-9,NO
33,32,2.5536742679117827E-9,NO
34,148,2.555818979900989E-9,NO
35,156,2.555818979900989E-9,NO
36,119,2.5476714678945886E-9,NO
37,118,2.5476714678945886E-9,NO
38,93,2.5476714678945886E-9,NO
39,256,0.5204963847226272,YES
40,123,2.5476714678945886E-9,NO
41,201,2.555818979900989E-9,NO
42,180,2.555818979900989E-9,NO
43,156,2.555818979900989E-9,NO
44,98,2.5476714678945886E-9,NO
45,86,2.0545479891273442E-5,NO
46,48,2.5476714678945886E-9,NO
47,143,0.03457068653346569,NO
48,145,2.555818979900989E-9,NO
49,113,2.5476714678945886E-9,NO
50,146,2.555818979900989E-9,NO
51,113,2.5476714678945886E-9,NO
52,147,2.555818979900989E-9,NO
53,125,2.5476714678945886E-9,NO
54,252,2.578252830686822E-9,NO
55,368,2.6153490576507173E-9,NO
56,106,2.5476714678945886E-9,NO
57,181,2.555818979900989E-9,NO
58,260,2.578252830686822E-9,NO
59,618,0.021647167837047364,YES
60,39,2.5536742679117827E-9,NO
61,39,2.5536742679117827E-9,NO
62,39,2.5536742679117827E-9,NO
63,24,2.5536742679117827E-9,NO
64,62,2.5476714678945886E-9,NO
65,77,2.5476714678945886E-9,NO
66,77,2.5476714678945886E-9,NO
67,54,2.5476714678945886E-9,NO
68,92,2.5476714678945886E-9,NO
69,58,2.5476714678945886E-9,NO
70,24,2.5536742679117827E-9,NO
71,64,2.5476714678945886E-9,NO
72,216,2.578252830686822E-9,NO
73,36,2.5536742679117827E-9,NO
74,36,2.5536742679117827E-9,NO
75,208,2.555818979900989E-9,NO
76,64,0.03830629464060947,YES
77,39,2.5536742679117827E-9,NO
78,47,2.5476714678945886E-9,NO
79,74,2.5476714678945886E-9,NO
80,71,2.5476714678945886E-9,NO
81,123,3.778364274497211E-4,NO
82,44,2.5476714678945886E-9,NO
83,122,7.804638914850683E-7,NO
84,53,2.5476714678945886E-9,NO
85,242,7.959830368694349E-8,NO
86,44,2.5476714678945886E-9,NO
87,171,2.555818979900989E-9,NO
88,511,7.873366674511396E-8,NO
89,128,1.4197187357880052E-6,NO
90,178,1.5573650736410336E-6,NO
91,130,5.766317288671209E-4,NO
92,460,0.979295959803123,NO
93,201,2.555818979900989E-9,NO
94,116,2.5476714678945886E-9,NO
95,225,2.578252830686822E-9,NO
96,42,2.5536742679117827E-9,NO
97,44,2.5476714678945886E-9,NO
98,94,2.5476714678945886E-9,NO
99,136,2.555818979900989E-9,NO
100,27,2.5536742679117827E-9,NO
101,47,2.5476714678945886E-9,NO
102,60,2.5476714678945886E-9,NO
103,58,2.5476714678945886E-9,NO
104,56,2.5476714678945886E-9,NO
105,205,2.555818979900989E-9,NO
106,54,7.537086567260765E-4,NO
107,49,2.5476714678945886E-9,NO
108,32,7.554831964680925E-4,NO
109,43,7.537086567260765E-4,NO
110,111,7.795993185130118E-4,NO
111,29,2.5536742679117827E-9,NO
112,49,2.5476714678945886E-9,NO
113,78,2.5476714678945886E-9,NO
114,45,2.5476714678945886E-9,NO
115,31,2.5536742679117827E-9,NO
116,30,2.5536742679117827E-9,NO
117,36,2.5536742679117827E-9,NO
118,43,2.5476714678945886E-9,NO
119,60,2.5476714678945886E-9,NO
120,85,2.5476714678945886E-9,NO
121,92,2.5476714678945886E-9,NO
122,156,2.555818979900989E-9,NO
123,98,2.5476714678945886E-9,NO
124,131,2.555818979900989E-9,NO
125,194,2.555818979900989E-9,NO
126,201,2.555818979900989E-9,NO
127,69,2.5476714678945886E-9,NO
128,68,2.5476714678945886E-9,NO
129,52,2.5476714678945886E-9,NO
130,50,2.5476714678945886E-9,NO
131,202,2.555818979900989E-9,NO
132,73,2.5476714678945886E-9,NO
133,42,2.5536742679117827E-9,NO
134,35,2.5536742679117827E-9,NO
135,125,2.5476714678945886E-9,NO
136,65,2.5476714678945886E-9,NO
137,48,2.5476714678945886E-9,NO
138,89,2.5476714678945886E-9,NO
139,153,2.555818979900989E-9,NO
140,40,2.5536742679117827E-9,NO
141,64,2.5476714678945886E-9,NO
142,99,2.5476714678945886E-9,NO
143,73,2.5476714678945886E-9,NO
144,72,2.5476714678945886E-9,NO
145,51,2.5476714678945886E-9,NO
146,36,2.5536742679117827E-9,NO
147,31,2.5536742679117827E-9,NO
148,61,2.5476714678945886E-9,NO
149,74,2.5476714678945886E-9,NO
150,101,2.5476714678945886E-9,NO
151,86,2.5476714678945886E-9,NO
152,106,2.5476714678945886E-9,NO
153,91,2.5476714678945886E-9,NO
154,58,2.5476714678945886E-9,NO
155,106,2.5476714678945886E-9,NO
156,143,2.555818979900989E-9,NO
157,52,2.5476714678945886E-9,NO
158,88,2.5476714678945886E-9,NO
159,66,2.5476714678945886E-9,NO
160,44,2.5476714678945886E-9,NO
161,158,2.555818979900989E-9,NO
162,51,2.5476714678945886E-9,NO
163,36,2.5536742679117827E-9,NO
164,63,2.5476714678945886E-9,NO
165,110,3.1335495997943134E-8,NO
166,29,1.6028517007695283E-8,NO
167,104,3.1335495997943134E-8,NO
168,38,1.6579542499695083E-8,NO
169,44,1.654056976231029E-8,NO
170,96,2.1165817041580047E-8,NO
171,42,1.6579542499695083E-8,NO
172,48,1.654056976231029E-8,NO
173,36,2.5536742679117827E-9,NO
174,43,2.5476714678945886E-9,NO
175,81,2.5476714678945886E-9,NO
