ID, Size, Predicted, Actual
0,78,1.4237699125654762E-7,NO
1,302,1.4840696736318697E-7,NO
2,87,1.4237699125654762E-7,NO
3,198,1.4302199970957416E-7,NO
4,175,1.4302199970957416E-7,NO
5,65,1.4237699125654762E-7,NO
6,105,1.4237699125654762E-7,NO
7,58,1.4237699125654762E-7,NO
8,196,1.4302199970957416E-7,NO
9,106,1.4237699125654762E-7,NO
10,130,1.4302199970957416E-7,NO
11,64,1.4237699125654762E-7,NO
12,132,1.4302199970957416E-7,NO
13,62,1.4237699125654762E-7,NO
14,108,1.4237699125654762E-7,NO
15,432,1.5330019259234775E-7,NO
16,174,1.4302199970957416E-7,NO
17,246,1.450132454872409E-7,NO
18,106,1.4237699125654762E-7,NO
19,121,1.4237699125654762E-7,NO
20,110,1.4237699125654762E-7,NO
21,58,1.4237699125654762E-7,NO
22,37,1.4306011432290095E-7,NO
23,77,1.4237699125654762E-7,NO
24,142,1.4302199970957416E-7,NO
25,114,1.4237699125654762E-7,NO
26,80,1.4237699125654762E-7,NO
27,59,1.4237699125654762E-7,NO
28,69,1.4237699125654762E-7,NO
29,95,1.4237699125654762E-7,NO
30,64,1.4237699125654762E-7,NO
31,164,1.4302199970957416E-7,NO
32,70,1.4237699125654762E-7,NO
33,32,1.4306011432290095E-7,NO
34,148,1.4302199970957416E-7,NO
35,156,1.4302199970957416E-7,NO
36,119,1.4237699125654762E-7,NO
37,116,1.4237699125654762E-7,NO
38,93,1.4237699125654762E-7,NO
39,229,1.450132454872409E-7,YES
40,123,1.4237699125654762E-7,NO
41,201,1.4302199970957416E-7,NO
42,180,1.4302199970957416E-7,NO
43,156,1.4302199970957416E-7,NO
44,98,1.4237699125654762E-7,NO
45,85,1.4237699125654762E-7,NO
46,48,1.4237699125654762E-7,NO
47,145,1.4302199970957416E-7,NO
48,145,1.4302199970957416E-7,NO
49,113,1.4237699125654762E-7,NO
50,146,1.4302199970957416E-7,NO
51,113,1.4237699125654762E-7,NO
52,147,1.4302199970957416E-7,NO
53,125,1.4237699125654762E-7,NO
54,252,1.450132454872409E-7,NO
55,368,1.4840696736318697E-7,NO
56,106,1.4237699125654762E-7,NO
57,181,1.4302199970957416E-7,NO
58,260,1.450132454872409E-7,NO
59,610,1.682073221246138E-7,YES
60,39,1.4306011432290095E-7,NO
61,39,1.4306011432290095E-7,NO
62,39,1.4306011432290095E-7,NO
63,24,1.4306011432290095E-7,NO
64,62,1.4237699125654762E-7,NO
65,77,1.4237699125654762E-7,NO
66,77,1.4237699125654762E-7,NO
67,54,1.4237699125654762E-7,NO
68,92,1.4237699125654762E-7,NO
69,58,1.4237699125654762E-7,NO
70,24,1.4306011432290095E-7,NO
71,64,1.4237699125654762E-7,NO
72,216,1.450132454872409E-7,NO
73,36,1.4306011432290095E-7,NO
74,36,1.4306011432290095E-7,NO
75,208,1.4302199970957416E-7,NO
76,39,1.4306011432290095E-7,NO
77,47,1.4237699125654762E-7,NO
78,74,1.4237699125654762E-7,NO
79,71,1.4237699125654762E-7,NO
80,56,1.4237699125654762E-7,NO
81,44,1.4237699125654762E-7,NO
82,55,1.4237699125654762E-7,NO
83,53,1.4237699125654762E-7,NO
84,221,1.450132454872409E-7,NO
85,44,1.4237699125654762E-7,NO
86,171,1.4302199970957416E-7,NO
87,511,1.5983537431884558E-7,NO
88,122,1.4237699125654762E-7,NO
89,132,1.4302199970957416E-7,NO
90,115,1.4237699125654762E-7,NO
91,201,1.4302199970957416E-7,NO
92,116,1.4237699125654762E-7,NO
93,225,1.450132454872409E-7,NO
94,42,1.4306011432290095E-7,NO
95,44,1.4237699125654762E-7,NO
96,94,1.4237699125654762E-7,NO
97,136,1.4302199970957416E-7,NO
98,27,1.4306011432290095E-7,NO
99,47,1.4237699125654762E-7,NO
100,60,1.4237699125654762E-7,NO
101,58,1.4237699125654762E-7,NO
102,56,1.4237699125654762E-7,NO
103,205,1.4302199970957416E-7,NO
104,44,1.4237699125654762E-7,NO
105,49,1.4237699125654762E-7,NO
106,30,1.4306011432290095E-7,NO
107,39,1.4306011432290095E-7,NO
108,80,1.4237699125654762E-7,NO
109,29,1.4306011432290095E-7,NO
110,49,1.4237699125654762E-7,NO
111,78,1.4237699125654762E-7,NO
112,45,1.4237699125654762E-7,NO
113,31,1.4306011432290095E-7,NO
114,30,1.4306011432290095E-7,NO
115,36,1.4306011432290095E-7,NO
116,43,1.4237699125654762E-7,NO
117,60,1.4237699125654762E-7,NO
118,85,1.4237699125654762E-7,NO
119,92,1.4237699125654762E-7,NO
120,156,1.4302199970957416E-7,NO
121,98,1.4237699125654762E-7,NO
122,131,1.4302199970957416E-7,NO
123,194,1.4302199970957416E-7,NO
124,201,1.4302199970957416E-7,NO
125,69,1.4237699125654762E-7,NO
126,68,1.4237699125654762E-7,NO
127,52,1.4237699125654762E-7,NO
128,50,1.4237699125654762E-7,NO
129,202,1.4302199970957416E-7,NO
130,73,1.4237699125654762E-7,NO
131,42,1.4306011432290095E-7,NO
132,35,1.4306011432290095E-7,NO
133,125,1.4237699125654762E-7,NO
134,65,1.4237699125654762E-7,NO
135,48,1.4237699125654762E-7,NO
136,89,1.4237699125654762E-7,NO
137,153,1.4302199970957416E-7,NO
138,40,1.4306011432290095E-7,NO
139,64,1.4237699125654762E-7,NO
140,99,1.4237699125654762E-7,NO
141,73,1.4237699125654762E-7,NO
142,72,1.4237699125654762E-7,NO
143,51,1.4237699125654762E-7,NO
144,36,1.4306011432290095E-7,NO
145,31,1.4306011432290095E-7,NO
146,61,1.4237699125654762E-7,NO
147,74,1.4237699125654762E-7,NO
148,101,1.4237699125654762E-7,NO
149,86,1.4237699125654762E-7,NO
150,106,1.4237699125654762E-7,NO
