ID, Size, Predicted, Actual
0,78,0.9999724329019669,NO
1,87,0.5245219157255422,NO
2,198,0.9994883114585432,NO
3,175,0.894059628071262,NO
4,68,0.5233864709810531,NO
5,105,0.9999897054334076,NO
6,58,0.5228012094776066,NO
7,196,0.9999728505466363,NO
8,87,0.9999905524337251,YES
9,132,0.5266525597092161,YES
10,64,0.5233864709810531,NO
11,134,0.6551985317635207,YES
12,432,0.10938771205627049,NO
13,174,0.9991696846792048,NO
14,246,0.570503344976714,NO
15,107,0.5256106052312409,NO
16,121,0.5261374230351992,NO
17,110,0.7290900094000146,NO
18,58,0.5487086100615878,NO
19,37,0.5215955973191628,NO
20,77,0.7342890644536787,NO
21,142,0.7324350933446082,NO
22,114,0.5261374230351992,NO
23,59,0.5492894901224884,NO
24,64,0.5233864709810531,NO
25,164,0.5281279103575252,NO
26,70,0.5630267493568731,NO
27,32,0.5215955973191628,NO
28,148,0.5666621674678712,NO
29,156,0.5281279103575252,NO
30,119,0.5407397055633474,NO
31,118,0.5520189021199163,NO
32,230,0.9999999853062362,NO
33,156,0.5281279103575252,NO
34,85,0.5245219157255422,NO
35,48,0.5228012094776066,YES
36,146,0.9991070371608387,NO
37,113,0.9991016151119322,NO
38,147,0.9991070371608387,NO
39,125,0.5266525597092161,NO
40,252,0.5319241012514357,NO
41,368,0.535283282296099,NO
42,106,0.5256106052312409,NO
43,181,0.5290531229254051,NO
44,263,0.721925423640074,YES
45,594,0.9999995090625947,YES
46,39,0.9936402346437138,YES
47,39,0.9936402346437138,NO
48,39,0.9936402346437138,NO
49,24,0.9919958677863454,NO
50,62,0.9949997802933538,NO
51,77,0.995364362231075,YES
52,77,0.995364362231075,NO
53,54,0.9946449294056422,NO
54,90,0.99969471791227,YES
55,58,0.9948833310150696,NO
56,24,0.9919958677863454,NO
57,64,0.9950526237300261,NO
58,216,0.953914149483206,YES
59,36,0.9933869748315579,NO
60,36,0.9933869748315579,NO
61,208,0.9999646789805573,NO
62,74,0.995373771514865,NO
63,71,0.9952299502319065,YES
64,56,0.9947051764432566,YES
65,44,0.9941428864842469,YES
66,55,0.9946771078775514,YES
67,36,0.9999999974683205,YES
68,43,0.9999999215193028,YES
69,81,1.0,YES
70,75,0.9999999999999926,YES
71,81,0.999999999795037,YES
72,88,0.9999999999999996,YES
73,42,0.9999984741386128,YES
74,82,0.9999999999999936,NO
75,55,0.9999958062967497,YES
76,48,0.999995424491982,NO
77,72,0.9999963778036413,NO
78,113,1.0,YES
79,55,1.0,YES
80,35,0.9999999999978623,YES
81,47,0.9941428864842469,YES
82,101,0.994611859432639,YES
83,109,0.9951010160703028,NO
84,28,0.9925554266073211,YES
85,54,0.8454848778833711,YES
86,158,0.9944116536238117,YES
