ID, Size, Predicted, Actual
0,233,0.9999733134073441,NO
1,557,0.9999893250210831,NO
2,22,5.3370336766825E-5,NO
3,39,8.005123278898494E-5,NO
4,39,8.005123278898494E-5,NO
5,24,4.002882075094068E-5,NO
6,45,0.9999771256033121,NO
7,77,8.005123278898494E-5,NO
8,77,8.005123278898494E-5,NO
9,54,1.6007683688170322E-4,NO
10,90,1.6007683688170322E-4,NO
11,58,1.6007683688170322E-4,NO
12,24,4.002882075094068E-5,NO
13,64,1.6007683688170322E-4,NO
14,214,1.6007683688170322E-4,NO
15,19,5.3370336766825E-5,NO
16,35,5.3370336766825E-5,NO
17,157,1.6007683688170322E-4,NO
18,55,1.6007683688170322E-4,NO
19,26,1.6007683688170322E-4,NO
20,54,1.6007683688170322E-4,NO
