ID, Size, Predicted, Actual
0,120,0.19038221354668733,NO
1,22,0.03846082559946721,NO
2,75,0.03846082559946721,NO
3,135,0.4247596741493802,NO
4,79,0.21383482232803672,NO
5,91,0.21383482232803672,NO
6,70,0.03846082559946721,NO
7,57,0.03846082559946721,NO
8,70,0.03846082559946721,NO
9,59,0.03846082559946721,NO
10,88,0.03846082559946721,NO
11,40,0.03846082559946721,NO
12,104,0.21383482232803672,NO
13,196,0.2636747664698263,NO
14,202,0.2636747664698263,NO
15,97,0.03846082559946721,NO
16,99,0.22164003684957334,NO
17,96,0.22164003684957334,NO
18,189,0.19038221354668733,NO
19,151,0.19038221354668733,NO
20,153,0.19038221354668733,NO
21,199,0.40030158730158727,NO
22,90,0.03846082559946721,NO
23,115,0.21383482232803672,NO
24,62,0.03846082559946721,NO
25,61,0.03846082559946721,NO
26,148,1.0,YES
27,57,1.0,YES
28,85,0.03846082559946721,NO
29,65,0.9548504754200251,YES
30,94,1.0,YES
31,85,1.0,YES
32,89,1.0,YES
33,144,1.0,YES
34,81,0.21383482232803672,NO
35,91,0.23896790709290702,NO
36,67,0.03846082559946721,NO
37,88,0.03846082559946721,NO
38,85,0.2636747664698263,NO
39,49,0.03846082559946721,NO
40,102,0.03846082559946721,NO
41,94,0.03846082559946721,NO
42,72,0.03846082559946721,NO
43,70,0.2636747664698263,NO
44,87,0.2636747664698263,NO
45,182,0.3894880952380952,NO
46,131,0.03846082559946721,NO
47,166,0.21383482232803672,NO
48,116,0.21383482232803672,NO
49,155,0.21383482232803672,NO
50,67,0.03846082559946721,NO
51,88,0.03846082559946721,NO
52,40,0.03846082559946721,NO
53,57,0.03846082559946721,NO
54,39,0.03846082559946721,NO
55,98,0.21383482232803672,NO
56,106,0.21383482232803672,NO
57,101,0.21383482232803672,NO
58,94,0.21383482232803672,NO
59,76,0.03846082559946721,NO
60,116,0.03846082559946721,NO
61,56,0.03846082559946721,NO
62,48,0.03846082559946721,NO
63,82,0.19038221354668733,NO
