ID, Size, Predicted, Actual
0,64,0.09144599743243184,NO
1,39,0.03190378405912068,NO
2,47,0.19383308505371713,NO
3,74,0.08146034013169497,NO
4,71,0.17879826538413868,NO
5,120,0.11723177133766775,NO
6,22,0.0,NO
7,75,0.08560244494989055,NO
8,135,0.04153928685531956,NO
9,79,0.04985576141839306,NO
10,91,0.0933290896319967,NO
11,70,0.2796021931231964,NO
12,57,0.3034713090627135,NO
13,70,0.2796021931231964,NO
14,59,0.04790006170915851,NO
15,88,0.09376867296639857,NO
16,40,0.07523708412480244,NO
17,104,0.20535771310842002,NO
18,196,0.04611472618158094,NO
19,202,0.0,NO
20,192,0.54830084049937,NO
21,97,0.036335548138760554,NO
22,99,0.07236747971394558,NO
23,96,0.0681061569959882,NO
24,189,0.11955719117483823,NO
25,151,0.0,NO
26,153,0.0,NO
27,199,0.0,NO
28,90,0.12468651263865221,NO
29,115,0.029825093417925153,NO
30,62,0.01175553299097228,NO
31,61,0.11067189426682389,NO
32,131,0.0,NO
33,116,0.07469035995404405,NO
34,58,0.05557596215675309,NO
35,74,0.08146034013169497,NO
36,143,0.042806506775034364,YES
37,58,0.05557596215675309,YES
38,85,0.019697967315677842,NO
39,65,0.3426473403709302,NO
40,94,0.11658342967410544,NO
41,85,0.019697967315677842,NO
42,89,0.04961188365447166,NO
43,144,0.06979505620798192,NO
44,81,0.1970331042202364,NO
45,91,0.0933290896319967,NO
46,67,0.01746273736092923,NO
47,88,0.09376867296639857,NO
48,85,0.019697967315677842,NO
49,49,0.1630616687266033,NO
50,102,0.0,NO
51,94,0.11658342967410544,NO
52,72,0.01997628899542994,NO
53,70,0.2796021931231964,NO
54,87,0.029961304555213744,NO
55,101,0.04397092116881052,NO
56,106,0.012460785618265635,NO
57,74,0.08146034013169497,NO
58,96,0.0681061569959882,NO
59,101,0.04397092116881052,NO
60,168,0.0,NO
61,114,0.13222251961878947,NO
62,154,0.10787407052867848,NO
63,58,0.05557596215675309,NO
64,47,0.19383308505371713,NO
65,49,0.1630616687266033,NO
66,58,0.05557596215675309,NO
67,70,0.2796021931231964,NO
68,141,0.0,NO
69,93,0.020157860672094546,NO
70,309,0.06,NO
71,133,0.07449425067069737,NO
72,50,0.11117458192373611,NO
73,248,0.01,NO
74,228,0.04,NO
75,131,0.0,NO
76,161,0.0,NO
77,166,0.18862379287379294,NO
78,116,0.07469035995404405,NO
79,155,0.2096048812298813,NO
80,67,0.01746273736092923,NO
81,88,0.09376867296639857,NO
82,40,0.07523708412480244,NO
83,57,0.3034713090627135,NO
84,39,0.03190378405912068,NO
85,98,0.06987660427603008,NO
86,106,0.012460785618265635,NO
87,101,0.04397092116881052,NO
88,94,0.11658342967410544,NO
89,76,0.2668549642474691,NO
90,116,0.07469035995404405,NO
91,56,0.10545851135374035,NO
92,48,0.09428691215088597,NO
93,82,0.15622892897703702,NO
94,45,0.05453207609915926,NO
95,45,0.05453207609915926,NO
96,30,0.01690739472730824,NO
97,78,0.08711315541530062,NO
98,302,0.0,NO
99,87,0.029961304555213744,NO
100,198,0.06644400226923296,NO
101,175,0.07472589978512925,NO
102,86,0.011545089044715734,NO
103,68,0.011715540973936641,NO
104,105,0.0617539172362239,NO
105,196,0.04611472618158094,NO
106,106,0.012460785618265635,NO
107,130,0.02868973503312422,NO
108,68,0.011715540973936641,NO
109,132,0.12751951511992818,NO
110,62,0.01175553299097228,NO
111,108,0.13660168286992733,NO
112,432,0.0,NO
113,174,0.0,NO
114,246,1.0,YES
115,106,0.012460785618265635,NO
116,121,0.49834305732235457,NO
117,110,0.047140965066838195,NO
118,58,0.05557596215675309,NO
119,37,0.2786219804624341,NO
120,77,0.18057731553388046,NO
121,142,0.08469730076660859,NO
122,118,0.04113033219283999,NO
123,80,0.10874381555283096,NO
124,59,0.04790006170915851,NO
125,69,0.10180424491819223,NO
