ID, Size, Predicted, Actual
0,120,2.326501174883093E-5,NO
1,22,0.9459456655293537,NO
2,75,0.8333326870541886,NO
3,135,0.999976734988251,NO
4,79,0.9705875912508656,NO
5,91,1.1632776511097667E-5,NO
6,70,0.9090903322464088,NO
7,57,0.8399993671634124,NO
8,70,0.9090903322464088,NO
9,59,0.9484533931183724,NO
10,88,0.33333591841482796,NO
11,40,0.924137794923725,NO
12,104,0.999976734988251,NO
13,196,0.9999988366979905,NO
14,202,1.1632776511097667E-5,NO
15,97,0.999976734988251,NO
16,99,0.9999980611663248,NO
17,96,0.9655164944309885,NO
18,189,0.9714279446693127,NO
19,151,0.999976734988251,NO
20,153,1.1632776511097667E-5,NO
21,199,1.1632776511097667E-5,NO
22,90,0.6666640815851718,NO
23,115,0.999976734988251,NO
24,62,7.75524448408236E-6,NO
25,61,0.8749978188163443,NO
26,148,0.9999941835440828,YES
27,57,0.9953050561144212,YES
28,85,0.9310337911398041,NO
29,65,0.9999998361543192,YES
30,94,0.9999993352553317,YES
31,85,0.9999941835440828,YES
32,89,0.999976734988251,YES
33,144,0.999976734988251,YES
34,81,0.9942527413870013,NO
35,91,1.1632776511097667E-5,NO
36,67,0.8108104199273218,NO
37,88,0.33333591841482796,NO
38,85,0.9310337911398041,NO
39,49,3.877652314182901E-6,NO
40,102,0.9655164944309885,NO
41,94,0.7222216477522426,NO
42,72,0.8437495001432317,NO
43,70,0.9090903322464088,NO
44,87,0.9374987276391672,NO
45,182,0.9999986314099625,NO
46,131,1.1632776511097667E-5,NO
47,166,3.877652314182901E-6,NO
48,116,0.8888868782491579,NO
49,155,0.8571404830673814,NO
50,67,0.8108104199273218,NO
51,88,0.33333591841482796,NO
52,40,0.924137794923725,NO
53,57,0.8399993671634124,NO
54,39,0.8513511304170666,NO
55,98,5.816455917080604E-6,NO
56,106,0.999996676294334,NO
57,101,0.9772722225336115,NO
58,94,0.7222216477522426,NO
59,76,0.9142851634972747,NO
60,116,0.8888868782491579,NO
61,56,0.9464282004771206,NO
62,48,0.8571422636210292,NO
63,82,0.7499970917720413,NO
64,45,0.8599996649685535,NO
65,45,0.8599996649685535,NO
66,30,0.794117244531791,NO
67,78,0.6818179895366139,NO
68,302,0.5636912103436594,NO
69,87,0.3571428887974002,NO
70,198,0.5636912103436594,NO
71,175,0.5636912103436594,NO
72,68,0.9531246705487086,NO
73,105,0.7777763416065414,NO
74,196,0.8035711763244421,NO
75,106,0.7777763416065414,NO
76,130,0.8888884867592793,NO
77,64,0.3571428887974002,NO
78,132,0.8399993671634124,NO
79,62,0.7777763416065414,NO
80,108,0.7777763416065414,NO
81,432,0.9283275770272368,NO
82,174,0.8235291903746865,NO
83,246,0.8235291903746865,NO
84,106,0.8999997931903797,NO
85,121,0.7777763416065414,NO
86,110,0.5636912103436594,NO
87,58,0.5636912103436594,NO
88,37,0.5636912103436594,NO
89,77,0.5636912103436594,NO
90,142,0.5636912103436594,NO
91,114,0.5636912103436594,NO
92,80,0.5636912103436594,NO
93,59,0.5636912103436594,NO
94,69,0.5636912103436594,NO
95,95,0.5636912103436594,NO
96,97,0.9130432693499204,NO
97,70,0.5636912103436594,NO
98,32,0.5636912103436594,NO
99,148,0.5636912103436594,NO
100,156,0.5636912103436594,NO
101,119,0.5636912103436594,NO
102,118,0.5636912103436594,NO
103,73,0.999998448931857,YES
104,93,0.7777763416065414,NO
105,124,0.6818179895366139,NO
106,201,0.7777763416065414,NO
107,180,0.7777763416065414,NO
108,156,0.6874997273508536,NO
109,98,0.7777763416065414,NO
110,86,0.6818179895366139,NO
111,48,0.8035711763244421,NO
112,143,0.5636912103436594,NO
113,145,0.7777763416065414,NO
114,113,0.7777763416065414,NO
115,146,0.5636912103436594,NO
116,113,0.5636912103436594,NO
117,147,0.5636912103436594,NO
118,125,0.5636912103436594,NO
119,252,0.5636912103436594,NO
120,368,0.5636912103436594,NO
121,106,0.5636912103436594,NO
122,181,0.5636912103436594,NO
123,260,0.8235291903746865,NO
124,629,0.9531246705487086,NO
125,39,0.5636912103436594,NO
126,39,0.5636912103436594,NO
127,37,0.9266053224689969,NO
128,39,0.5636912103436594,NO
129,24,0.5636912103436594,NO
130,67,0.7777763416065414,NO
131,77,0.5636912103436594,NO
132,77,0.5636912103436594,NO
133,54,0.5636912103436594,NO
134,95,0.7777763416065414,NO
135,58,0.5636912103436594,NO
136,24,0.5636912103436594,NO
137,64,0.5636912103436594,NO
138,216,0.5636912103436594,NO
139,36,0.5636912103436594,NO
140,36,0.5636912103436594,NO
141,208,0.5636912103436594,NO
142,64,0.5636912103436594,NO
143,39,0.5636912103436594,NO
144,47,0.5636912103436594,NO
145,74,0.5636912103436594,NO
146,71,0.5636912103436594,NO
147,175,0.9714284147386006,NO
148,44,0.5636912103436594,NO
149,175,0.20000279190533576,NO
150,58,0.9565214312617195,NO
151,58,0.7777763416065414,NO
152,290,0.9999999216629943,YES
153,85,0.8571422636210292,NO
154,35,0.8085103328582763,NO
155,183,7.75524448408236E-6,NO
156,231,1.1632776511097667E-5,NO
157,51,0.9952152007490568,YES
158,238,0.9999999141472682,YES
159,139,2.326501174883093E-5,NO
160,132,0.6249996364683335,NO
161,484,0.8611106443536494,NO
162,225,0.5636912103436594,NO
163,42,0.5636912103436594,NO
164,44,0.5636912103436594,NO
165,94,0.5636912103436594,NO
166,166,2.326501174883093E-5,NO
167,27,0.5636912103436594,NO
168,47,0.5636912103436594,NO
169,60,0.5636912103436594,NO
170,37,0.9266053224689969,NO
171,68,0.9499996510088557,NO
172,24,0.8333330748213746,NO
173,32,0.8928564899831322,NO
174,32,0.8928564899831322,NO
175,36,0.9130432693499204,NO
176,35,0.8085103328582763,NO
177,24,0.8333330748213746,NO
178,36,0.9130432693499204,NO
