ID, Size, Predicted, Actual
0,78,0.33,YES
1,302,0.65,YES
2,87,0.34,YES
3,198,0.97,YES
4,175,0.68,YES
5,68,0.93,YES
6,105,0.43,YES
7,58,0.27,YES
8,196,0.64,YES
9,106,0.81,YES
10,130,0.62,YES
11,64,0.24,YES
12,132,0.62,YES
13,62,0.24,YES
14,108,0.51,YES
15,432,0.99,YES
16,174,0.68,YES
17,246,0.64,YES
18,106,0.45,YES
19,121,0.57,YES
20,110,0.51,YES
21,58,0.27,YES
22,37,0.14,YES
23,77,0.33,YES
24,142,0.62,YES
25,114,0.54,YES
26,80,0.33,YES
27,59,0.28,YES
28,69,0.95,YES
29,95,0.85,NO
30,64,0.24,YES
31,164,0.92,YES
32,70,0.35,YES
33,32,0.14,YES
34,148,0.67,YES
35,156,0.67,YES
36,119,0.56,YES
37,118,0.97,YES
38,93,0.31,NO
39,229,0.63,YES
40,123,0.93,YES
41,201,0.8,NO
42,180,0.83,NO
43,156,0.67,YES
44,98,0.36,NO
45,85,0.33,YES
46,48,0.18,YES
47,145,0.366,NO
48,145,0.99,YES
49,113,0.34600000000000003,NO
50,146,0.67,YES
51,113,0.54,YES
52,147,0.67,YES
53,125,0.56,YES
54,252,0.64,YES
55,368,0.65,YES
56,106,0.45,YES
57,181,0.68,YES
58,260,1.0,YES
59,610,0.99,YES
60,39,0.77,YES
61,39,1.0,NO
62,39,1.0,NO
63,24,0.41,NO
64,62,0.98,NO
65,77,0.85,YES
66,77,0.9175,NO
67,54,0.988,NO
68,92,0.67,YES
69,58,0.98,NO
70,24,0.41,NO
71,64,0.988,NO
72,216,0.93,YES
73,36,0.98,NO
74,36,0.98,NO
75,208,0.11,NO
76,39,0.87,YES
77,47,0.91,YES
78,74,0.8775,NO
79,71,0.89,YES
80,56,0.78,YES
81,44,0.73,YES
82,55,0.77,YES
83,53,0.81,YES
84,187,0.97,YES
85,44,0.94,YES
86,171,0.78,NO
87,493,0.84,NO
88,122,0.29600000000000004,NO
89,132,0.91,YES
90,115,0.75,NO
91,201,0.98,YES
92,116,0.9,YES
93,225,0.75,NO
94,42,0.43,NO
95,44,0.57,NO
96,136,0.61,NO
97,27,0.29,NO
98,47,0.48,NO
99,60,0.29,NO
