ID, Size, Predicted, Actual
0,111,0.27,NO
1,22,0.0,NO
2,75,0.4,NO
3,131,0.05,NO
4,74,0.08610919784856523,NO
5,84,0.15165053505096227,NO
6,70,0.18453598805487442,NO
7,57,0.2760477299367306,NO
8,70,0.18453598805487442,NO
9,59,0.0,NO
10,88,0.05588274855962476,NO
11,40,0.06434574065528287,NO
12,99,0.0256073740141655,NO
13,187,0.0,NO
14,196,0.0,NO
15,192,0.2616313541120043,NO
16,97,0.016898142843141156,NO
17,98,0.5433890628524679,NO
18,96,0.0,NO
19,173,0.8667762556048951,NO
20,141,0.08148550937366725,NO
21,142,0.24228551300641102,NO
22,188,0.0,NO
23,90,0.029635410928387854,NO
24,110,0.021297043927155326,NO
25,62,0.0,NO
26,61,0.13100406263208764,NO
27,120,0.0,NO
28,116,0.018107440827567843,NO
29,58,0.04807839701541023,NO
30,74,0.08610919784856523,NO
31,75,0.01,NO
32,49,0.3461666666666666,NO
33,102,0.27,NO
34,62,0.079,NO
35,107,0.03,NO
36,51,0.45866666666666667,NO
37,43,0.16904761904761906,NO
38,73,0.29,NO
39,42,0.11,NO
40,82,0.96,NO
41,83,0.07473392160084111,NO
42,466,0.09,NO
43,106,0.09,NO
44,119,0.0,NO
45,332,0.23,NO
46,91,0.0,NO
47,84,0.08,NO
48,123,0.06,NO
49,263,0.03,NO
50,99,0.16,NO
51,259,0.15,NO
52,1066,0.40399999999999997,NO
53,137,0.07333333333333333,NO
54,151,0.19333333333333336,NO
55,121,0.11,NO
56,122,0.0,NO
57,107,0.05,NO
58,83,0.4616666666666667,NO
59,288,0.39,NO
60,504,0.11,NO
61,72,0.08317953453360417,NO
62,76,0.24671318513572782,NO
63,69,0.058272493682728445,NO
64,83,0.07473392160084111,NO
65,65,0.28360397641406915,NO
66,88,0.05588274855962476,NO
67,40,0.06434574065528287,NO
68,86,0.01417408929303521,NO
69,89,0.01766801160090088,NO
70,49,0.24276246875660915,NO
71,102,0.0,NO
72,94,0.10057348467120455,NO
73,72,0.08317953453360417,NO
74,60,0.13219235222142015,NO
75,76,0.24671318513572782,NO
76,92,0.012959816970733543,NO
77,96,0.0,NO
78,70,0.18453598805487442,NO
79,86,0.01417408929303521,NO
80,101,0.23326711050113833,NO
81,169,0.1,NO
82,115,0.0,NO
83,153,0.0,NO
84,58,0.04807839701541023,NO
85,47,0.29771623663826696,NO
86,49,0.24276246875660915,NO
87,58,0.04807839701541023,NO
88,70,0.18453598805487442,NO
89,141,0.08148550937366725,NO
90,93,0.0,NO
91,273,0.0,NO
92,96,0.0,NO
93,50,0.20870746624761907,NO
94,241,0.28854761904761905,NO
95,195,0.01,NO
96,131,0.0,NO
97,170,0.0,NO
98,161,0.0,NO
99,102,0.0,NO
100,150,0.0,NO
101,65,0.28360397641406915,NO
102,88,0.05588274855962476,NO
103,40,0.06434574065528287,NO
104,57,0.2760477299367306,NO
105,39,0.006992034925843302,NO
106,85,0.0,NO
107,93,0.0,NO
108,87,0.014948363499536288,NO
109,81,0.1852391778857264,NO
110,95,0.02,NO
111,66,0.0614197798939467,NO
112,94,0.17,NO
113,76,0.24671318513572782,NO
114,116,0.018107440827567843,NO
115,56,0.12407082572143167,NO
116,48,0.13690506189120516,NO
117,71,0.24376748104747759,NO
118,45,0.007642201779113889,NO
119,45,0.007642201779113889,NO
120,30,0.0,NO
121,74,0.08610919784856523,NO
122,299,0.0,NO
123,82,0.1115181219898238,NO
124,197,0.08,NO
125,173,0.8667762556048951,NO
126,84,0.15165053505096227,NO
127,75,0.08330921796035665,NO
128,65,0.28360397641406915,NO
129,96,0.0,NO
130,176,0.0,NO
131,193,0.0,NO
132,157,0.29,NO
133,88,0.05588274855962476,NO
134,67,0.007989889234234646,NO
135,92,0.012959816970733543,NO
136,56,0.12407082572143167,NO
137,102,0.26,NO
138,138,0.19,NO
139,106,0.26,NO
140,174,0.0,NO
141,244,0.0,NO
142,101,0.23326711050113833,NO
143,113,0.0,NO
144,110,0.021297043927155326,NO
145,58,0.04807839701541023,NO
146,37,0.22473203781043774,NO
147,77,0.09106775388072724,NO
148,142,0.24228551300641102,NO
149,118,0.01986976126888284,NO
150,80,0.13020118798473918,NO
151,59,0.0,NO
152,69,0.058272493682728445,NO
153,95,0.0697930410875336,NO
154,97,0.016898142843141156,NO
155,82,0.1115181219898238,NO
156,67,0.007989889234234646,NO
157,110,0.021297043927155326,NO
158,103,0.0,NO
159,111,0.021288657181741638,NO
