ID, Size, Predicted, Actual
0,111,0.6507935819115719,NO
1,22,2.7149250015542945E-7,NO
2,75,0.7638888361510336,NO
3,131,2.0555787379157664E-6,NO
4,74,0.5142857025395114,NO
5,84,0.7191010527490063,NO
6,70,0.8515624209582741,NO
7,57,0.7758620233401256,NO
8,70,0.8515624209582741,NO
9,59,3.2702502068433255E-7,NO
10,88,0.5454545157249981,NO
11,40,0.49397590431069377,NO
12,99,0.40000014389089616,NO
13,187,2.877805500637434E-6,NO
14,196,1.5987849234581719E-6,NO
15,192,0.9864862972944595,NO
16,97,0.7121211196292669,NO
17,98,0.9186046044701718,NO
18,96,3.9969718940930356E-7,NO
19,173,0.9692981863790933,NO
20,141,0.8499994963818633,NO
21,142,0.8444443343056105,NO
22,188,2.877805500637434E-6,NO
23,90,0.12500134897423998,NO
24,110,0.8163263448304215,NO
25,62,4.3603326584991827E-7,NO
26,61,0.7607361502851383,NO
27,120,1.5987849234581719E-6,NO
28,116,0.531914874075462,NO
29,58,0.35593227366123414,NO
30,74,0.5142857025395114,NO
31,49,1.4388696240233674E-5,NO
32,106,0.9999997063448598,NO
33,61,0.9999964027483004,NO
34,109,1.4388696240233674E-5,NO
35,49,0.9999995639667342,NO
36,77,0.7045453876539511,NO
37,65,0.7272726815349414,NO
38,74,0.5142857025395114,NO
39,83,0.6769230377574599,NO
40,128,3.5972516997014285E-6,NO
41,72,0.5199999942443575,NO
42,76,0.7748917406454755,NO
43,69,0.6388888518798701,NO
44,83,0.6769230377574599,NO
45,65,0.7272726815349414,NO
46,88,0.5454545157249981,NO
47,40,0.49397590431069377,NO
48,86,0.032258498734455715,NO
49,89,0.5714285126975572,NO
50,49,0.8007967782613704,NO
51,102,1.5987849234581719E-6,NO
52,94,0.6764705384459991,NO
53,72,0.5199999942443575,NO
54,60,0.7438423299638012,NO
55,76,0.7748917406454755,NO
56,92,0.5294117522585604,NO
57,96,3.9969718940930356E-7,NO
58,70,0.8515624209582741,NO
59,86,0.032258498734455715,NO
60,101,0.8720928987421914,NO
61,169,1.7986323199838843E-6,NO
62,115,2.0555787379157664E-6,NO
63,153,8.993177775339627E-7,NO
64,58,0.35593227366123414,NO
65,47,0.8247862848428574,NO
66,49,0.8007967782613704,NO
67,58,0.35593227366123414,NO
68,70,0.8515624209582741,NO
69,141,0.8499994963818633,NO
70,93,7.99393739787745E-7,NO
71,273,7.194451638896083E-6,NO
72,96,3.9969718940930356E-7,NO
73,50,0.7517240879712321,NO
74,241,0.9999964027483004,NO
75,195,7.194451638896083E-6,NO
76,131,2.0555787379157664E-6,NO
77,170,3.5972516997014285E-6,NO
78,161,7.194451638896083E-6,NO
79,102,1.5987849234581719E-6,NO
80,150,2.877805500637434E-6,NO
81,65,0.7272726815349414,NO
82,88,0.5454545157249981,NO
83,40,0.49397590431069377,NO
84,57,0.7758620233401256,NO
85,39,0.4315789680951111,NO
86,85,2.9365514021298807E-7,NO
