DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
BOOKKEEPER,1,43.67245657568238,RandomForest,None,None,None,NaN,0.0,0.5,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,None,None,0.21311475409836064,0.1111111111111111,0.2020979020979021,-0.32037348844328783,13.0,48.0,62.0,104.0
BOOKKEEPER,1,43.67245657568238,IBk,None,None,None,NaN,0.0,0.5187257187257187,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst,None,None,NaN,0.0,0.5,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst,None,None,NaN,0.0,0.3078477078477079,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst,None,None,NaN,0.0,0.6665112665112665,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,1,43.67245657568238,RandomForest,None,None,SensitiveLearning,NaN,0.0,0.5,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,None,SensitiveLearning,0.21311475409836064,0.1111111111111111,0.2020979020979021,-0.32037348844328783,13.0,48.0,62.0,104.0
BOOKKEEPER,1,43.67245657568238,IBk,None,None,SensitiveLearning,NaN,0.0,0.5187257187257187,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst,None,SensitiveLearning,NaN,0.0,0.5,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst,None,SensitiveLearning,NaN,0.0,0.3078477078477079,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst,None,SensitiveLearning,NaN,0.0,0.6665112665112665,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,1,43.67245657568238,RandomForest,None,SMOTE,None,NaN,0.0,0.5,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,SMOTE,None,0.21311475409836064,0.1111111111111111,0.2020979020979021,-0.32037348844328783,13.0,48.0,62.0,104.0
BOOKKEEPER,1,43.67245657568238,IBk,None,SMOTE,None,NaN,0.0,0.5187257187257187,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst,SMOTE,None,NaN,0.0,0.5,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst,SMOTE,None,NaN,0.0,0.3078477078477079,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst,SMOTE,None,NaN,0.0,0.6665112665112665,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,1,43.67245657568238,RandomForest,None,SMOTE,SensitiveLearning,NaN,0.0,0.5187257187257187,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,SMOTE,SensitiveLearning,NaN,0.0,0.5187257187257187,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,1,43.67245657568238,IBk,None,SMOTE,SensitiveLearning,NaN,0.0,0.5187257187257187,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst,SMOTE,SensitiveLearning,NaN,0.0,0.6665112665112665,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst,SMOTE,SensitiveLearning,NaN,0.0,0.6665112665112665,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst,SMOTE,SensitiveLearning,NaN,0.0,0.6665112665112665,0.0,0.0,0.0,110.0,117.0
BOOKKEEPER,2,56.44257703081232,RandomForest,None,None,None,0.9166666666666666,0.7913669064748201,0.926049857788188,0.742969759901672,110.0,10.0,162.0,29.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,None,None,None,0.43853820598006643,0.9496402877697842,0.8718629747364899,-0.029607614461457463,132.0,169.0,3.0,7.0
BOOKKEEPER,2,56.44257703081232,IBk,None,None,None,0.8918918918918919,0.7122302158273381,0.8466412916178685,0.6551224089396912,99.0,12.0,160.0,40.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst,None,None,0.859375,0.7913669064748201,0.9328049188556132,0.6919688955387435,110.0,18.0,154.0,29.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst,None,None,0.9809523809523809,0.7410071942446043,0.9307972226869667,0.7469053839893777,103.0,2.0,170.0,36.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst,None,None,0.8442622950819673,0.7410071942446043,0.8407645976242262,0.6380277219341869,103.0,19.0,153.0,36.0
BOOKKEEPER,2,56.44257703081232,RandomForest,None,None,SensitiveLearning,0.7692307692307693,0.8633093525179856,0.9096745859126653,0.6464228869090684,120.0,36.0,136.0,19.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,None,None,SensitiveLearning,0.43853820598006643,0.9496402877697842,0.8718629747364899,-0.029607614461457463,132.0,169.0,3.0,7.0
BOOKKEEPER,2,56.44257703081232,IBk,None,None,SensitiveLearning,0.8918918918918919,0.7122302158273381,0.8466412916178685,0.6551224089396912,99.0,12.0,160.0,40.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst,None,SensitiveLearning,0.7485029940119761,0.8992805755395683,0.9134390162288774,0.6426754205990973,125.0,42.0,130.0,14.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst,None,SensitiveLearning,0.6473429951690821,0.9640287769784173,0.9307972226869667,0.5154214942069515,134.0,73.0,99.0,5.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst,None,SensitiveLearning,0.8442622950819673,0.7410071942446043,0.8407645976242262,0.6380277219341869,103.0,19.0,153.0,36.0
BOOKKEEPER,2,56.44257703081232,RandomForest,None,SMOTE,None,0.8951612903225806,0.7985611510791367,0.9278484189392672,0.7305424652902517,111.0,13.0,159.0,28.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,None,SMOTE,None,0.43853820598006643,0.9496402877697842,0.8704199431152753,-0.029607614461457463,132.0,169.0,3.0,7.0
BOOKKEEPER,2,56.44257703081232,IBk,None,SMOTE,None,0.8869565217391304,0.7338129496402878,0.8521415425798896,0.6693177951684247,102.0,13.0,159.0,37.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst,SMOTE,None,0.859375,0.7913669064748201,0.9206960013384641,0.6919688955387435,110.0,18.0,154.0,29.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst,SMOTE,None,0.9809523809523809,0.7410071942446043,0.9262380793039987,0.7469053839893777,103.0,2.0,170.0,36.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst,SMOTE,None,0.8455284552845529,0.7482014388489209,0.841329262171658,0.6448570461850786,104.0,19.0,153.0,35.0
BOOKKEEPER,2,56.44257703081232,RandomForest,None,SMOTE,SensitiveLearning,0.78,0.841726618705036,0.8601932407562323,0.6449698001203844,117.0,33.0,139.0,22.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,None,SMOTE,SensitiveLearning,0.78,0.841726618705036,0.8601932407562323,0.6449698001203844,117.0,33.0,139.0,22.0
BOOKKEEPER,2,56.44257703081232,IBk,None,SMOTE,SensitiveLearning,0.78,0.841726618705036,0.8601932407562323,0.6449698001203844,117.0,33.0,139.0,22.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst,SMOTE,SensitiveLearning,0.7016574585635359,0.9136690647482014,0.8428768613016564,0.582821836510711,127.0,54.0,118.0,12.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst,SMOTE,SensitiveLearning,0.7016574585635359,0.9136690647482014,0.8428768613016564,0.582821836510711,127.0,54.0,118.0,12.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst,SMOTE,SensitiveLearning,0.7016574585635359,0.9136690647482014,0.8428768613016564,0.582821836510711,127.0,54.0,118.0,12.0
BOOKKEEPER,3,66.66666666666667,RandomForest,None,None,None,0.6804123711340206,0.7333333333333333,0.862401165210154,0.6017160591492727,66.0,31.0,236.0,24.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,None,None,None,0.6129032258064516,0.2111111111111111,0.8620890553474824,0.21229763139006322,19.0,12.0,255.0,71.0
BOOKKEEPER,3,66.66666666666667,IBk,None,None,None,0.6470588235294118,0.7333333333333333,0.8412817311693717,0.5731707317073171,66.0,36.0,231.0,24.0
BOOKKEEPER,3,66.66666666666667,RandomForest,BestFirst,None,None,0.8024691358024691,0.7222222222222222,0.8456304619225967,0.6850022596681514,65.0,16.0,251.0,25.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,BestFirst,None,None,0.8888888888888888,0.7111111111111111,0.8272992093216812,0.729509292686188,64.0,8.0,259.0,26.0
BOOKKEEPER,3,66.66666666666667,IBk,BestFirst,None,None,0.8024691358024691,0.7222222222222222,0.8421764461090304,0.6850022596681514,65.0,16.0,251.0,25.0
BOOKKEEPER,3,66.66666666666667,RandomForest,None,None,SensitiveLearning,0.43478260869565216,0.7777777777777778,0.840220557636288,0.34638032559750603,70.0,91.0,176.0,20.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,None,None,SensitiveLearning,0.625,0.2222222222222222,0.8620890553474824,0.22543260835053208,20.0,12.0,255.0,70.0
BOOKKEEPER,3,66.66666666666667,IBk,None,None,SensitiveLearning,0.5689655172413793,0.7333333333333333,0.8412817311693717,0.49834795488207806,66.0,50.0,217.0,24.0
