DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
STORM,3,60.474777448071215,RandomForest,None,None,None,NaN,0.0,0.5,0.0,0.0,0.0,418.0,248.0
STORM,3,60.474777448071215,NaiveBayes,None,None,None,0.007326007326007326,0.008064516129032258,0.13666267942583732,-0.6273998241783173,2.0,271.0,147.0,246.0
STORM,3,60.474777448071215,IBk,None,None,None,NaN,0.0,0.48546264855687604,0.0,0.0,0.0,418.0,248.0
STORM,3,60.474777448071215,RandomForest,BestFirst,None,None,NaN,0.0,0.5,0.0,0.0,0.0,418.0,248.0
STORM,3,60.474777448071215,NaiveBayes,BestFirst,None,None,NaN,0.0,0.3066348973607038,0.0,0.0,0.0,418.0,248.0
STORM,3,60.474777448071215,IBk,BestFirst,None,None,NaN,0.0,0.7585950764006791,0.0,0.0,0.0,418.0,248.0
STORM,3,60.474777448071215,RandomForest,None,None,SensitiveLearning,NaN,0.0,0.5,0.0,0.0,0.0,418.0,248.0
STORM,3,60.474777448071215,NaiveBayes,None,None,SensitiveLearning,0.007326007326007326,0.008064516129032258,0.13666267942583732,-0.6273998241783173,2.0,271.0,147.0,246.0
STORM,3,60.474777448071215,IBk,None,None,SensitiveLearning,NaN,0.0,0.48546264855687604,0.0,0.0,0.0,418.0,248.0
STORM,3,60.474777448071215,RandomForest,BestFirst,None,SensitiveLearning,NaN,0.0,0.5,0.0,0.0,0.0,418.0,248.0
STORM,3,60.474777448071215,NaiveBayes,BestFirst,None,SensitiveLearning,NaN,0.0,0.3066348973607038,0.0,0.0,0.0,418.0,248.0
STORM,3,60.474777448071215,IBk,BestFirst,None,SensitiveLearning,NaN,0.0,0.7585950764006791,0.0,0.0,0.0,418.0,248.0
STORM,3,60.474777448071215,RandomForest,None,SMOTE,None,NaN,0.0,0.5,0.0,0.0,0.0,418.0,248.0
STORM,3,60.474777448071215,NaiveBayes,None,SMOTE,None,0.007326007326007326,0.008064516129032258,0.13666267942583732,-0.6273998241783173,2.0,271.0,147.0,246.0
STORM,3,60.474777448071215,IBk,None,SMOTE,None,NaN,0.0,0.48546264855687604,0.0,0.0,0.0,418.0,248.0
STORM,3,60.474777448071215,RandomForest,BestFirst,SMOTE,None,NaN,0.0,0.5,0.0,0.0,0.0,418.0,248.0
STORM,3,60.474777448071215,NaiveBayes,BestFirst,SMOTE,None,NaN,0.0,0.3066348973607038,0.0,0.0,0.0,418.0,248.0
STORM,3,60.474777448071215,IBk,BestFirst,SMOTE,None,NaN,0.0,0.7585950764006791,0.0,0.0,0.0,418.0,248.0
STORM,3,60.474777448071215,RandomForest,None,SMOTE,SensitiveLearning,NaN,0.0,0.48546264855687604,0.0,0.0,0.0,418.0,248.0
STORM,3,60.474777448071215,NaiveBayes,None,SMOTE,SensitiveLearning,NaN,0.0,0.48546264855687604,0.0,0.0,0.0,418.0,248.0
STORM,3,60.474777448071215,IBk,None,SMOTE,SensitiveLearning,NaN,0.0,0.48546264855687604,0.0,0.0,0.0,418.0,248.0
